Dates,variable,value,upper_ci,color,type
2020-03-01,True,NA,NA,Observed,solid
2020-03-02,True,2,NA,Observed,solid
2020-03-03,True,0,NA,Observed,solid
2020-03-04,True,23,NA,Observed,solid
2020-03-05,True,2,NA,Observed,solid
2020-03-06,True,1,NA,Observed,solid
2020-03-07,True,3,NA,Observed,solid
2020-03-08,True,5,NA,Observed,solid
2020-03-09,True,4,NA,Observed,solid
2020-03-10,True,13,NA,Observed,solid
2020-03-11,True,6,NA,Observed,solid
2020-03-12,True,11,NA,Observed,solid
2020-03-13,True,9,NA,Observed,solid
2020-03-14,True,20,NA,Observed,solid
2020-03-15,True,11,NA,Observed,solid
2020-03-16,True,6,NA,Observed,solid
2020-03-17,True,23,NA,Observed,solid
2020-03-18,True,14,NA,Observed,solid
2020-03-19,True,38,NA,Observed,solid
2020-03-20,True,50,NA,Observed,solid
2020-03-21,True,86,NA,Observed,solid
2020-03-22,True,66,NA,Observed,solid
2020-03-23,True,103,NA,Observed,solid
2020-03-23,mod_2,499,NA,Soc. Dist. + Travel Ban,solid
2020-03-23,mod_2_up,499,NA,NA,solid
2020-03-23,mod_3,499,NA,No Intervention,solid
2020-03-23,mod_3_up,499,NA,NA,solid
2020-03-23,mod_4,499,NA,Moderate return,solid
2020-03-23,mod_4_up,499,NA,NA,solid
2020-03-23,mod_5,499,NA,Normal (pre-intervention),solid
2020-03-23,mod_5_up,499,NA,NA,solid
2020-03-23,mod_6,499,NA,Cautious return,solid
2020-03-23,mod_6_up,499,NA,NA,solid
2020-03-24,True,37,NA,Observed,solid
2020-03-25,True,121,NA,Observed,solid
2020-03-26,True,70,NA,Observed,solid
2020-03-27,True,160,NA,Observed,solid
2020-03-28,True,100,NA,Observed,solid
2020-03-29,True,37,NA,Observed,solid
2020-03-30,True,227,NA,Observed,solid
2020-03-31,True,146,NA,Observed,solid
2020-04-01,True,601,NA,Observed,solid
2020-04-02,True,545,NA,Observed,solid
2020-04-03,mod_2,NA,NA,Soc. Dist. + Travel Ban,solid
2020-04-03,mod_3,NA,NA,No Intervention,solid
2020-04-03,mod_4,NA,NA,Moderate return,solid
2020-04-03,mod_5,NA,NA,Normal (pre-intervention),solid
2020-04-03,mod_6,NA,NA,Cautious return,solid
2020-04-04,mod_2,244,1582,Soc. Dist. + Travel Ban,solid
2020-04-04,mod_3,295,1609,No Intervention,solid
2020-04-04,mod_4,168,1130,Moderate return,solid
2020-04-04,mod_5,171,1010,Normal (pre-intervention),solid
2020-04-04,mod_6,170,1075,Cautious return,solid
2020-04-05,mod_2,272,1676,Soc. Dist. + Travel Ban,solid
2020-04-05,mod_3,341,2114,No Intervention,solid
2020-04-05,mod_4,155,1006,Moderate return,solid
2020-04-05,mod_5,158,1267,Normal (pre-intervention),solid
2020-04-05,mod_6,154,1136,Cautious return,solid
2020-04-06,mod_2,302,1772,Soc. Dist. + Travel Ban,solid
2020-04-06,mod_3,390,2355,No Intervention,solid
2020-04-06,mod_4,141,897,Moderate return,solid
2020-04-06,mod_5,144,757,Normal (pre-intervention),solid
2020-04-06,mod_6,145,917,Cautious return,solid
2020-04-07,mod_2,339,2316,Soc. Dist. + Travel Ban,solid
2020-04-07,mod_3,454,2550,No Intervention,solid
2020-04-07,mod_4,127,1178,Moderate return,solid
2020-04-07,mod_5,130,901,Normal (pre-intervention),solid
2020-04-07,mod_6,129,884,Cautious return,solid
2020-04-08,mod_2,382,2350,Soc. Dist. + Travel Ban,solid
2020-04-08,mod_3,531,3327,No Intervention,solid
2020-04-08,mod_4,114,735,Moderate return,solid
2020-04-08,mod_5,112,1294,Normal (pre-intervention),solid
2020-04-08,mod_6,113,849,Cautious return,solid
2020-04-09,mod_2,436,3110,Soc. Dist. + Travel Ban,solid
2020-04-09,mod_3,626,3707,No Intervention,solid
2020-04-09,mod_4,110,868,Moderate return,solid
2020-04-09,mod_5,110,754,Normal (pre-intervention),solid
2020-04-09,mod_6,108,797,Cautious return,solid
2020-04-10,mod_2,509,3332,Soc. Dist. + Travel Ban,solid
2020-04-10,mod_3,752,5057,No Intervention,solid
2020-04-10,mod_4,108,761,Moderate return,solid
2020-04-10,mod_5,108,757,Normal (pre-intervention),solid
2020-04-10,mod_6,105,848,Cautious return,solid
2020-04-11,mod_2,589,4587,Soc. Dist. + Travel Ban,solid
2020-04-11,mod_3,909,6117,No Intervention,solid
2020-04-11,mod_4,103,793,Moderate return,solid
2020-04-11,mod_5,106,605,Normal (pre-intervention),solid
2020-04-11,mod_6,103,908,Cautious return,solid
2020-04-12,mod_2,692,4736,Soc. Dist. + Travel Ban,solid
2020-04-12,mod_3,1123,7368,No Intervention,solid
2020-04-12,mod_4,104,899,Moderate return,solid
2020-04-12,mod_5,105,1441,Normal (pre-intervention),solid
2020-04-12,mod_6,106,993,Cautious return,solid
2020-04-13,mod_2,830,5583,Soc. Dist. + Travel Ban,solid
2020-04-13,mod_3,1400,9326,No Intervention,solid
2020-04-13,mod_4,101,828,Moderate return,solid
2020-04-13,mod_5,97,482,Normal (pre-intervention),solid
2020-04-13,mod_6,101,615,Cautious return,solid
2020-04-14,mod_2,989,6746,Soc. Dist. + Travel Ban,solid
2020-04-14,mod_3,1765,11119,No Intervention,solid
2020-04-14,mod_4,99,978,Moderate return,solid
2020-04-14,mod_5,103,724,Normal (pre-intervention),solid
2020-04-14,mod_6,103,1074,Cautious return,solid
2020-04-15,mod_2,1213,8406,Soc. Dist. + Travel Ban,solid
2020-04-15,mod_3,2260,14165,No Intervention,solid
2020-04-15,mod_4,97,963,Moderate return,solid
2020-04-15,mod_5,99,1030,Normal (pre-intervention),solid
2020-04-15,mod_6,100,1015,Cautious return,solid
2020-04-16,mod_2,1513,9501,Soc. Dist. + Travel Ban,solid
2020-04-16,mod_3,2914,18524,No Intervention,solid
2020-04-16,mod_4,96,963,Moderate return,solid
2020-04-16,mod_5,99,839,Normal (pre-intervention),solid
2020-04-16,mod_6,95,892,Cautious return,solid
2020-04-17,mod_2,1888,11702,Soc. Dist. + Travel Ban,solid
2020-04-17,mod_3,3813,22216,No Intervention,solid
2020-04-17,mod_4,97,638,Moderate return,solid
2020-04-17,mod_5,100,954,Normal (pre-intervention),solid
2020-04-17,mod_6,97,811,Cautious return,solid
2020-04-18,mod_2,2377,14982,Soc. Dist. + Travel Ban,solid
2020-04-18,mod_3,4978,28556,No Intervention,solid
2020-04-18,mod_4,93,862,Moderate return,solid
2020-04-18,mod_5,103,877,Normal (pre-intervention),solid
2020-04-18,mod_6,101,978,Cautious return,solid
2020-04-19,mod_2,3003,18084,Soc. Dist. + Travel Ban,solid
2020-04-19,mod_3,6437,38034,No Intervention,solid
2020-04-19,mod_4,95,931,Moderate return,solid
2020-04-19,mod_5,93,1092,Normal (pre-intervention),solid
2020-04-19,mod_6,98,682,Cautious return,solid
2020-04-20,mod_2,3807,21567,Soc. Dist. + Travel Ban,solid
2020-04-20,mod_3,8231,47836,No Intervention,solid
2020-04-20,mod_4,98,905,Moderate return,solid
2020-04-20,mod_5,91,579,Normal (pre-intervention),solid
2020-04-20,mod_6,99,964,Cautious return,solid
2020-04-21,mod_2,4785,26521,Soc. Dist. + Travel Ban,solid
2020-04-21,mod_3,10371,59084,No Intervention,solid
2020-04-21,mod_4,95,669,Moderate return,solid
2020-04-21,mod_5,95,900,Normal (pre-intervention),solid
2020-04-21,mod_6,98,885,Cautious return,solid
2020-04-22,mod_2,5968,32706,Soc. Dist. + Travel Ban,solid
2020-04-22,mod_3,12874,74913,No Intervention,solid
2020-04-22,mod_4,99,1072,Moderate return,solid
2020-04-22,mod_5,96,744,Normal (pre-intervention),solid
2020-04-22,mod_6,98,942,Cautious return,solid
2020-04-23,mod_2,7385,38884,Soc. Dist. + Travel Ban,solid
2020-04-23,mod_3,15732,96633,No Intervention,solid
2020-04-23,mod_4,102,983,Moderate return,solid
2020-04-23,mod_5,106,956,Normal (pre-intervention),solid
2020-04-23,mod_6,101,893,Cautious return,solid
2020-04-24,mod_2,9033,47728,Soc. Dist. + Travel Ban,solid
2020-04-24,mod_3,18961,118383,No Intervention,solid
2020-04-24,mod_4,110,926,Moderate return,solid
2020-04-24,mod_5,111,1216,Normal (pre-intervention),solid
2020-04-24,mod_6,101,1024,Cautious return,solid
2020-04-25,mod_2,10938,58868,Soc. Dist. + Travel Ban,solid
2020-04-25,mod_3,22540,155604,No Intervention,solid
2020-04-25,mod_4,112,1208,Moderate return,solid
2020-04-25,mod_5,122,1185,Normal (pre-intervention),solid
2020-04-25,mod_6,107,1090,Cautious return,solid
2020-04-26,mod_2,13059,76484,Soc. Dist. + Travel Ban,solid
2020-04-26,mod_3,26477,190558,No Intervention,solid
2020-04-26,mod_4,119,1221,Moderate return,solid
2020-04-26,mod_5,136,1207,Normal (pre-intervention),solid
2020-04-26,mod_6,112,1160,Cautious return,solid
2020-04-27,mod_2,15429,85581,Soc. Dist. + Travel Ban,solid
2020-04-27,mod_3,30757,239183,No Intervention,solid
2020-04-27,mod_4,129,1397,Moderate return,solid
2020-04-27,mod_5,160,1880,Normal (pre-intervention),solid
2020-04-27,mod_6,116,1023,Cautious return,solid
2020-04-28,mod_2,17993,107839,Soc. Dist. + Travel Ban,solid
2020-04-28,mod_3,35328,303317,No Intervention,solid
2020-04-28,mod_4,144,1300,Moderate return,solid
2020-04-28,mod_5,175,1339,Normal (pre-intervention),solid
2020-04-28,mod_6,124,898,Cautious return,solid
2020-04-29,mod_2,20743,133493,Soc. Dist. + Travel Ban,solid
2020-04-29,mod_3,40218,374526,No Intervention,solid
2020-04-29,mod_4,157,1240,Moderate return,solid
2020-04-29,mod_5,206,2231,Normal (pre-intervention),solid
2020-04-29,mod_6,135,1237,Cautious return,solid
2020-04-30,mod_2,23663,157491,Soc. Dist. + Travel Ban,solid
2020-04-30,mod_3,45285,461993,No Intervention,solid
2020-04-30,mod_4,177,1772,Moderate return,solid
2020-04-30,mod_5,245,2348,Normal (pre-intervention),solid
2020-04-30,mod_6,141,1398,Cautious return,solid
2020-05-01,mod_2,26709,198212,Soc. Dist. + Travel Ban,solid
2020-05-01,mod_3,50540,559126,No Intervention,solid
2020-05-01,mod_4,195,1745,Moderate return,solid
2020-05-01,mod_5,295,2432,Normal (pre-intervention),solid
2020-05-01,mod_6,157,1173,Cautious return,solid
2020-05-02,mod_2,29883,229075,Soc. Dist. + Travel Ban,solid
2020-05-02,mod_3,55852,666120,No Intervention,solid
2020-05-02,mod_4,221,1684,Moderate return,solid
2020-05-02,mod_5,359,2536,Normal (pre-intervention),solid
2020-05-02,mod_6,173,1452,Cautious return,solid
2020-05-03,mod_2,33153,281047,Soc. Dist. + Travel Ban,solid
2020-05-03,mod_3,61258,800219,No Intervention,solid
2020-05-03,mod_4,251,2211,Moderate return,solid
2020-05-03,mod_5,448,3059,Normal (pre-intervention),solid
2020-05-03,mod_6,194,2027,Cautious return,solid
2020-05-04,mod_2,36424,328017,Soc. Dist. + Travel Ban,solid
2020-05-04,mod_3,66623,914693,No Intervention,solid
2020-05-04,mod_4,298,2249,Moderate return,solid
2020-05-04,mod_5,572,3734,Normal (pre-intervention),solid
2020-05-04,mod_6,210,1429,Cautious return,solid
2020-05-05,mod_2,39713,399080,Soc. Dist. + Travel Ban,solid
2020-05-05,mod_3,71907,1027293,No Intervention,solid
2020-05-05,mod_4,349,2304,Moderate return,solid
2020-05-05,mod_5,743,4037,Normal (pre-intervention),solid
2020-05-05,mod_6,238,1783,Cautious return,solid
2020-05-06,mod_2,43013,459117,Soc. Dist. + Travel Ban,solid
2020-05-06,mod_3,77087,1120143,No Intervention,solid
2020-05-06,mod_4,417,2626,Moderate return,solid
2020-05-06,mod_5,989,5754,Normal (pre-intervention),solid
2020-05-06,mod_6,272,2071,Cautious return,solid
2020-05-07,mod_2,46275,556085,Soc. Dist. + Travel Ban,solid
2020-05-07,mod_3,82184,1225850,No Intervention,solid
2020-05-07,mod_4,507,3281,Moderate return,solid
2020-05-07,mod_5,1329,6803,Normal (pre-intervention),solid
2020-05-07,mod_6,300,2028,Cautious return,solid
2020-05-08,mod_2,49419,616922,Soc. Dist. + Travel Ban,solid
2020-05-08,mod_3,86998,1299680,No Intervention,solid
2020-05-08,mod_4,616,3512,Moderate return,solid
2020-05-08,mod_5,1809,6848,Normal (pre-intervention),solid
2020-05-08,mod_6,347,2222,Cautious return,solid
2020-05-09,mod_2,52534,720257,Soc. Dist. + Travel Ban,solid
2020-05-09,mod_3,91645,1392905,No Intervention,solid
2020-05-09,mod_4,768,4505,Moderate return,solid
2020-05-09,mod_5,2450,9427,Normal (pre-intervention),solid
2020-05-09,mod_6,397,2600,Cautious return,solid
2020-05-10,mod_2,55517,813213,Soc. Dist. + Travel Ban,solid
2020-05-10,mod_3,96040,1499740,No Intervention,solid
2020-05-10,mod_4,955,4180,Moderate return,solid
2020-05-10,mod_5,3342,12060,Normal (pre-intervention),solid
2020-05-10,mod_6,459,2599,Cautious return,solid
2020-05-11,mod_2,58384,877146,Soc. Dist. + Travel Ban,solid
