Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-04-30,mod_2,6895,33434,Soc. Dist. + Travel Ban,solid,Apr 30,"6,895","Apr 30: 6,895 projected cases per day"
2020-04-30,mod_4,171,1728,Moderate return,solid,Apr 30,171,Apr 30: 171 projected cases per day
2020-04-30,mod_5,244,2351,Normal (pre-intervention),solid,Apr 30,244,Apr 30: 244 projected cases per day
2020-04-30,mod_6,145,1213,Cautious return,solid,Apr 30,145,Apr 30: 145 projected cases per day
2020-05-01,mod_2,7945,41680,Soc. Dist. + Travel Ban,solid,May 01,"7,945","May 01: 7,945 projected cases per day"
2020-05-01,mod_4,184,1516,Moderate return,solid,May 01,184,May 01: 184 projected cases per day
2020-05-01,mod_5,289,2478,Normal (pre-intervention),solid,May 01,289,May 01: 289 projected cases per day
2020-05-01,mod_6,150,1497,Cautious return,solid,May 01,150,May 01: 150 projected cases per day
2020-05-02,mod_2,9093,45652,Soc. Dist. + Travel Ban,solid,May 02,"9,093","May 02: 9,093 projected cases per day"
2020-05-02,mod_4,213,2018,Moderate return,solid,May 02,213,May 02: 213 projected cases per day
2020-05-02,mod_5,352,2626,Normal (pre-intervention),solid,May 02,352,May 02: 352 projected cases per day
2020-05-02,mod_6,173,1495,Cautious return,solid,May 02,173,May 02: 173 projected cases per day
2020-05-03,mod_2,10357,56249,Soc. Dist. + Travel Ban,solid,May 03,"10,357","May 03: 10,357 projected cases per day"
2020-05-03,mod_4,239,2086,Moderate return,solid,May 03,239,May 03: 239 projected cases per day
2020-05-03,mod_5,434,3503,Normal (pre-intervention),solid,May 03,434,May 03: 434 projected cases per day
2020-05-03,mod_6,184,1965,Cautious return,solid,May 03,184,May 03: 184 projected cases per day
2020-05-04,mod_2,11696,62622,Soc. Dist. + Travel Ban,solid,May 04,"11,696","May 04: 11,696 projected cases per day"
2020-05-04,mod_4,273,2290,Moderate return,solid,May 04,273,May 04: 273 projected cases per day
2020-05-04,mod_5,555,3598,Normal (pre-intervention),solid,May 04,555,May 04: 555 projected cases per day
2020-05-04,mod_6,209,1012,Cautious return,solid,May 04,209,May 04: 209 projected cases per day
2020-05-05,mod_2,13159,72532,Soc. Dist. + Travel Ban,solid,May 05,"13,159","May 05: 13,159 projected cases per day"
2020-05-05,mod_4,330,3033,Moderate return,solid,May 05,330,May 05: 330 projected cases per day
2020-05-05,mod_5,715,3881,Normal (pre-intervention),solid,May 05,715,May 05: 715 projected cases per day
2020-05-05,mod_6,228,1971,Cautious return,solid,May 05,228,May 05: 228 projected cases per day
2020-05-06,mod_2,14695,84446,Soc. Dist. + Travel Ban,solid,May 06,"14,695","May 06: 14,695 projected cases per day"
2020-05-06,mod_4,384,2520,Moderate return,solid,May 06,384,May 06: 384 projected cases per day
2020-05-06,mod_5,957,5739,Normal (pre-intervention),solid,May 06,957,May 06: 957 projected cases per day
2020-05-06,mod_6,252,1883,Cautious return,solid,May 06,252,May 06: 252 projected cases per day
2020-05-07,mod_2,16288,100306,Soc. Dist. + Travel Ban,solid,May 07,"16,288","May 07: 16,288 projected cases per day"
2020-05-07,mod_4,463,2823,Moderate return,solid,May 07,463,May 07: 463 projected cases per day
2020-05-07,mod_5,1286,6036,Normal (pre-intervention),solid,May 07,"1,286","May 07: 1,286 projected cases per day"
2020-05-07,mod_6,288,2199,Cautious return,solid,May 07,288,May 07: 288 projected cases per day
2020-05-08,mod_2,17936,105767,Soc. Dist. + Travel Ban,solid,May 08,"17,936","May 08: 17,936 projected cases per day"
2020-05-08,mod_4,565,4139,Moderate return,solid,May 08,565,May 08: 565 projected cases per day
2020-05-08,mod_5,1759,6407,Normal (pre-intervention),solid,May 08,"1,759","May 08: 1,759 projected cases per day"
2020-05-08,mod_6,336,2223,Cautious return,solid,May 08,336,May 08: 336 projected cases per day
2020-05-09,mod_2,19617,139910,Soc. Dist. + Travel Ban,solid,May 09,"19,617","May 09: 19,617 projected cases per day"
2020-05-09,mod_4,689,3392,Moderate return,solid,May 09,689,May 09: 689 projected cases per day
2020-05-09,mod_5,2415,9322,Normal (pre-intervention),solid,May 09,"2,415","May 09: 2,415 projected cases per day"
2020-05-09,mod_6,377,2564,Cautious return,solid,May 09,377,May 09: 377 projected cases per day
2020-05-10,mod_2,21325,141473,Soc. Dist. + Travel Ban,solid,May 10,"21,325","May 10: 21,325 projected cases per day"
2020-05-10,mod_4,858,4613,Moderate return,solid,May 10,858,May 10: 858 projected cases per day
2020-05-10,mod_5,3314,10373,Normal (pre-intervention),solid,May 10,"3,314","May 10: 3,314 projected cases per day"
2020-05-10,mod_6,435,2091,Cautious return,solid,May 10,435,May 10: 435 projected cases per day
2020-05-11,mod_2,23068,173707,Soc. Dist. + Travel Ban,solid,May 11,"23,068","May 11: 23,068 projected cases per day"
2020-05-11,mod_4,1086,4800,Moderate return,solid,May 11,"1,086","May 11: 1,086 projected cases per day"
2020-05-11,mod_5,4533,13287,Normal (pre-intervention),solid,May 11,"4,533","May 11: 4,533 projected cases per day"
2020-05-11,mod_6,506,2991,Cautious return,solid,May 11,506,May 11: 506 projected cases per day
2020-05-12,mod_2,24741,190210,Soc. Dist. + Travel Ban,solid,May 12,"24,741","May 12: 24,741 projected cases per day"
2020-05-12,mod_4,1379,5127,Moderate return,solid,May 12,"1,379","May 12: 1,379 projected cases per day"
2020-05-12,mod_5,6152,16060,Normal (pre-intervention),solid,May 12,"6,152","May 12: 6,152 projected cases per day"
2020-05-12,mod_6,586,2689,Cautious return,solid,May 12,586,May 12: 586 projected cases per day
2020-05-13,mod_2,26457,238153,Soc. Dist. + Travel Ban,solid,May 13,"26,457","May 13: 26,457 projected cases per day"
2020-05-13,mod_4,1777,6420,Moderate return,solid,May 13,"1,777","May 13: 1,777 projected cases per day"
2020-05-13,mod_5,8227,20974,Normal (pre-intervention),solid,May 13,"8,227","May 13: 8,227 projected cases per day"
2020-05-13,mod_6,687,3544,Cautious return,solid,May 13,687,May 13: 687 projected cases per day
2020-05-14,mod_2,28142,253862,Soc. Dist. + Travel Ban,solid,May 14,"28,142","May 14: 28,142 projected cases per day"
2020-05-14,mod_4,2215,7386,Moderate return,solid,May 14,"2,215","May 14: 2,215 projected cases per day"
2020-05-14,mod_5,10465,25050,Normal (pre-intervention),solid,May 14,"10,465","May 14: 10,465 projected cases per day"
2020-05-14,mod_6,792,3049,Cautious return,solid,May 14,792,May 14: 792 projected cases per day
2020-05-15,mod_2,29789,287033,Soc. Dist. + Travel Ban,solid,May 15,"29,789","May 15: 29,789 projected cases per day"
2020-05-15,mod_4,2740,8227,Moderate return,solid,May 15,"2,740","May 15: 2,740 projected cases per day"
2020-05-15,mod_5,12889,31225,Normal (pre-intervention),solid,May 15,"12,889","May 15: 12,889 projected cases per day"
2020-05-15,mod_6,929,4278,Cautious return,solid,May 15,929,May 15: 929 projected cases per day
2020-05-16,mod_2,31400,327396,Soc. Dist. + Travel Ban,solid,May 16,"31,400","May 16: 31,400 projected cases per day"
2020-05-16,mod_4,3338,10033,Moderate return,solid,May 16,"3,338","May 16: 3,338 projected cases per day"
2020-05-16,mod_5,15516,40807,Normal (pre-intervention),solid,May 16,"15,516","May 16: 15,516 projected cases per day"
2020-05-16,mod_6,1069,3082,Cautious return,solid,May 16,"1,069","May 16: 1,069 projected cases per day"
2020-05-17,mod_2,32951,373185,Soc. Dist. + Travel Ban,solid,May 17,"32,951","May 17: 32,951 projected cases per day"
2020-05-17,mod_4,4002,9616,Moderate return,solid,May 17,"4,002","May 17: 4,002 projected cases per day"
2020-05-17,mod_5,18277,47935,Normal (pre-intervention),solid,May 17,"18,277","May 17: 18,277 projected cases per day"
2020-05-17,mod_6,1231,4107,Cautious return,solid,May 17,"1,231","May 17: 1,231 projected cases per day"
2020-05-18,mod_2,34585,421722,Soc. Dist. + Travel Ban,solid,May 18,"34,585","May 18: 34,585 projected cases per day"
2020-05-18,mod_4,4753,12860,Moderate return,solid,May 18,"4,753","May 18: 4,753 projected cases per day"
2020-05-18,mod_5,21165,65820,Normal (pre-intervention),solid,May 18,"21,165","May 18: 21,165 projected cases per day"
2020-05-18,mod_6,1419,5013,Cautious return,solid,May 18,"1,419","May 18: 1,419 projected cases per day"
2020-05-19,mod_2,36079,445510,Soc. Dist. + Travel Ban,solid,May 19,"36,079","May 19: 36,079 projected cases per day"
2020-05-19,mod_4,5530,12015,Moderate return,solid,May 19,"5,530","May 19: 5,530 projected cases per day"
2020-05-19,mod_5,24123,72901,Normal (pre-intervention),solid,May 19,"24,123","May 19: 24,123 projected cases per day"
2020-05-19,mod_6,1638,4896,Cautious return,solid,May 19,"1,638","May 19: 1,638 projected cases per day"
2020-05-20,mod_2,37564,514274,Soc. Dist. + Travel Ban,solid,May 20,"37,564","May 20: 37,564 projected cases per day"
2020-05-20,mod_4,6367,14933,Moderate return,solid,May 20,"6,367","May 20: 6,367 projected cases per day"
2020-05-20,mod_5,27103,97804,Normal (pre-intervention),solid,May 20,"27,103","May 20: 27,103 projected cases per day"
2020-05-20,mod_6,1848,4712,Cautious return,solid,May 20,"1,848","May 20: 1,848 projected cases per day"
2020-05-21,mod_2,38971,541665,Soc. Dist. + Travel Ban,solid,May 21,"38,971","May 21: 38,971 projected cases per day"
2020-05-21,mod_4,7212,19495,Moderate return,solid,May 21,"7,212","May 21: 7,212 projected cases per day"
2020-05-21,mod_5,30042,124942,Normal (pre-intervention),solid,May 21,"30,042","May 21: 30,042 projected cases per day"
2020-05-21,mod_6,2090,5322,Cautious return,solid,May 21,"2,090","May 21: 2,090 projected cases per day"
2020-05-22,mod_2,40353,592375,Soc. Dist. + Travel Ban,solid,May 22,"40,353","May 22: 40,353 projected cases per day"
2020-05-22,mod_4,8112,16493,Moderate return,solid,May 22,"8,112","May 22: 8,112 projected cases per day"
2020-05-22,mod_5,32851,150786,Normal (pre-intervention),solid,May 22,"32,851","May 22: 32,851 projected cases per day"
2020-05-22,mod_6,2331,6564,Cautious return,solid,May 22,"2,331","May 22: 2,331 projected cases per day"
2020-05-23,mod_2,41680,647762,Soc. Dist. + Travel Ban,solid,May 23,"41,680","May 23: 41,680 projected cases per day"
2020-05-23,mod_4,9058,23316,Moderate return,solid,May 23,"9,058","May 23: 9,058 projected cases per day"
2020-05-23,mod_5,35567,191641,Normal (pre-intervention),solid,May 23,"35,567","May 23: 35,567 projected cases per day"
