Dates	variable	value	upper_ci	color	type
2020-03-15	True	32	NA	Observed	solid
2020-03-16	True	38	NA	Observed	solid
2020-03-17	True	41	NA	Observed	solid
2020-03-18	True	44	NA	Observed	solid
2020-03-19	True	48	NA	Observed	solid
2020-03-20	True	52	NA	Observed	solid
2020-03-21	True	64	NA	Observed	solid
2020-03-22	True	74	NA	Observed	solid
2020-03-23	True	97	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-24	True	107	NA	Observed	solid
2020-03-25	True	122	NA	Observed	solid
2020-03-26	True	125	NA	Observed	solid
2020-03-27	True	156	NA	Observed	solid
2020-03-28	True	186	NA	Observed	solid
2020-03-29	True	203	NA	Observed	solid
2020-03-30	True	220	NA	Observed	solid
2020-03-31	True	302	NA	Observed	solid
2020-04-01	True	335	NA	Observed	solid
2020-04-02	True	423	NA	Observed	solid
2020-04-03	True	487	NA	Observed	solid
2020-04-04	True	635	NA	Observed	solid
2020-04-05	True	747	NA	Observed	solid
2020-04-06	True	868	NA	Observed	solid
2020-04-07	True	1018	NA	Observed	solid
2020-04-08	True	1135	NA	Observed	solid
2020-04-09	mod_2	1213	7034	Soc. Dist. + Travel Ban	solid
2020-04-09	mod_3	1271	7125	No Intervention	solid
2020-04-09	mod_4	1097	6657	Moderate return	solid
2020-04-09	mod_5	1097	6647	Normal (pre-intervention)	solid
2020-04-09	mod_6	1095	6618	Cautious return	solid
2020-04-10	mod_2	1390	7938	Soc. Dist. + Travel Ban	solid
2020-04-10	mod_3	1508	8369	No Intervention	solid
2020-04-10	mod_4	1162	7205	Moderate return	solid
2020-04-10	mod_5	1162	7129	Normal (pre-intervention)	solid
2020-04-10	mod_6	1161	7175	Cautious return	solid
2020-04-11	mod_2	1592	9139	Soc. Dist. + Travel Ban	solid
2020-04-11	mod_3	1803	9950	No Intervention	solid
2020-04-11	mod_4	1228	7739	Moderate return	solid
2020-04-11	mod_5	1225	7706	Normal (pre-intervention)	solid
2020-04-11	mod_6	1226	7792	Cautious return	solid
2020-04-12	mod_2	1830	10639	Soc. Dist. + Travel Ban	solid
2020-04-12	mod_3	2179	12144	No Intervention	solid
2020-04-12	mod_4	1292	8278	Moderate return	solid
2020-04-12	mod_5	1290	8230	Normal (pre-intervention)	solid
2020-04-12	mod_6	1288	8289	Cautious return	solid
2020-04-13	mod_2	2117	12502	Soc. Dist. + Travel Ban	solid
2020-04-13	mod_3	2670	15112	No Intervention	solid
2020-04-13	mod_4	1353	8804	Moderate return	solid
2020-04-13	mod_5	1354	8818	Normal (pre-intervention)	solid
2020-04-13	mod_6	1348	8830	Cautious return	solid
2020-04-14	mod_2	2468	14922	Soc. Dist. + Travel Ban	solid
2020-04-14	mod_3	3329	19299	No Intervention	solid
2020-04-14	mod_4	1414	9361	Moderate return	solid
2020-04-14	mod_5	1416	9378	Normal (pre-intervention)	solid
2020-04-14	mod_6	1408	9358	Cautious return	solid
2020-04-15	mod_2	2903	17863	Soc. Dist. + Travel Ban	solid
2020-04-15	mod_3	4235	25263	No Intervention	solid
2020-04-15	mod_4	1476	9910	Moderate return	solid
2020-04-15	mod_5	1476	9946	Normal (pre-intervention)	solid
2020-04-15	mod_6	1469	9923	Cautious return	solid
2020-04-16	mod_2	3456	21653	Soc. Dist. + Travel Ban	solid
2020-04-16	mod_3	5513	34024	No Intervention	solid
2020-04-16	mod_4	1537	10505	Moderate return	solid
2020-04-16	mod_5	1535	10473	Normal (pre-intervention)	solid
2020-04-16	mod_6	1530	10468	Cautious return	solid
2020-04-17	mod_2	4171	26603	Soc. Dist. + Travel Ban	solid
2020-04-17	mod_3	7371	46078	No Intervention	solid
2020-04-17	mod_4	1599	11066	Moderate return	solid
2020-04-17	mod_5	1598	11045	Normal (pre-intervention)	solid
2020-04-17	mod_6	1591	11049	Cautious return	solid
2020-04-18	mod_2	5113	32940	Soc. Dist. + Travel Ban	solid
2020-04-18	mod_3	10120	64175	No Intervention	solid
2020-04-18	mod_4	1659	11660	Moderate return	solid
2020-04-18	mod_5	1662	11606	Normal (pre-intervention)	solid
2020-04-18	mod_6	1654	11595	Cautious return	solid
2020-04-19	mod_2	6382	41512	Soc. Dist. + Travel Ban	solid
2020-04-19	mod_3	14222	89976	No Intervention	solid
2020-04-19	mod_4	1721	12334	Moderate return	solid
2020-04-19	mod_5	1724	12296	Normal (pre-intervention)	solid
2020-04-19	mod_6	1716	12204	Cautious return	solid
2020-04-20	mod_2	8098	52723	Soc. Dist. + Travel Ban	solid
2020-04-20	mod_3	20284	127943	No Intervention	solid
2020-04-20	mod_4	1785	12962	Moderate return	solid
2020-04-20	mod_5	1788	13021	Normal (pre-intervention)	solid
2020-04-20	mod_6	1778	12794	Cautious return	solid
2020-04-21	mod_2	10430	67467	Soc. Dist. + Travel Ban	solid
2020-04-21	mod_3	29061	181075	No Intervention	solid
2020-04-21	mod_4	1850	13601	Moderate return	solid
2020-04-21	mod_5	1854	13528	Normal (pre-intervention)	solid
2020-04-21	mod_6	1843	13523	Cautious return	solid
2020-04-22	mod_2	13618	86767	Soc. Dist. + Travel Ban	solid
2020-04-22	mod_3	41421	259504	No Intervention	solid
2020-04-22	mod_4	1918	14215	Moderate return	solid
2020-04-22	mod_5	1921	14179	Normal (pre-intervention)	solid
2020-04-22	mod_6	1911	14094	Cautious return	solid
2020-04-23	mod_2	17960	112875	Soc. Dist. + Travel Ban	solid
2020-04-23	mod_3	58358	370895	No Intervention	solid
2020-04-23	mod_4	1990	14907	Moderate return	solid
2020-04-23	mod_5	1996	14903	Normal (pre-intervention)	solid
2020-04-23	mod_6	1983	14802	Cautious return	solid
2020-04-24	mod_2	23796	145570	Soc. Dist. + Travel Ban	solid
2020-04-24	mod_3	80957	531508	No Intervention	solid
2020-04-24	mod_4	2070	15713	Moderate return	solid
2020-04-24	mod_5	2080	15875	Normal (pre-intervention)	solid
2020-04-24	mod_6	2059	15535	Cautious return	solid
2020-04-25	mod_2	31496	190720	Soc. Dist. + Travel Ban	solid
2020-04-25	mod_3	110199	760762	No Intervention	solid
