Dates	variable	value	upper_ci	color	type
2020-03-15	True	24	NA	Observed	solid
2020-03-16	True	27	NA	Observed	solid
2020-03-17	True	27	NA	Observed	solid
2020-03-18	True	27	NA	Observed	solid
2020-03-19	True	28	NA	Observed	solid
2020-03-20	True	40	NA	Observed	solid
2020-03-21	True	52	NA	Observed	solid
2020-03-22	True	67	NA	Observed	solid
2020-03-23	True	95	NA	Observed	solid
2020-03-24	True	109	NA	Observed	solid
2020-03-25	True	118	NA	Observed	solid
2020-03-26	True	137	NA	Observed	solid
2020-03-27	True	176	NA	Observed	solid
2020-03-28	True	182	NA	Observed	solid
2020-03-29	True	202	NA	Observed	solid
2020-03-30	True	234	NA	Observed	solid
2020-03-31	True	241	NA	Observed	solid
2020-04-01	True	265	NA	Observed	solid
2020-04-02	True	286	NA	Observed	solid
2020-04-03	True	295	NA	Observed	solid
2020-04-04	True	306	NA	Observed	solid
2020-04-05	True	314	NA	Observed	solid
2020-04-06	True	327	NA	Observed	solid
2020-04-07	True	335	NA	Observed	solid
2020-04-08	True	344	NA	Observed	solid
2020-04-09	True	356	NA	Observed	solid
2020-04-10	True	363	NA	Observed	solid
2020-04-11	True	373	NA	Observed	solid
2020-04-12	True	375	NA	Observed	solid
2020-04-13	mod_2	419	2103	Social distancing	solid
2020-04-13	mod_3	436	2153	No intervention	solid
2020-04-13	mod_4	401	2020	Lockdown with moderate release	solid
2020-04-14	mod_2	467	2423	Social distancing	solid
2020-04-14	mod_3	501	2551	No intervention	solid
2020-04-14	mod_4	427	2272	Lockdown with moderate release	solid
2020-04-15	mod_2	521	2790	Social distancing	solid
2020-04-15	mod_3	582	3022	No intervention	solid
2020-04-15	mod_4	451	2482	Lockdown with moderate release	solid
2020-04-16	mod_2	581	3212	Social distancing	solid
2020-04-16	mod_3	680	3627	No intervention	solid
2020-04-16	mod_4	472	2706	Lockdown with moderate release	solid
2020-04-17	mod_2	651	3683	Social distancing	solid
2020-04-17	mod_3	801	4382	No intervention	solid
2020-04-17	mod_4	494	2914	Lockdown with moderate release	solid
2020-04-18	mod_2	731	4273	Social distancing	solid
2020-04-18	mod_3	954	5409	No intervention	solid
2020-04-18	mod_4	515	3150	Lockdown with moderate release	solid
2020-04-19	mod_2	823	4922	Social distancing	solid
