Dates	variable	value	upper_ci	color	type
2020-03-15	True	4	NA	Observed	solid
2020-03-16	True	4	NA	Observed	solid
2020-03-17	True	4	NA	Observed	solid
2020-03-18	True	7	NA	Observed	solid
2020-03-19	True	9	NA	Observed	solid
2020-03-20	True	17	NA	Observed	solid
2020-03-21	True	24	NA	Observed	solid
2020-03-22	True	28	NA	Observed	solid
2020-03-23	True	32	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-24	True	32	NA	Observed	solid
2020-03-25	True	38	NA	Observed	solid
2020-03-26	True	40	NA	Observed	solid
2020-03-27	True	50	NA	Observed	solid
2020-03-28	True	54	NA	Observed	solid
2020-03-29	True	59	NA	Observed	solid
2020-03-30	True	79	NA	Observed	solid
2020-03-31	True	93	NA	Observed	solid
2020-04-01	True	120	NA	Observed	solid
2020-04-02	True	133	NA	Observed	solid
2020-04-03	True	179	NA	Observed	solid
2020-04-04	True	206	NA	Observed	solid
2020-04-05	True	266	NA	Observed	solid
2020-04-06	True	301	NA	Observed	solid
2020-04-07	True	343	NA	Observed	solid
2020-04-08	True	383	NA	Observed	solid
2020-04-09	True	463	NA	Observed	solid
2020-04-10	True	561	NA	Observed	solid
2020-04-11	True	700	NA	Observed	solid
2020-04-12	True	804	NA	Observed	solid
2020-04-13	True	897	NA	Observed	solid
2020-04-14	True	1005	NA	Observed	solid
2020-04-15	True	1076	NA	Observed	solid
2020-04-16	True	1131	NA	Observed	solid
2020-04-17	mod_2	1355	6755	Soc. Dist. + Travel Ban	solid
2020-04-17	mod_3	1394	6536	No Intervention	solid
2020-04-17	mod_4	1195	6183	Moderate return	solid
2020-04-17	mod_5	1188	5901	Normal (pre-intervention)	solid
2020-04-17	mod_6	1212	6057	Cautious return	solid
2020-04-18	mod_2	1590	8018	Soc. Dist. + Travel Ban	solid
2020-04-18	mod_3	1692	7755	No Intervention	solid
2020-04-18	mod_4	1287	6455	Moderate return	solid
2020-04-18	mod_5	1277	6722	Normal (pre-intervention)	solid
2020-04-18	mod_6	1298	6745	Cautious return	solid
2020-04-19	mod_2	1846	8941	Soc. Dist. + Travel Ban	solid
2020-04-19	mod_3	2060	9796	No Intervention	solid
2020-04-19	mod_4	1375	7006	Moderate return	solid
2020-04-19	mod_5	1368	7187	Normal (pre-intervention)	solid
2020-04-19	mod_6	1390	7312	Cautious return	solid
2020-04-20	mod_2	2141	10302	Soc. Dist. + Travel Ban	solid
2020-04-20	mod_3	2497	11679	No Intervention	solid
2020-04-20	mod_4	1465	7931	Moderate return	solid
2020-04-20	mod_5	1455	7579	Normal (pre-intervention)	solid
2020-04-20	mod_6	1470	7171	Cautious return	solid
2020-04-21	mod_2	2520	12640	Soc. Dist. + Travel Ban	solid
2020-04-21	mod_3	3058	16087	No Intervention	solid
2020-04-21	mod_4	1553	8212	Moderate return	solid
2020-04-21	mod_5	1532	7976	Normal (pre-intervention)	solid
2020-04-21	mod_6	1555	8474	Cautious return	solid
2020-04-22	mod_2	2972	15293	Soc. Dist. + Travel Ban	solid
2020-04-22	mod_3	3793	18298	No Intervention	solid
2020-04-22	mod_4	1651	9385	Moderate return	solid
2020-04-22	mod_5	1612	9123	Normal (pre-intervention)	solid
2020-04-22	mod_6	1655	9181	Cautious return	solid
2020-04-23	mod_2	3525	18347	Soc. Dist. + Travel Ban	solid
2020-04-23	mod_3	4725	24992	No Intervention	solid
2020-04-23	mod_4	1756	9787	Moderate return	solid
2020-04-23	mod_5	1709	9318	Normal (pre-intervention)	solid
2020-04-23	mod_6	1757	9578	Cautious return	solid
2020-04-24	mod_2	4253	21291	Soc. Dist. + Travel Ban	solid
2020-04-24	mod_3	5905	33168	No Intervention	solid
2020-04-24	mod_4	1836	10471	Moderate return	solid
2020-04-24	mod_5	1786	10001	Normal (pre-intervention)	solid
2020-04-24	mod_6	1842	10704	Cautious return	solid
2020-04-25	mod_2	5201	27820	Soc. Dist. + Travel Ban	solid
2020-04-25	mod_3	7476	43396	No Intervention	solid
2020-04-25	mod_4	1924	11998	Moderate return	solid
2020-04-25	mod_5	1887	10707	Normal (pre-intervention)	solid
2020-04-25	mod_6	1944	11073	Cautious return	solid
2020-04-26	mod_2	6482	33991	Soc. Dist. + Travel Ban	solid
2020-04-26	mod_3	9576	57522	No Intervention	solid
2020-04-26	mod_4	2037	11886	Moderate return	solid
2020-04-26	mod_5	1975	11794	Normal (pre-intervention)	solid
2020-04-26	mod_6	2029	11626	Cautious return	solid
2020-04-27	mod_2	8237	44418	Soc. Dist. + Travel Ban	solid
2020-04-27	mod_3	12404	82848	No Intervention	solid
2020-04-27	mod_4	2117	12922	Moderate return	solid
2020-04-27	mod_5	2090	12425	Normal (pre-intervention)	solid
2020-04-27	mod_6	2111	12437	Cautious return	solid
2020-04-28	mod_2	10633	59244	Soc. Dist. + Travel Ban	solid
2020-04-28	mod_3	16313	112164	No Intervention	solid
2020-04-28	mod_4	2216	13312	Moderate return	solid
2020-04-28	mod_5	2188	12731	Normal (pre-intervention)	solid
2020-04-28	mod_6	2225	12713	Cautious return	solid
2020-04-29	mod_2	13940	73230	Soc. Dist. + Travel Ban	solid
2020-04-29	mod_3	21661	152893	No Intervention	solid
2020-04-29	mod_4	2313	13674	Moderate return	solid
2020-04-29	mod_5	2308	14644	Normal (pre-intervention)	solid
2020-04-29	mod_6	2339	13189	Cautious return	solid
2020-04-30	mod_2	18479	99951	Soc. Dist. + Travel Ban	solid
2020-04-30	mod_3	28976	213796	No Intervention	solid
2020-04-30	mod_4	2426	14930	Moderate return	solid
2020-04-30	mod_5	2447	15230	Normal (pre-intervention)	solid
2020-04-30	mod_6	2435	14507	Cautious return	solid
2020-05-01	mod_2	24652	132461	Soc. Dist. + Travel Ban	solid
2020-05-01	mod_3	39093	297613	No Intervention	solid
2020-05-01	mod_4	2500	15626	Moderate return	solid
2020-05-01	mod_5	2562	15831	Normal (pre-intervention)	solid
2020-05-01	mod_6	2573	16412	Cautious return	solid
2020-05-02	mod_2	32627	164394	Soc. Dist. + Travel Ban	solid
2020-05-02	mod_3	52955	431439	No Intervention	solid
2020-05-02	mod_4	2627	18012	Moderate return	solid
2020-05-02	mod_5	2668	17641	Normal (pre-intervention)	solid
2020-05-02	mod_6	2704	16553	Cautious return	solid
2020-05-03	mod_2	42520	219728	Soc. Dist. + Travel Ban	solid
