Dates	variable	value	upper_ci	color	type
2020-03-15	True	0	NA	Observed	solid
2020-03-16	True	0	NA	Observed	solid
2020-03-17	True	0	NA	Observed	solid
2020-03-18	True	0	NA	Observed	solid
2020-03-19	True	0	NA	Observed	solid
2020-03-20	True	0	NA	Observed	solid
2020-03-21	True	0	NA	Observed	solid
2020-03-22	True	2	NA	Observed	solid
2020-03-23	True	3	NA	Observed	solid
2020-03-24	True	3	NA	Observed	solid
2020-03-25	True	4	NA	Observed	solid
2020-03-26	True	7	NA	Observed	solid
2020-03-27	True	9	NA	Observed	solid
2020-03-28	True	11	NA	Observed	solid
2020-03-29	True	15	NA	Observed	solid
2020-03-30	True	15	NA	Observed	solid
2020-03-31	True	21	NA	Observed	solid
2020-04-01	True	24	NA	Observed	solid
2020-04-02	True	29	NA	Observed	solid
2020-04-03	True	31	NA	Observed	solid
2020-04-04	True	32	NA	Observed	solid
2020-04-05	True	32	NA	Observed	solid
2020-04-06	True	32	NA	Observed	solid
2020-04-07	True	38	NA	Observed	solid
2020-04-08	True	39	NA	Observed	solid
2020-04-09	True	58	NA	Observed	solid
2020-04-10	True	60	NA	Observed	solid
2020-04-11	True	64	NA	Observed	solid
2020-04-12	True	64	NA	Observed	solid
2020-04-13	True	66	NA	Observed	solid
2020-04-14	True	66	NA	Observed	solid
2020-04-15	True	72	NA	Observed	solid
2020-04-16	True	83	NA	Observed	solid
2020-04-17	True	85	NA	Observed	solid
2020-04-18	mod_2	90	689	Social distancing	solid
2020-04-18	mod_3	91	708	No intervention	solid
2020-04-18	mod_4	84	660	Lockdown with moderate release	solid
2020-04-19	mod_2	98	750	Social distancing	solid
2020-04-19	mod_3	101	754	No intervention	solid
2020-04-19	mod_4	88	693	Lockdown with moderate release	solid
2020-04-20	mod_2	107	791	Social distancing	solid
2020-04-20	mod_3	111	809	No intervention	solid
2020-04-20	mod_4	92	721	Lockdown with moderate release	solid
2020-04-21	mod_2	116	857	Social distancing	solid
2020-04-21	mod_3	122	887	No intervention	solid
2020-04-21	mod_4	96	750	Lockdown with moderate release	solid
2020-04-22	mod_2	127	917	Social distancing	solid
2020-04-22	mod_3	135	962	No intervention	solid
2020-04-22	mod_4	100	780	Lockdown with moderate release	solid
2020-04-23	mod_2	139	993	Social distancing	solid
2020-04-23	mod_3	150	1057	No intervention	solid
2020-04-23	mod_4	103	808	Lockdown with moderate release	solid
2020-04-24	mod_2	152	1086	Social distancing	solid
2020-04-24	mod_3	168	1171	No intervention	solid
2020-04-24	mod_4	107	830	Lockdown with moderate release	solid
2020-04-25	mod_2	167	1201	Social distancing	solid
2020-04-25	mod_3	188	1304	No intervention	solid
2020-04-25	mod_4	111	862	Lockdown with moderate release	solid
2020-04-26	mod_2	185	1312	Social distancing	solid
2020-04-26	mod_3	211	1461	No intervention	solid
2020-04-26	mod_4	114	897	Lockdown with moderate release	solid
2020-04-27	mod_2	205	1450	Social distancing	solid
2020-04-27	mod_3	240	1649	No intervention	solid
2020-04-27	mod_4	118	926	Lockdown with moderate release	solid
2020-04-28	mod_2	230	1621	Social distancing	solid
2020-04-28	mod_3	274	1876	No intervention	solid
2020-04-28	mod_4	121	949	Lockdown with moderate release	solid
2020-04-29	mod_2	259	1819	Social distancing	solid
2020-04-29	mod_3	316	2138	No intervention	solid
2020-04-29	mod_4	125	982	Lockdown with moderate release	solid
2020-04-30	mod_2	295	2062	Social distancing	solid
2020-04-30	mod_3	368	2474	No intervention	solid
2020-04-30	mod_4	128	1026	Lockdown with moderate release	solid
2020-05-01	mod_2	340	2323	Social distancing	solid
2020-05-01	mod_3	435	2873	No intervention	solid
2020-05-01	mod_4	132	1048	Lockdown with moderate release	solid
2020-05-02	mod_2	397	2616	Social distancing	solid
2020-05-02	mod_3	519	3336	No intervention	solid
2020-05-02	mod_4	135	1083	Lockdown with moderate release	solid
2020-05-03	mod_2	470	3020	Social distancing	solid
2020-05-03	mod_3	626	3947	No intervention	solid
2020-05-03	mod_4	139	1121	Lockdown with moderate release	solid
2020-05-04	mod_2	563	3467	Social distancing	solid
2020-05-04	mod_3	762	4682	No intervention	solid
2020-05-04	mod_4	143	1151	Lockdown with moderate release	solid
2020-05-05	mod_2	679	4023	Social distancing	solid
2020-05-05	mod_3	934	5533	No intervention	solid
2020-05-05	mod_4	146	1189	Lockdown with moderate release	solid
2020-05-06	mod_2	825	4656	Social distancing	solid
2020-05-06	mod_3	1150	6702	No intervention	solid
2020-05-06	mod_4	150	1232	Lockdown with moderate release	solid
2020-05-07	mod_2	1005	5376	Social distancing	solid
2020-05-07	mod_3	1418	8017	No intervention	solid
2020-05-07	mod_4	154	1257	Lockdown with moderate release	solid
2020-05-08	mod_2	1226	6310	Social distancing	solid
2020-05-08	mod_3	1746	9658	No intervention	solid
2020-05-08	mod_4	158	1294	Lockdown with moderate release	solid
2020-05-09	mod_2	1491	7394	Social distancing	solid
2020-05-09	mod_3	2145	11771	No intervention	solid
2020-05-09	mod_4	162	1335	Lockdown with moderate release	solid
2020-05-10	mod_2	1809	8724	Social distancing	solid
2020-05-10	mod_3	2622	14301	No intervention	solid
2020-05-10	mod_4	166	1384	Lockdown with moderate release	solid
2020-05-11	mod_2	2181	10382	Social distancing	solid
2020-05-11	mod_3	3188	17412	No intervention	solid
2020-05-11	mod_4	170	1400	Lockdown with moderate release	solid
2020-05-12	mod_2	2616	12270	Social distancing	solid
2020-05-12	mod_3	3849	21381	No intervention	solid
2020-05-12	mod_4	174	1456	Lockdown with moderate release	solid
2020-05-13	mod_2	3116	14717	Social distancing	solid
2020-05-13	mod_3	4613	25949	No intervention	solid
2020-05-13	mod_4	179	1505	Lockdown with moderate release	solid
2020-05-14	mod_2	3685	17566	Social distancing	solid
2020-05-14	mod_3	5486	31887	No intervention	solid
2020-05-14	mod_4	184	1555	Lockdown with moderate release	solid
2020-05-15	mod_2	4327	21034	Social distancing	solid
2020-05-15	mod_3	6470	39039	No intervention	solid
2020-05-15	mod_4	189	1592	Lockdown with moderate release	solid
2020-05-16	mod_2	5043	25078	Social distancing	solid
2020-05-16	mod_3	7570	47713	No intervention	solid
2020-05-16	mod_4	195	1655	Lockdown with moderate release	solid
2020-05-17	mod_2	5834	30065	Social distancing	solid
2020-05-17	mod_3	8788	58260	No intervention	solid
2020-05-17	mod_4	202	1717	Lockdown with moderate release	solid
2020-05-18	mod_2	6702	36030	Social distancing	solid
2020-05-18	mod_3	10128	70883	No intervention	solid
2020-05-18	mod_4	210	1785	Lockdown with moderate release	solid
2020-05-19	mod_2	7648	43082	Social distancing	solid
2020-05-19	mod_3	11589	85644	No intervention	solid
2020-05-19	mod_4	218	1851	Lockdown with moderate release	solid
2020-05-20	mod_2	8672	51446	Social distancing	solid
2020-05-20	mod_3	13171	102827	No intervention	solid
2020-05-20	mod_4	228	1926	Lockdown with moderate release	solid
2020-05-21	mod_2	9774	61576	Social distancing	solid
2020-05-21	mod_3	14873	123437	No intervention	solid
2020-05-21	mod_4	239	2018	Lockdown with moderate release	solid
2020-05-22	mod_2	10954	72878	Social distancing	solid
2020-05-22	mod_3	16694	147276	No intervention	solid
2020-05-22	mod_4	252	2119	Lockdown with moderate release	solid
2020-05-23	mod_2	12209	86297	Social distancing	solid
2020-05-23	mod_3	18631	174365	No intervention	solid
2020-05-23	mod_4	268	2212	Lockdown with moderate release	solid
2020-05-24	mod_2	13539	102060	Social distancing	solid
2020-05-24	mod_3	20683	204325	No intervention	solid
2020-05-24	mod_4	287	2339	Lockdown with moderate release	solid
2020-05-25	mod_2	14942	118624	Social distancing	solid
2020-05-25	mod_3	22846	236314	No intervention	solid
2020-05-25	mod_4	309	2460	Lockdown with moderate release	solid
2020-05-26	mod_2	16415	139495	Social distancing	solid
2020-05-26	mod_3	25119	271510	No intervention	solid
2020-05-26	mod_4	337	2641	Lockdown with moderate release	solid
2020-05-27	mod_2	17955	160879	Social distancing	solid
2020-05-27	mod_3	27497	309790	No intervention	solid
2020-05-27	mod_4	371	2811	Lockdown with moderate release	solid
2020-05-28	mod_2	19557	184703	Social distancing	solid
2020-05-28	mod_3	29973	352177	No intervention	solid
2020-05-28	mod_4	414	2996	Lockdown with moderate release	solid
2020-05-29	mod_2	21222	211353	Social distancing	solid
2020-05-29	mod_3	32549	394398	No intervention	solid
2020-05-29	mod_4	467	3219	Lockdown with moderate release	solid
2020-05-30	mod_2	22946	240044	Social distancing	solid
2020-05-30	mod_3	35218	439525	No intervention	solid
2020-05-30	mod_4	534	3471	Lockdown with moderate release	solid
2020-05-31	mod_2	24722	270599	Social distancing	solid
2020-05-31	mod_3	37975	487079	No intervention	solid
2020-05-31	mod_4	619	3724	Lockdown with moderate release	solid
2020-06-01	mod_2	26551	303974	Social distancing	solid
2020-06-01	mod_3	40815	535551	No intervention	solid
2020-06-01	mod_4	726	4131	Lockdown with moderate release	solid
2020-06-02	mod_2	28425	340257	Social distancing	solid
2020-06-02	mod_3	43734	585765	No intervention	solid
2020-06-02	mod_4	855	4502	Lockdown with moderate release	solid
2020-06-03	mod_2	30346	378763	Social distancing	solid
2020-06-03	mod_3	46723	635444	No intervention	solid
2020-06-03	mod_4	1010	4931	Lockdown with moderate release	solid
2020-06-04	mod_2	32306	417544	Social distancing	solid
2020-06-04	mod_3	49782	685581	No intervention	solid
2020-06-04	mod_4	1194	5484	Lockdown with moderate release	solid
2020-06-05	mod_2	34305	458392	Social distancing	solid
2020-06-05	mod_3	52900	735400	No intervention	solid
2020-06-05	mod_4	1411	6048	Lockdown with moderate release	solid
2020-06-06	mod_2	36337	500721	Social distancing	solid
2020-06-06	mod_3	56073	782919	No intervention	solid
2020-06-06	mod_4	1663	6736	Lockdown with moderate release	solid
2020-06-07	mod_2	38401	544931	Social distancing	solid
2020-06-07	mod_3	59295	828402	No intervention	solid
2020-06-07	mod_4	1953	7431	Lockdown with moderate release	solid
2020-06-08	mod_2	40492	590028	Social distancing	solid
2020-06-08	mod_3	62560	872447	No intervention	solid
2020-06-08	mod_4	2283	8393	Lockdown with moderate release	solid
2020-06-09	mod_2	42613	635169	Social distancing	solid
2020-06-09	mod_3	65868	911732	No intervention	solid
2020-06-09	mod_4	2654	9375	Lockdown with moderate release	solid
2020-06-10	mod_2	44755	677371	Social distancing	solid
