Dates	variable	value	upper_ci	color	type
2020-03-15	True	0	NA	Observed	solid
2020-03-16	True	0	NA	Observed	solid
2020-03-17	True	0	NA	Observed	solid
2020-03-18	True	0	NA	Observed	solid
2020-03-19	True	0	NA	Observed	solid
2020-03-20	True	0	NA	Observed	solid
2020-03-21	True	0	NA	Observed	solid
2020-03-22	True	2	NA	Observed	solid
2020-03-23	True	3	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-24	True	3	NA	Observed	solid
2020-03-25	True	4	NA	Observed	solid
2020-03-26	True	7	NA	Observed	solid
2020-03-27	True	9	NA	Observed	solid
2020-03-28	True	11	NA	Observed	solid
2020-03-29	True	15	NA	Observed	solid
2020-03-30	True	15	NA	Observed	solid
2020-03-31	True	21	NA	Observed	solid
2020-04-01	True	24	NA	Observed	solid
2020-04-02	True	29	NA	Observed	solid
2020-04-03	True	31	NA	Observed	solid
2020-04-04	True	32	NA	Observed	solid
2020-04-05	True	32	NA	Observed	solid
2020-04-06	True	32	NA	Observed	solid
2020-04-07	True	38	NA	Observed	solid
2020-04-08	True	39	NA	Observed	solid
2020-04-09	True	58	NA	Observed	solid
2020-04-10	True	60	NA	Observed	solid
2020-04-11	True	64	NA	Observed	solid
2020-04-12	True	64	NA	Observed	solid
2020-04-13	True	66	NA	Observed	solid
2020-04-14	True	66	NA	Observed	solid
2020-04-15	True	72	NA	Observed	solid
2020-04-16	True	83	NA	Observed	solid
2020-04-17	True	85	NA	Observed	solid
2020-04-18	True	86	NA	Observed	solid
2020-04-19	mod_2	93	727	Soc. Dist. + Travel Ban	solid
2020-04-19	mod_3	99	736	No Intervention	solid
2020-04-19	mod_4	89	705	Moderate return	solid
2020-04-19	mod_5	88	706	Normal (pre-intervention)	solid
2020-04-19	mod_6	89	702	Cautious return	solid
2020-04-20	mod_2	100	769	Soc. Dist. + Travel Ban	solid
2020-04-20	mod_3	112	804	No Intervention	solid
2020-04-20	mod_4	92	725	Moderate return	solid
2020-04-20	mod_5	92	725	Normal (pre-intervention)	solid
2020-04-20	mod_6	92	732	Cautious return	solid
2020-04-21	mod_2	107	821	Soc. Dist. + Travel Ban	solid
2020-04-21	mod_3	126	892	No Intervention	solid
2020-04-21	mod_4	96	751	Moderate return	solid
2020-04-21	mod_5	95	754	Normal (pre-intervention)	solid
2020-04-21	mod_6	96	750	Cautious return	solid
2020-04-22	mod_2	115	872	Soc. Dist. + Travel Ban	solid
2020-04-22	mod_3	143	986	No Intervention	solid
2020-04-22	mod_4	99	782	Moderate return	solid
2020-04-22	mod_5	99	779	Normal (pre-intervention)	solid
2020-04-22	mod_6	99	773	Cautious return	solid
2020-04-23	mod_2	123	912	Soc. Dist. + Travel Ban	solid
2020-04-23	mod_3	163	1116	No Intervention	solid
2020-04-23	mod_4	103	803	Moderate return	solid
2020-04-23	mod_5	102	803	Normal (pre-intervention)	solid
2020-04-23	mod_6	102	802	Cautious return	solid
2020-04-24	mod_2	132	971	Soc. Dist. + Travel Ban	solid
2020-04-24	mod_3	187	1273	No Intervention	solid
2020-04-24	mod_4	106	829	Moderate return	solid
2020-04-24	mod_5	105	828	Normal (pre-intervention)	solid
2020-04-24	mod_6	106	828	Cautious return	solid
2020-04-25	mod_2	141	1043	Soc. Dist. + Travel Ban	solid
2020-04-25	mod_3	217	1457	No Intervention	solid
2020-04-25	mod_4	109	854	Moderate return	solid
2020-04-25	mod_5	109	852	Normal (pre-intervention)	solid
2020-04-25	mod_6	109	856	Cautious return	solid
2020-04-26	mod_2	151	1114	Soc. Dist. + Travel Ban	solid
2020-04-26	mod_3	252	1697	No Intervention	solid
2020-04-26	mod_4	113	885	Moderate return	solid
2020-04-26	mod_5	112	876	Normal (pre-intervention)	solid
2020-04-26	mod_6	112	890	Cautious return	solid
2020-04-27	mod_2	162	1187	Soc. Dist. + Travel Ban	solid
2020-04-27	mod_3	297	1991	No Intervention	solid
2020-04-27	mod_4	116	907	Moderate return	solid
2020-04-27	mod_5	115	899	Normal (pre-intervention)	solid
2020-04-27	mod_6	115	905	Cautious return	solid
2020-04-28	mod_2	173	1269	Soc. Dist. + Travel Ban	solid
2020-04-28	mod_3	354	2375	No Intervention	solid
2020-04-28	mod_4	119	933	Moderate return	solid
2020-04-28	mod_5	118	935	Normal (pre-intervention)	solid
2020-04-28	mod_6	118	931	Cautious return	solid
2020-04-29	mod_2	186	1353	Soc. Dist. + Travel Ban	solid
2020-04-29	mod_3	427	2846	No Intervention	solid
2020-04-29	mod_4	122	967	Moderate return	solid
2020-04-29	mod_5	122	955	Normal (pre-intervention)	solid
2020-04-29	mod_6	122	965	Cautious return	solid
2020-04-30	mod_2	201	1457	Soc. Dist. + Travel Ban	solid
2020-04-30	mod_3	522	3491	No Intervention	solid
2020-04-30	mod_4	126	995	Moderate return	solid
2020-04-30	mod_5	125	986	Normal (pre-intervention)	solid
2020-04-30	mod_6	125	988	Cautious return	solid
2020-05-01	mod_2	216	1571	Soc. Dist. + Travel Ban	solid
2020-05-01	mod_3	649	4273	No Intervention	solid
2020-05-01	mod_4	129	1014	Moderate return	solid
2020-05-01	mod_5	128	1014	Normal (pre-intervention)	solid
2020-05-01	mod_6	128	1024	Cautious return	solid
2020-05-02	mod_2	234	1699	Soc. Dist. + Travel Ban	solid
2020-05-02	mod_3	820	5310	No Intervention	solid
2020-05-02	mod_4	132	1057	Moderate return	solid
2020-05-02	mod_5	131	1050	Normal (pre-intervention)	solid
2020-05-02	mod_6	131	1044	Cautious return	solid
2020-05-03	mod_2	254	1839	Soc. Dist. + Travel Ban	solid
2020-05-03	mod_3	1049	6654	No Intervention	solid
2020-05-03	mod_4	136	1079	Moderate return	solid
2020-05-03	mod_5	135	1077	Normal (pre-intervention)	solid
2020-05-03	mod_6	135	1079	Cautious return	solid
2020-05-04	mod_2	277	1990	Soc. Dist. + Travel Ban	solid
2020-05-04	mod_3	1358	8438	No Intervention	solid
2020-05-04	mod_4	139	1113	Moderate return	solid
2020-05-04	mod_5	138	1098	Normal (pre-intervention)	solid
2020-05-04	mod_6	138	1103	Cautious return	solid
2020-05-05	mod_2	303	2164	Soc. Dist. + Travel Ban	solid
2020-05-05	mod_3	1768	10729	No Intervention	solid
2020-05-05	mod_4	142	1146	Moderate return	solid
2020-05-05	mod_5	141	1128	Normal (pre-intervention)	solid
2020-05-05	mod_6	141	1130	Cautious return	solid
2020-05-06	mod_2	333	2335	Soc. Dist. + Travel Ban	solid
2020-05-06	mod_3	2305	13851	No Intervention	solid
2020-05-06	mod_4	146	1174	Moderate return	solid
2020-05-06	mod_5	145	1166	Normal (pre-intervention)	solid
2020-05-06	mod_6	144	1161	Cautious return	solid
2020-05-07	mod_2	369	2557	Soc. Dist. + Travel Ban	solid
2020-05-07	mod_3	2994	17684	No Intervention	solid
2020-05-07	mod_4	149	1195	Moderate return	solid
2020-05-07	mod_5	148	1199	Normal (pre-intervention)	solid
2020-05-07	mod_6	148	1194	Cautious return	solid
2020-05-08	mod_2	410	2771	Soc. Dist. + Travel Ban	solid
2020-05-08	mod_3	3860	22867	No Intervention	solid
2020-05-08	mod_4	153	1248	Moderate return	solid
2020-05-08	mod_5	151	1224	Normal (pre-intervention)	solid
2020-05-08	mod_6	151	1221	Cautious return	solid
2020-05-09	mod_2	459	3041	Soc. Dist. + Travel Ban	solid
2020-05-09	mod_3	4928	29595	No Intervention	solid
2020-05-09	mod_4	156	1275	Moderate return	solid
2020-05-09	mod_5	155	1274	Normal (pre-intervention)	solid
2020-05-09	mod_6	155	1257	Cautious return	solid
2020-05-10	mod_2	516	3312	Soc. Dist. + Travel Ban	solid
2020-05-10	mod_3	6227	38064	No Intervention	solid
2020-05-10	mod_4	160	1305	Moderate return	solid
2020-05-10	mod_5	158	1304	Normal (pre-intervention)	solid
2020-05-10	mod_6	158	1299	Cautious return	solid
2020-05-11	mod_2	582	3637	Soc. Dist. + Travel Ban	solid
2020-05-11	mod_3	7776	49417	No Intervention	solid
2020-05-11	mod_4	164	1357	Moderate return	solid
2020-05-11	mod_5	162	1337	Normal (pre-intervention)	solid
2020-05-11	mod_6	162	1322	Cautious return	solid
2020-05-12	mod_2	660	4017	Soc. Dist. + Travel Ban	solid
2020-05-12	mod_3	9596	63541	No Intervention	solid
2020-05-12	mod_4	168	1368	Moderate return	solid
2020-05-12	mod_5	166	1369	Normal (pre-intervention)	solid
2020-05-12	mod_6	165	1357	Cautious return	solid
2020-05-13	mod_2	751	4402	Soc. Dist. + Travel Ban	solid
2020-05-13	mod_3	11702	81734	No Intervention	solid
2020-05-13	mod_4	172	1424	Moderate return	solid
2020-05-13	mod_5	170	1423	Normal (pre-intervention)	solid
2020-05-13	mod_6	169	1396	Cautious return	solid
2020-05-14	mod_2	856	4877	Soc. Dist. + Travel Ban	solid
2020-05-14	mod_3	14112	104787	No Intervention	solid
2020-05-14	mod_4	177	1459	Moderate return	solid
2020-05-14	mod_5	175	1456	Normal (pre-intervention)	solid
2020-05-14	mod_6	173	1436	Cautious return	solid
2020-05-15	mod_2	976	5352	Soc. Dist. + Travel Ban	solid
2020-05-15	mod_3	16833	133635	No Intervention	solid
2020-05-15	mod_4	182	1504	Moderate return	solid
2020-05-15	mod_5	181	1520	Normal (pre-intervention)	solid
2020-05-15	mod_6	178	1472	Cautious return	solid
2020-05-16	mod_2	1114	5934	Soc. Dist. + Travel Ban	solid
2020-05-16	mod_3	19871	169990	No Intervention	solid
2020-05-16	mod_4	187	1551	Moderate return	solid
2020-05-16	mod_5	187	1573	Normal (pre-intervention)	solid
2020-05-16	mod_6	183	1525	Cautious return	solid
2020-05-17	mod_2	1271	6608	Soc. Dist. + Travel Ban	solid
2020-05-17	mod_3	23227	212593	No Intervention	solid
2020-05-17	mod_4	194	1621	Moderate return	solid
2020-05-17	mod_5	195	1648	Normal (pre-intervention)	solid
2020-05-17	mod_6	188	1561	Cautious return	solid
2020-05-18	mod_2	1449	7291	Soc. Dist. + Travel Ban	solid
2020-05-18	mod_3	26900	263653	No Intervention	solid
