Dates	variable	value	upper_ci	color	type
2020-03-15	True	1	NA	Observed	solid
2020-03-16	True	1	NA	Observed	solid
2020-03-17	True	1	NA	Observed	solid
2020-03-18	True	1	NA	Observed	solid
2020-03-19	True	3	NA	Observed	solid
2020-03-20	True	3	NA	Observed	solid
2020-03-21	True	5	NA	Observed	solid
2020-03-22	True	6	NA	Observed	solid
2020-03-23	True	7	NA	Observed	solid
2020-03-24	True	8	NA	Observed	solid
2020-03-25	True	10	NA	Observed	solid
2020-03-26	True	11	NA	Observed	solid
2020-03-27	True	13	NA	Observed	solid
2020-03-28	True	19	NA	Observed	solid
2020-03-29	True	21	NA	Observed	solid
2020-03-30	True	23	NA	Observed	solid
2020-03-31	True	44	NA	Observed	solid
2020-04-01	True	111	NA	Observed	solid
2020-04-02	True	149	NA	Observed	solid
2020-04-03	True	164	NA	Observed	solid
2020-04-04	True	192	NA	Observed	solid
2020-04-05	True	256	NA	Observed	solid
2020-04-06	True	303	NA	Observed	solid
2020-04-07	True	314	NA	Observed	solid
2020-04-08	True	348	NA	Observed	solid
2020-04-09	True	363	NA	Observed	solid
2020-04-10	True	381	NA	Observed	solid
2020-04-11	True	405	NA	Observed	solid
2020-04-12	True	420	NA	Observed	solid
2020-04-13	True	439	NA	Observed	solid
2020-04-14	True	484	NA	Observed	solid
2020-04-15	True	525	NA	Observed	solid
2020-04-16	True	534	NA	Observed	solid
2020-04-17	True	572	NA	Observed	solid
2020-04-18	True	603	NA	Observed	solid
2020-04-19	True	647	NA	Observed	solid
2020-04-20	mod_2	725	4046	Social distancing	solid
2020-04-20	mod_3	732	4332	No intervention	solid
2020-04-20	mod_4	677	3888	Lockdown with moderate release	solid
2020-04-21	mod_2	814	4500	Social distancing	solid
2020-04-21	mod_3	851	4397	No intervention	solid
2020-04-21	mod_4	730	3824	Lockdown with moderate release	solid
2020-04-22	mod_2	929	5013	Social distancing	solid
2020-04-22	mod_3	978	5158	No intervention	solid
2020-04-22	mod_4	780	4393	Lockdown with moderate release	solid
2020-04-23	mod_2	1051	5815	Social distancing	solid
2020-04-23	mod_3	1139	5966	No intervention	solid
2020-04-23	mod_4	845	4791	Lockdown with moderate release	solid
2020-04-24	mod_2	1201	6627	Social distancing	solid
2020-04-24	mod_3	1325	7031	No intervention	solid
2020-04-24	mod_4	907	5459	Lockdown with moderate release	solid
2020-04-25	mod_2	1388	8070	Social distancing	solid
2020-04-25	mod_3	1566	8386	No intervention	solid
2020-04-25	mod_4	958	5874	Lockdown with moderate release	solid
2020-04-26	mod_2	1612	9228	Social distancing	solid
2020-04-26	mod_3	1846	10625	No intervention	solid
2020-04-26	mod_4	1010	6660	Lockdown with moderate release	solid
2020-04-27	mod_2	1892	11687	Social distancing	solid
2020-04-27	mod_3	2214	13122	No intervention	solid
2020-04-27	mod_4	1084	6349	Lockdown with moderate release	solid
2020-04-28	mod_2	2247	13280	Social distancing	solid
2020-04-28	mod_3	2674	16053	No intervention	solid
2020-04-28	mod_4	1149	6802	Lockdown with moderate release	solid
2020-04-29	mod_2	2688	17112	Social distancing	solid
2020-04-29	mod_3	3272	20723	No intervention	solid
2020-04-29	mod_4	1215	7632	Lockdown with moderate release	solid
2020-04-30	mod_2	3278	21859	Social distancing	solid
2020-04-30	mod_3	4067	27245	No intervention	solid
2020-04-30	mod_4	1287	7995	Lockdown with moderate release	solid
2020-05-01	mod_2	4051	28483	Social distancing	solid
2020-05-01	mod_3	5102	35217	No intervention	solid
2020-05-01	mod_4	1364	8713	Lockdown with moderate release	solid
2020-05-02	mod_2	5055	35509	Social distancing	solid
2020-05-02	mod_3	6502	46854	No intervention	solid
2020-05-02	mod_4	1438	9218	Lockdown with moderate release	solid
2020-05-03	mod_2	6372	40336	Social distancing	solid
2020-05-03	mod_3	8427	61225	No intervention	solid
2020-05-03	mod_4	1513	10241	Lockdown with moderate release	solid
2020-05-04	mod_2	8162	55982	Social distancing	solid
2020-05-04	mod_3	10992	81804	No intervention	solid
2020-05-04	mod_4	1608	10573	Lockdown with moderate release	solid
