Dates	variable	value	upper_ci	color	type
2020-03-15	True	NA	NA	Observed	solid
2020-03-16	True	3	NA	Observed	solid
2020-03-17	True	0	NA	Observed	solid
2020-03-18	True	0	NA	Observed	solid
2020-03-19	True	1	NA	Observed	solid
2020-03-20	True	12	NA	Observed	solid
2020-03-21	True	12	NA	Observed	solid
2020-03-22	True	15	NA	Observed	solid
2020-03-23	True	28	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_2_up	499	NA	NA	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_3_up	499	NA	NA	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_4_up	499	NA	NA	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_5_up	499	NA	NA	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-23	mod_6_up	499	NA	NA	solid
2020-03-24	True	14	NA	Observed	solid
2020-03-25	True	9	NA	Observed	solid
2020-03-26	True	19	NA	Observed	solid
2020-03-27	True	39	NA	Observed	solid
2020-03-28	True	6	NA	Observed	solid
2020-03-29	True	20	NA	Observed	solid
2020-03-30	True	32	NA	Observed	solid
2020-03-31	True	7	NA	Observed	solid
2020-04-01	True	24	NA	Observed	solid
2020-04-02	True	21	NA	Observed	solid
2020-04-03	True	9	NA	Observed	solid
2020-04-04	True	11	NA	Observed	solid
2020-04-05	True	8	NA	Observed	solid
2020-04-06	True	13	NA	Observed	solid
2020-04-07	True	8	NA	Observed	solid
2020-04-08	True	9	NA	Observed	solid
2020-04-09	True	12	NA	Observed	solid
2020-04-10	True	7	NA	Observed	solid
2020-04-11	True	10	NA	Observed	solid
2020-04-12	True	2	NA	Observed	solid
2020-04-13	True	3	NA	Observed	solid
2020-04-14	True	8	NA	Observed	solid
2020-04-15	True	1	NA	Observed	solid
2020-04-16	True	7	NA	Observed	solid
2020-04-17	True	1	NA	Observed	solid
2020-04-18	True	4	NA	Observed	solid
2020-04-19	True	2	NA	Observed	solid
2020-04-20	mod_2	NA	NA	Soc. Dist. + Travel Ban	solid
2020-04-20	mod_3	NA	NA	No Intervention	solid
2020-04-20	mod_4	NA	NA	Moderate return	solid
2020-04-20	mod_5	NA	NA	Normal (pre-intervention)	solid
2020-04-20	mod_6	NA	NA	Cautious return	solid
2020-04-21	mod_2	42	461	Soc. Dist. + Travel Ban	solid
2020-04-21	mod_3	45	370	No Intervention	solid
2020-04-21	mod_4	21	329	Moderate return	solid
2020-04-21	mod_5	17	219	Normal (pre-intervention)	solid
2020-04-21	mod_6	21	60	Cautious return	solid
2020-04-22	mod_2	46	82	Soc. Dist. + Travel Ban	solid
2020-04-22	mod_3	65	391	No Intervention	solid
2020-04-22	mod_4	21	221	Moderate return	solid
2020-04-22	mod_5	12	61	Normal (pre-intervention)	solid
2020-04-22	mod_6	15	220	Cautious return	solid
2020-04-23	mod_2	62	551	Soc. Dist. + Travel Ban	solid
2020-04-23	mod_3	76	563	No Intervention	solid
2020-04-23	mod_4	15	311	Moderate return	solid
2020-04-23	mod_5	20	273	Normal (pre-intervention)	solid
2020-04-23	mod_6	19	390	Cautious return	solid
2020-04-24	mod_2	79	455	Soc. Dist. + Travel Ban	solid
2020-04-24	mod_3	78	362	No Intervention	solid
2020-04-24	mod_4	21	77	Moderate return	solid
2020-04-24	mod_5	16	235	Normal (pre-intervention)	solid
2020-04-24	mod_6	13	88	Cautious return	solid
2020-04-25	mod_2	70	663	Soc. Dist. + Travel Ban	solid
2020-04-25	mod_3	114	929	No Intervention	solid
2020-04-25	mod_4	20	253	Moderate return	solid
2020-04-25	mod_5	25	123	Normal (pre-intervention)	solid
2020-04-25	mod_6	21	276	Cautious return	solid
2020-04-26	mod_2	80	476	Soc. Dist. + Travel Ban	solid
2020-04-26	mod_3	133	788	No Intervention	solid
2020-04-26	mod_4	18	198	Moderate return	solid
2020-04-26	mod_5	23	250	Normal (pre-intervention)	solid
2020-04-26	mod_6	27	53	Cautious return	solid
2020-04-27	mod_2	95	971	Soc. Dist. + Travel Ban	solid
2020-04-27	mod_3	153	734	No Intervention	solid
2020-04-27	mod_4	16	219	Moderate return	solid
2020-04-27	mod_5	19	289	Normal (pre-intervention)	solid
2020-04-27	mod_6	18	383	Cautious return	solid
2020-04-28	mod_2	123	1198	Soc. Dist. + Travel Ban	solid
2020-04-28	mod_3	200	1639	No Intervention	solid
2020-04-28	mod_4	19	66	Moderate return	solid
2020-04-28	mod_5	18	167	Normal (pre-intervention)	solid
2020-04-28	mod_6	9	182	Cautious return	solid
