Dates	variable	value	upper_ci	color	type
2020-03-01	True	NA	NA	Observed	solid
2020-03-02	True	2	NA	Observed	solid
2020-03-03	True	0	NA	Observed	solid
2020-03-04	True	23	NA	Observed	solid
2020-03-05	True	2	NA	Observed	solid
2020-03-06	True	1	NA	Observed	solid
2020-03-07	True	3	NA	Observed	solid
2020-03-08	True	5	NA	Observed	solid
2020-03-09	True	4	NA	Observed	solid
2020-03-10	True	13	NA	Observed	solid
2020-03-11	True	6	NA	Observed	solid
2020-03-12	True	11	NA	Observed	solid
2020-03-13	True	9	NA	Observed	solid
2020-03-14	True	20	NA	Observed	solid
2020-03-15	True	11	NA	Observed	solid
2020-03-16	True	6	NA	Observed	solid
2020-03-17	True	23	NA	Observed	solid
2020-03-18	True	14	NA	Observed	solid
2020-03-19	True	38	NA	Observed	solid
2020-03-20	True	50	NA	Observed	solid
2020-03-21	True	86	NA	Observed	solid
2020-03-22	True	66	NA	Observed	solid
2020-03-23	True	103	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_2_up	499	NA	NA	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_3_up	499	NA	NA	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_4_up	499	NA	NA	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_5_up	499	NA	NA	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-23	mod_6_up	499	NA	NA	solid
2020-03-24	True	37	NA	Observed	solid
2020-03-25	True	121	NA	Observed	solid
2020-03-26	True	70	NA	Observed	solid
2020-03-27	True	160	NA	Observed	solid
2020-03-28	True	100	NA	Observed	solid
2020-03-29	True	37	NA	Observed	solid
2020-03-30	True	227	NA	Observed	solid
2020-03-31	True	146	NA	Observed	solid
2020-04-01	True	601	NA	Observed	solid
2020-04-02	True	545	NA	Observed	solid
2020-04-03	True	24	NA	Observed	solid
2020-04-04	True	515	NA	Observed	solid
2020-04-05	True	506	NA	Observed	solid
2020-04-06	True	1190	NA	Observed	solid
2020-04-07	True	533	NA	Observed	solid
2020-04-08	True	605	NA	Observed	solid
2020-04-09	True	809	NA	Observed	solid
2020-04-10	True	873	NA	Observed	solid
2020-04-11	True	848	NA	Observed	solid
2020-04-12	True	759	NA	Observed	solid
2020-04-13	True	1248	NA	Observed	solid
2020-04-14	True	1034	NA	Observed	solid
2020-04-15	True	835	NA	Observed	solid
2020-04-16	True	1108	NA	Observed	solid
2020-04-17	True	922	NA	Observed	solid
2020-04-18	True	1370	NA	Observed	solid
2020-04-19	True	1893	NA	Observed	solid
2020-04-20	mod_2	NA	NA	Soc. Dist. + Travel Ban	solid
2020-04-20	mod_3	NA	NA	No Intervention	solid
2020-04-20	mod_4	NA	NA	Moderate return	solid
2020-04-20	mod_5	NA	NA	Normal (pre-intervention)	solid
2020-04-20	mod_6	NA	NA	Cautious return	solid
2020-04-21	mod_2	2878	17627	Soc. Dist. + Travel Ban	solid
2020-04-21	mod_3	3539	9759	No Intervention	solid
2020-04-21	mod_4	866	-2889	Moderate return	solid
2020-04-21	mod_5	1078	9863	Normal (pre-intervention)	solid
2020-04-21	mod_6	978	3761	Cautious return	solid
2020-04-22	mod_2	3057	7570	Soc. Dist. + Travel Ban	solid
2020-04-22	mod_3	4374	22854	No Intervention	solid
2020-04-22	mod_4	1215	11650	Moderate return	solid
2020-04-22	mod_5	887	-1712	Normal (pre-intervention)	solid
2020-04-22	mod_6	910	-3264	Cautious return	solid
2020-04-23	mod_2	3983	26682	Soc. Dist. + Travel Ban	solid
2020-04-23	mod_3	5428	22142	No Intervention	solid
2020-04-23	mod_4	1038	5977	Moderate return	solid
2020-04-23	mod_5	912	7989	Normal (pre-intervention)	solid
2020-04-23	mod_6	1233	12088	Cautious return	solid
2020-04-24	mod_2	4321	16321	Soc. Dist. + Travel Ban	solid
2020-04-24	mod_3	6591	30022	No Intervention	solid
2020-04-24	mod_4	1024	4237	Moderate return	solid
2020-04-24	mod_5	1160	8953	Normal (pre-intervention)	solid
2020-04-24	mod_6	1000	14069	Cautious return	solid
2020-04-25	mod_2	4895	18556	Soc. Dist. + Travel Ban	solid
2020-04-25	mod_3	7820	44013	No Intervention	solid
2020-04-25	mod_4	1017	6472	Moderate return	solid
2020-04-25	mod_5	1193	5745	Normal (pre-intervention)	solid
2020-04-25	mod_6	1156	5168	Cautious return	solid
2020-04-26	mod_2	5837	29160	Soc. Dist. + Travel Ban	solid
2020-04-26	mod_3	10040	51523	No Intervention	solid
2020-04-26	mod_4	1014	10587	Moderate return	solid
2020-04-26	mod_5	837	8204	Normal (pre-intervention)	solid
2020-04-26	mod_6	1172	863	Cautious return	solid
2020-04-27	mod_2	6747	41586	Soc. Dist. + Travel Ban	solid
2020-04-27	mod_3	13000	69610	No Intervention	solid
2020-04-27	mod_4	1032	5586	Moderate return	solid
2020-04-27	mod_5	943	7667	Normal (pre-intervention)	solid
2020-04-27	mod_6	1043	7290	Cautious return	solid
2020-04-28	mod_2	8014	55198	Soc. Dist. + Travel Ban	solid
2020-04-28	mod_3	17346	99621	No Intervention	solid
2020-04-28	mod_4	986	17979	Moderate return	solid
2020-04-28	mod_5	1256	17997	Normal (pre-intervention)	solid
2020-04-28	mod_6	1279	15507	Cautious return	solid
2020-04-29	mod_2	10208	68060	Soc. Dist. + Travel Ban	solid
2020-04-29	mod_3	22364	144506	No Intervention	solid
2020-04-29	mod_4	1183	1674	Moderate return	solid
2020-04-29	mod_5	905	-8548	Normal (pre-intervention)	solid
2020-04-29	mod_6	1031	16382	Cautious return	solid
2020-04-30	mod_2	12500	84128	Soc. Dist. + Travel Ban	solid
2020-04-30	mod_3	31542	183667	No Intervention	solid
2020-04-30	mod_4	1137	11273	Moderate return	solid
2020-04-30	mod_5	1123	5425	Normal (pre-intervention)	solid
2020-04-30	mod_6	1254	-7383	Cautious return	solid
2020-05-01	mod_2	14874	103436	Soc. Dist. + Travel Ban	solid
2020-05-01	mod_3	42655	192909	No Intervention	solid
2020-05-01	mod_4	1206	11165	Moderate return	solid
2020-05-01	mod_5	1061	20102	Normal (pre-intervention)	solid
2020-05-01	mod_6	1251	22245	Cautious return	solid
2020-05-02	mod_2	18115	143822	Soc. Dist. + Travel Ban	solid
2020-05-02	mod_3	57976	300787	No Intervention	solid
2020-05-02	mod_4	901	5575	Moderate return	solid
2020-05-02	mod_5	1171	6507	Normal (pre-intervention)	solid
2020-05-02	mod_6	1169	13198	Cautious return	solid
2020-05-03	mod_2	22747	162957	Soc. Dist. + Travel Ban	solid
2020-05-03	mod_3	76221	370401	No Intervention	solid
2020-05-03	mod_4	1151	8519	Moderate return	solid
2020-05-03	mod_5	1261	14776	Normal (pre-intervention)	solid
2020-05-03	mod_6	1339	14634	Cautious return	solid
2020-05-04	mod_2	28365	177423	Soc. Dist. + Travel Ban	solid
2020-05-04	mod_3	92839	561443	No Intervention	solid
2020-05-04	mod_4	1410	8318	Moderate return	solid
2020-05-04	mod_5	1236	-10381	Normal (pre-intervention)	solid
2020-05-04	mod_6	1380	10001	Cautious return	solid
2020-05-05	mod_2	35291	308939	Soc. Dist. + Travel Ban	solid
2020-05-05	mod_3	110371	696886	No Intervention	solid
2020-05-05	mod_4	1612	12845	Moderate return	solid
2020-05-05	mod_5	1287	17889	Normal (pre-intervention)	solid
2020-05-05	mod_6	1609	1759	Cautious return	solid
2020-05-06	mod_2	43701	288531	Soc. Dist. + Travel Ban	solid
2020-05-06	mod_3	129399	779641	No Intervention	solid
2020-05-06	mod_4	1057	18211	Moderate return	solid
2020-05-06	mod_5	1149	19640	Normal (pre-intervention)	solid
2020-05-06	mod_6	1328	21403	Cautious return	solid
2020-05-07	mod_2	56061	390849	Soc. Dist. + Travel Ban	solid
2020-05-07	mod_3	157006	1394301	No Intervention	solid
2020-05-07	mod_4	1534	6970	Moderate return	solid
2020-05-07	mod_5	1233	21042	Normal (pre-intervention)	solid
2020-05-07	mod_6	1250	2418	Cautious return	solid
2020-05-08	mod_2	70762	566045	Soc. Dist. + Travel Ban	solid
2020-05-08	mod_3	196323	1401309	No Intervention	solid
2020-05-08	mod_4	1278	25509	Moderate return	solid
2020-05-08	mod_5	909	-951	Normal (pre-intervention)	solid
2020-05-08	mod_6	1112	1920	Cautious return	solid
2020-05-09	mod_2	90640	681185	Soc. Dist. + Travel Ban	solid
2020-05-09	mod_3	250616	2079106	No Intervention	solid
2020-05-09	mod_4	1626	16527	Moderate return	solid
2020-05-09	mod_5	1114	21415	Normal (pre-intervention)	solid
2020-05-09	mod_6	1709	13460	Cautious return	solid
2020-05-10	mod_2	114495	861038	Soc. Dist. + Travel Ban	solid
2020-05-10	mod_3	320159	2738100	No Intervention	solid
2020-05-10	mod_4	1196	-14191	Moderate return	solid
2020-05-10	mod_5	1422	18571	Normal (pre-intervention)	solid
2020-05-10	mod_6	1770	17100	Cautious return	solid
2020-05-11	mod_2	144761	1023769	Soc. Dist. + Travel Ban	solid
2020-05-11	mod_3	404010	3842468	No Intervention	solid
2020-05-11	mod_4	1736	14312	Moderate return	solid
2020-05-11	mod_5	1513	-9509	Normal (pre-intervention)	solid
2020-05-11	mod_6	1602	11506	Cautious return	solid
2020-05-12	mod_2	179748	1494910	Soc. Dist. + Travel Ban	solid
2020-05-12	mod_3	508650	4341539	No Intervention	solid
2020-05-12	mod_4	1637	44259	Moderate return	solid
2020-05-12	mod_5	1703	16183	Normal (pre-intervention)	solid
2020-05-12	mod_6	1756	24988	Cautious return	solid
2020-05-13	mod_2	223569	1636751	Soc. Dist. + Travel Ban	solid
2020-05-13	mod_3	633182	6455398	No Intervention	solid
2020-05-13	mod_4	2003	-14067	Moderate return	solid
2020-05-13	mod_5	1675	14194	Normal (pre-intervention)	solid
2020-05-13	mod_6	1788	21101	Cautious return	solid
2020-05-14	mod_2	270031	2398592	Soc. Dist. + Travel Ban	solid
2020-05-14	mod_3	769446	7387712	No Intervention	solid
2020-05-14	mod_4	1792	48461	Moderate return	solid
2020-05-14	mod_5	2180	21067	Normal (pre-intervention)	solid
2020-05-14	mod_6	1934	8161	Cautious return	solid
2020-05-15	mod_2	324667	2896702	Soc. Dist. + Travel Ban	solid
2020-05-15	mod_3	913080	7848690	No Intervention	solid
2020-05-15	mod_4	2608	6741	Moderate return	solid
2020-05-15	mod_5	2900	17255	Normal (pre-intervention)	solid
2020-05-15	mod_6	2250	46811	Cautious return	solid
2020-05-16	mod_2	379587	3865591	Soc. Dist. + Travel Ban	solid
2020-05-16	mod_3	1068661	11918571	No Intervention	solid
2020-05-16	mod_4	2827	37833	Moderate return	solid
2020-05-16	mod_5	3175	40660	Normal (pre-intervention)	solid
2020-05-16	mod_6	2446	-28144	Cautious return	solid
2020-05-17	mod_2	441398	4908409	Soc. Dist. + Travel Ban	solid
2020-05-17	mod_3	1228237	15360962	No Intervention	solid
2020-05-17	mod_4	3415	19066	Moderate return	solid
2020-05-17	mod_5	4223	39962	Normal (pre-intervention)	solid
2020-05-17	mod_6	2958	43673	Cautious return	solid
2020-05-18	mod_2	504419	5849222	Soc. Dist. + Travel Ban	solid
2020-05-18	mod_3	1399944	16422319	No Intervention	solid
2020-05-18	mod_4	4041	36542	Moderate return	solid
2020-05-18	mod_5	4457	44545	Normal (pre-intervention)	solid
2020-05-18	mod_6	3495	5379	Cautious return	solid
2020-05-19	mod_2	571376	7283094	Soc. Dist. + Travel Ban	solid
2020-05-19	mod_3	1569027	18241274	No Intervention	solid
2020-05-19	mod_4	4259	18766	Moderate return	solid
2020-05-19	mod_5	5673	64560	Normal (pre-intervention)	solid
2020-05-19	mod_6	3968	74331	Cautious return	solid
2020-05-20	mod_2	637542	8740192	Soc. Dist. + Travel Ban	solid
2020-05-20	mod_3	1745393	23673416	No Intervention	solid
2020-05-20	mod_4	5082	46263	Moderate return	solid
2020-05-20	mod_5	7473	24119	Normal (pre-intervention)	solid
2020-05-20	mod_6	3632	-2065	Cautious return	solid
2020-05-21	mod_2	706427	8605083	Soc. Dist. + Travel Ban	solid
2020-05-21	mod_3	1913955	20860341	No Intervention	solid
2020-05-21	mod_4	6987	73297	Moderate return	solid
2020-05-21	mod_5	9560	96501	Normal (pre-intervention)	solid
2020-05-21	mod_6	4104	24053	Cautious return	solid
2020-05-22	mod_2	781874	10967200	Soc. Dist. + Travel Ban	solid
2020-05-22	mod_3	2071237	21775956	No Intervention	solid
2020-05-22	mod_4	8335	59603	Moderate return	solid
2020-05-22	mod_5	13027	61334	Normal (pre-intervention)	solid
2020-05-22	mod_6	5069	81048	Cautious return	solid
2020-05-23	mod_2	855608	9409208	Soc. Dist. + Travel Ban	solid
2020-05-23	mod_3	2230189	21866210	No Intervention	solid
2020-05-23	mod_4	10032	89819	Moderate return	solid
2020-05-23	mod_5	18428	83183	Normal (pre-intervention)	solid
2020-05-23	mod_6	6398	-1951	Cautious return	solid
