Dates	variable	value	upper_ci	color	type
2020-03-15	True	1	NA	Observed	solid
2020-03-16	True	1	NA	Observed	solid
2020-03-17	True	1	NA	Observed	solid
2020-03-18	True	2	NA	Observed	solid
2020-03-19	True	3	NA	Observed	solid
2020-03-20	True	3	NA	Observed	solid
2020-03-21	True	6	NA	Observed	solid
2020-03-22	True	9	NA	Observed	solid
2020-03-23	True	12	NA	Observed	solid
2020-03-24	True	18	NA	Observed	solid
2020-03-25	True	26	NA	Observed	solid
2020-03-26	True	29	NA	Observed	solid
2020-03-27	True	38	NA	Observed	solid
2020-03-28	True	42	NA	Observed	solid
2020-03-29	True	50	NA	Observed	solid
2020-03-30	True	67	NA	Observed	solid
2020-03-31	True	124	NA	Observed	solid
2020-04-01	True	234	NA	Observed	solid
2020-04-02	True	309	NA	Observed	solid
2020-04-03	True	411	NA	Observed	solid
2020-04-04	True	485	NA	Observed	solid
2020-04-05	True	571	NA	Observed	solid
2020-04-06	True	621	NA	Observed	solid
2020-04-07	True	690	NA	Observed	solid
2020-04-08	True	738	NA	Observed	solid
2020-04-09	True	834	NA	Observed	solid
2020-04-10	True	911	NA	Observed	solid
2020-04-11	True	969	NA	Observed	solid
2020-04-12	True	1075	NA	Observed	solid
2020-04-13	True	1173	NA	Observed	solid
2020-04-14	True	1204	NA	Observed	solid
2020-04-15	True	1242	NA	Observed	solid
2020-04-16	True	1267	NA	Observed	solid
2020-04-17	True	1323	NA	Observed	solid
2020-04-18	True	1372	NA	Observed	solid
2020-04-19	True	1477	NA	Observed	solid
2020-04-20	True	1520	NA	Observed	solid
2020-04-21	mod_2	1741	7749	Social distancing	solid
2020-04-21	mod_3	1794	7495	No intervention	solid
2020-04-21	mod_4	1632	7400	Lockdown with moderate release	solid
2020-04-22	mod_2	1983	8658	Social distancing	solid
2020-04-22	mod_3	2060	9443	No intervention	solid
2020-04-22	mod_4	1760	8046	Lockdown with moderate release	solid
2020-04-23	mod_2	2270	10847	Social distancing	solid
2020-04-23	mod_3	2391	10951	No intervention	solid
2020-04-23	mod_4	1870	8659	Lockdown with moderate release	solid
2020-04-24	mod_2	2547	11950	Social distancing	solid
2020-04-24	mod_3	2776	12917	No intervention	solid
2020-04-24	mod_4	1993	9391	Lockdown with moderate release	solid
2020-04-25	mod_2	2891	13421	Social distancing	solid
2020-04-25	mod_3	3224	14741	No intervention	solid
2020-04-25	mod_4	2155	10479	Lockdown with moderate release	solid
2020-04-26	mod_2	3311	15794	Social distancing	solid
2020-04-26	mod_3	3807	18707	No intervention	solid
2020-04-26	mod_4	2303	11407	Lockdown with moderate release	solid
2020-04-27	mod_2	3800	18383	Social distancing	solid
2020-04-27	mod_3	4479	21206	No intervention	solid
2020-04-27	mod_4	2446	12005	Lockdown with moderate release	solid
2020-04-28	mod_2	4358	22262	Social distancing	solid
2020-04-28	mod_3	5349	27604	No intervention	solid
2020-04-28	mod_4	2611	13851	Lockdown with moderate release	solid
2020-04-29	mod_2	5041	27275	Social distancing	solid
2020-04-29	mod_3	6460	33575	No intervention	solid
2020-04-29	mod_4	2782	14819	Lockdown with moderate release	solid
2020-04-30	mod_2	5865	34350	Social distancing	solid
2020-04-30	mod_3	7850	43662	No intervention	solid
2020-04-30	mod_4	2957	16020	Lockdown with moderate release	solid
2020-05-01	mod_2	6860	38619	Social distancing	solid
2020-05-01	mod_3	9563	55226	No intervention	solid
2020-05-01	mod_4	3142	17150	Lockdown with moderate release	solid
2020-05-02	mod_2	8002	47766	Social distancing	solid
2020-05-02	mod_3	11804	70742	No intervention	solid
2020-05-02	mod_4	3316	18473	Lockdown with moderate release	solid
2020-05-03	mod_2	9461	62278	Social distancing	solid
2020-05-03	mod_3	14722	94148	No intervention	solid
2020-05-03	mod_4	3507	20153	Lockdown with moderate release	solid
2020-05-04	mod_2	11249	74108	Social distancing	solid
2020-05-04	mod_3	18510	123156	No intervention	solid
2020-05-04	mod_4	3740	21738	Lockdown with moderate release	solid
2020-05-05	mod_2	13486	91121	Social distancing	solid
2020-05-05	mod_3	23418	163301	No intervention	solid
