Dates	variable	value	upper_ci	color	type
2020-03-15	True	NA	NA	Observed	solid
2020-03-16	True	0	NA	Observed	solid
2020-03-17	True	1	NA	Observed	solid
2020-03-18	True	2	NA	Observed	solid
2020-03-19	True	4	NA	Observed	solid
2020-03-20	True	6	NA	Observed	solid
2020-03-21	True	7	NA	Observed	solid
2020-03-22	True	0	NA	Observed	solid
2020-03-23	True	3	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_2_up	499	NA	NA	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_3_up	499	NA	NA	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_4_up	499	NA	NA	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_5_up	499	NA	NA	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-23	mod_6_up	499	NA	NA	solid
2020-03-24	True	0	NA	Observed	solid
2020-03-25	True	5	NA	Observed	solid
2020-03-26	True	1	NA	Observed	solid
2020-03-27	True	4	NA	Observed	solid
2020-03-28	True	9	NA	Observed	solid
2020-03-29	True	23	NA	Observed	solid
2020-03-30	True	25	NA	Observed	solid
2020-03-31	True	23	NA	Observed	solid
2020-04-01	True	32	NA	Observed	solid
2020-04-02	True	141	NA	Observed	solid
2020-04-03	True	93	NA	Observed	solid
2020-04-04	True	59	NA	Observed	solid
2020-04-05	True	58	NA	Observed	solid
2020-04-06	True	22	NA	Observed	solid
2020-04-07	True	51	NA	Observed	solid
2020-04-08	True	93	NA	Observed	solid
2020-04-09	True	51	NA	Observed	solid
2020-04-10	True	183	NA	Observed	solid
2020-04-11	True	166	NA	Observed	solid
2020-04-12	True	85	NA	Observed	solid
2020-04-13	True	356	NA	Observed	solid
2020-04-14	True	51	NA	Observed	solid
2020-04-15	True	17	NA	Observed	solid
2020-04-16	True	62	NA	Observed	solid
2020-04-17	True	67	NA	Observed	solid
2020-04-18	True	186	NA	Observed	solid
2020-04-19	True	110	NA	Observed	solid
2020-04-20	True	78	NA	Observed	solid
2020-04-21	True	75	NA	Observed	solid
2020-04-22	True	92	NA	Observed	solid
2020-04-23	True	128	NA	Observed	solid
2020-04-24	mod_2	NA	NA	Soc. Dist. + Travel Ban	solid
2020-04-24	mod_3	NA	NA	No Intervention	solid
2020-04-24	mod_4	NA	NA	Moderate return	solid
2020-04-24	mod_5	NA	NA	Normal (pre-intervention)	solid
2020-04-24	mod_6	NA	NA	Cautious return	solid
2020-04-25	mod_2	203	758	Soc. Dist. + Travel Ban	solid
2020-04-25	mod_3	235	824	No Intervention	solid
2020-04-25	mod_4	138	607	Moderate return	solid
2020-04-25	mod_5	95	571	Normal (pre-intervention)	solid
2020-04-25	mod_6	92	547	Cautious return	solid
2020-04-26	mod_2	217	775	Soc. Dist. + Travel Ban	solid
2020-04-26	mod_3	254	879	No Intervention	solid
2020-04-26	mod_4	142	647	Moderate return	solid
2020-04-26	mod_5	96	568	Normal (pre-intervention)	solid
2020-04-26	mod_6	96	571	Cautious return	solid
2020-04-27	mod_2	233	896	Soc. Dist. + Travel Ban	solid
2020-04-27	mod_3	276	990	No Intervention	solid
2020-04-27	mod_4	149	641	Moderate return	solid
2020-04-27	mod_5	95	513	Normal (pre-intervention)	solid
2020-04-27	mod_6	95	531	Cautious return	solid
2020-04-28	mod_2	252	963	Soc. Dist. + Travel Ban	solid
2020-04-28	mod_3	302	1098	No Intervention	solid
2020-04-28	mod_4	151	688	Moderate return	solid
2020-04-28	mod_5	96	517	Normal (pre-intervention)	solid
2020-04-28	mod_6	94	538	Cautious return	solid
2020-04-29	mod_2	271	1032	Soc. Dist. + Travel Ban	solid
2020-04-29	mod_3	330	1234	No Intervention	solid
2020-04-29	mod_4	156	726	Moderate return	solid
2020-04-29	mod_5	99	545	Normal (pre-intervention)	solid
2020-04-29	mod_6	97	512	Cautious return	solid
2020-04-30	mod_2	294	1237	Soc. Dist. + Travel Ban	solid
2020-04-30	mod_3	365	1407	No Intervention	solid
2020-04-30	mod_4	165	730	Moderate return	solid
2020-04-30	mod_5	97	566	Normal (pre-intervention)	solid
2020-04-30	mod_6	100	586	Cautious return	solid
2020-05-01	mod_2	318	1307	Soc. Dist. + Travel Ban	solid
2020-05-01	mod_3	401	1633	No Intervention	solid
2020-05-01	mod_4	172	834	Moderate return	solid
2020-05-01	mod_5	99	547	Normal (pre-intervention)	solid
2020-05-01	mod_6	97	544	Cautious return	solid
2020-05-02	mod_2	347	1552	Soc. Dist. + Travel Ban	solid
2020-05-02	mod_3	443	1844	No Intervention	solid
2020-05-02	mod_4	178	837	Moderate return	solid
2020-05-02	mod_5	102	596	Normal (pre-intervention)	solid
2020-05-02	mod_6	99	579	Cautious return	solid
2020-05-03	mod_2	377	1686	Soc. Dist. + Travel Ban	solid
2020-05-03	mod_3	490	2118	No Intervention	solid
2020-05-03	mod_4	185	940	Moderate return	solid
2020-05-03	mod_5	103	648	Normal (pre-intervention)	solid
2020-05-03	mod_6	101	552	Cautious return	solid
2020-05-04	mod_2	411	1960	Soc. Dist. + Travel Ban	solid
2020-05-04	mod_3	543	2508	No Intervention	solid
2020-05-04	mod_4	195	951	Moderate return	solid
2020-05-04	mod_5	106	577	Normal (pre-intervention)	solid
2020-05-04	mod_6	103	615	Cautious return	solid
2020-05-05	mod_2	449	2143	Soc. Dist. + Travel Ban	solid
2020-05-05	mod_3	605	2882	No Intervention	solid
2020-05-05	mod_4	203	1112	Moderate return	solid
2020-05-05	mod_5	106	641	Normal (pre-intervention)	solid
2020-05-05	mod_6	105	651	Cautious return	solid
2020-05-06	mod_2	492	2653	Soc. Dist. + Travel Ban	solid
2020-05-06	mod_3	668	3273	No Intervention	solid
2020-05-06	mod_4	213	1119	Moderate return	solid
2020-05-06	mod_5	109	578	Normal (pre-intervention)	solid
2020-05-06	mod_6	110	693	Cautious return	solid
2020-05-07	mod_2	543	2742	Soc. Dist. + Travel Ban	solid
2020-05-07	mod_3	747	3870	No Intervention	solid
2020-05-07	mod_4	224	1240	Moderate return	solid
2020-05-07	mod_5	111	653	Normal (pre-intervention)	solid
2020-05-07	mod_6	110	634	Cautious return	solid
2020-05-08	mod_2	596	3245	Soc. Dist. + Travel Ban	solid
2020-05-08	mod_3	838	4422	No Intervention	solid
2020-05-08	mod_4	237	1322	Moderate return	solid
2020-05-08	mod_5	113	748	Normal (pre-intervention)	solid
2020-05-08	mod_6	112	776	Cautious return	solid
2020-05-09	mod_2	664	3751	Soc. Dist. + Travel Ban	solid
2020-05-09	mod_3	938	5147	No Intervention	solid
