Dates	variable	value	upper_ci	color	type
2020-03-15	True	NA	NA	Observed	solid
2020-03-16	True	0	NA	Observed	solid
2020-03-17	True	0	NA	Observed	solid
2020-03-18	True	0	NA	Observed	solid
2020-03-19	True	0	NA	Observed	solid
2020-03-20	True	0	NA	Observed	solid
2020-03-21	True	0	NA	Observed	solid
2020-03-22	True	0	NA	Observed	solid
2020-03-23	True	0	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_2_up	499	NA	NA	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_3_up	499	NA	NA	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_4_up	499	NA	NA	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_5_up	499	NA	NA	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-23	mod_6_up	499	NA	NA	solid
2020-03-24	True	0	NA	Observed	solid
2020-03-25	True	0	NA	Observed	solid
2020-03-26	True	0	NA	Observed	solid
2020-03-27	True	0	NA	Observed	solid
2020-03-28	True	0	NA	Observed	solid
2020-03-29	True	0	NA	Observed	solid
2020-03-30	True	0	NA	Observed	solid
2020-03-31	True	1	NA	Observed	solid
2020-04-01	True	0	NA	Observed	solid
2020-04-02	True	1	NA	Observed	solid
2020-04-03	True	0	NA	Observed	solid
2020-04-04	True	0	NA	Observed	solid
2020-04-05	True	1	NA	Observed	solid
2020-04-06	True	1	NA	Observed	solid
2020-04-07	True	0	NA	Observed	solid
2020-04-08	True	0	NA	Observed	solid
2020-04-09	True	9	NA	Observed	solid
2020-04-10	True	1	NA	Observed	solid
2020-04-11	True	3	NA	Observed	solid
2020-04-12	True	2	NA	Observed	solid
2020-04-13	True	5	NA	Observed	solid
2020-04-14	True	3	NA	Observed	solid
2020-04-15	True	1	NA	Observed	solid
2020-04-16	True	1	NA	Observed	solid
2020-04-17	True	3	NA	Observed	solid
2020-04-18	True	1	NA	Observed	solid
2020-04-19	True	8	NA	Observed	solid
2020-04-20	True	5	NA	Observed	solid
2020-04-21	True	0	NA	Observed	solid
2020-04-22	True	0	NA	Observed	solid
2020-04-23	True	7	NA	Observed	solid
2020-04-24	mod_2	NA	NA	Soc. Dist. + Travel Ban	solid
2020-04-24	mod_3	NA	NA	No Intervention	solid
2020-04-24	mod_4	NA	NA	Moderate return	solid
2020-04-24	mod_5	NA	NA	Normal (pre-intervention)	solid
2020-04-24	mod_6	NA	NA	Cautious return	solid
2020-04-25	mod_2	3	24	Soc. Dist. + Travel Ban	solid
2020-04-25	mod_3	6	29	No Intervention	solid
2020-04-25	mod_4	2	11	Moderate return	solid
2020-04-25	mod_5	2	16	Normal (pre-intervention)	solid
2020-04-25	mod_6	2	12	Cautious return	solid
2020-04-26	mod_2	3	25	Soc. Dist. + Travel Ban	solid
2020-04-26	mod_3	5	30	No Intervention	solid
2020-04-26	mod_4	2	20	Moderate return	solid
2020-04-26	mod_5	2	17	Normal (pre-intervention)	solid
2020-04-26	mod_6	2	15	Cautious return	solid
2020-04-27	mod_2	4	15	Soc. Dist. + Travel Ban	solid
2020-04-27	mod_3	7	32	No Intervention	solid
2020-04-27	mod_4	2	7	Moderate return	solid
2020-04-27	mod_5	2	13	Normal (pre-intervention)	solid
2020-04-27	mod_6	2	15	Cautious return	solid
2020-04-28	mod_2	3	21	Soc. Dist. + Travel Ban	solid
2020-04-28	mod_3	6	47	No Intervention	solid
2020-04-28	mod_4	2	17	Moderate return	solid
2020-04-28	mod_5	2	17	Normal (pre-intervention)	solid
2020-04-28	mod_6	3	16	Cautious return	solid
2020-04-29	mod_2	4	21	Soc. Dist. + Travel Ban	solid
2020-04-29	mod_3	8	39	No Intervention	solid
2020-04-29	mod_4	2	12	Moderate return	solid
2020-04-29	mod_5	3	12	Normal (pre-intervention)	solid
2020-04-29	mod_6	2	16	Cautious return	solid
2020-04-30	mod_2	4	19	Soc. Dist. + Travel Ban	solid
2020-04-30	mod_3	9	55	No Intervention	solid
2020-04-30	mod_4	3	13	Moderate return	solid
2020-04-30	mod_5	2	14	Normal (pre-intervention)	solid
2020-04-30	mod_6	2	10	Cautious return	solid
2020-05-01	mod_2	4	28	Soc. Dist. + Travel Ban	solid
2020-05-01	mod_3	10	60	No Intervention	solid
2020-05-01	mod_4	2	26	Moderate return	solid
2020-05-01	mod_5	2	15	Normal (pre-intervention)	solid
2020-05-01	mod_6	2	16	Cautious return	solid
2020-05-02	mod_2	5	34	Soc. Dist. + Travel Ban	solid
2020-05-02	mod_3	12	69	No Intervention	solid
2020-05-02	mod_4	2	11	Moderate return	solid
2020-05-02	mod_5	2	18	Normal (pre-intervention)	solid
2020-05-02	mod_6	2	21	Cautious return	solid
2020-05-03	mod_2	5	29	Soc. Dist. + Travel Ban	solid
2020-05-03	mod_3	13	83	No Intervention	solid
2020-05-03	mod_4	3	18	Moderate return	solid
2020-05-03	mod_5	3	19	Normal (pre-intervention)	solid
2020-05-03	mod_6	3	13	Cautious return	solid
2020-05-04	mod_2	5	37	Soc. Dist. + Travel Ban	solid
2020-05-04	mod_3	16	96	No Intervention	solid
2020-05-04	mod_4	2	16	Moderate return	solid
2020-05-04	mod_5	2	16	Normal (pre-intervention)	solid
2020-05-04	mod_6	2	18	Cautious return	solid
2020-05-05	mod_2	5	33	Soc. Dist. + Travel Ban	solid
2020-05-05	mod_3	18	116	No Intervention	solid
2020-05-05	mod_4	2	22	Moderate return	solid
2020-05-05	mod_5	2	21	Normal (pre-intervention)	solid
2020-05-05	mod_6	3	16	Cautious return	solid
2020-05-06	mod_2	6	37	Soc. Dist. + Travel Ban	solid
2020-05-06	mod_3	22	140	No Intervention	solid
2020-05-06	mod_4	3	14	Moderate return	solid
2020-05-06	mod_5	3	15	Normal (pre-intervention)	solid
2020-05-06	mod_6	2	21	Cautious return	solid
2020-05-07	mod_2	7	44	Soc. Dist. + Travel Ban	solid
2020-05-07	mod_3	26	163	No Intervention	solid
2020-05-07	mod_4	2	18	Moderate return	solid
2020-05-07	mod_5	2	21	Normal (pre-intervention)	solid
2020-05-07	mod_6	2	24	Cautious return	solid
2020-05-08	mod_2	7	48	Soc. Dist. + Travel Ban	solid
2020-05-08	mod_3	33	172	No Intervention	solid
2020-05-08	mod_4	3	21	Moderate return	solid
2020-05-08	mod_5	3	19	Normal (pre-intervention)	solid
2020-05-08	mod_6	3	16	Cautious return	solid
2020-05-09	mod_2	8	52	Soc. Dist. + Travel Ban	solid
2020-05-09	mod_3	40	238	No Intervention	solid
2020-05-09	mod_4	2	22	Moderate return	solid
