Dates	variable	value	upper_ci	color	type
2020-03-15	True	NA	NA	Observed	solid
2020-03-16	True	0	NA	Observed	solid
2020-03-17	True	0	NA	Observed	solid
2020-03-18	True	0	NA	Observed	solid
2020-03-19	True	0	NA	Observed	solid
2020-03-20	True	4	NA	Observed	solid
2020-03-21	True	0	NA	Observed	solid
2020-03-22	True	2	NA	Observed	solid
2020-03-23	True	0	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_2_up	499	NA	NA	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_3_up	499	NA	NA	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_4_up	499	NA	NA	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_5_up	499	NA	NA	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-23	mod_6_up	499	NA	NA	solid
2020-03-24	True	1	NA	Observed	solid
2020-03-25	True	8	NA	Observed	solid
2020-03-26	True	5	NA	Observed	solid
2020-03-27	True	9	NA	Observed	solid
2020-03-28	True	10	NA	Observed	solid
2020-03-29	True	0	NA	Observed	solid
2020-03-30	True	8	NA	Observed	solid
2020-03-31	True	19	NA	Observed	solid
2020-04-01	True	32	NA	Observed	solid
2020-04-02	True	9	NA	Observed	solid
2020-04-03	True	47	NA	Observed	solid
2020-04-04	True	25	NA	Observed	solid
2020-04-05	True	14	NA	Observed	solid
2020-04-06	True	63	NA	Observed	solid
2020-04-07	True	34	NA	Observed	solid
2020-04-08	True	51	NA	Observed	solid
2020-04-09	True	70	NA	Observed	solid
2020-04-10	True	40	NA	Observed	solid
2020-04-11	True	78	NA	Observed	solid
2020-04-12	True	33	NA	Observed	solid
2020-04-13	True	52	NA	Observed	solid
2020-04-14	True	127	NA	Observed	solid
2020-04-15	True	197	NA	Observed	solid
2020-04-16	True	226	NA	Observed	solid
2020-04-17	True	146	NA	Observed	solid
2020-04-18	True	92	NA	Observed	solid
2020-04-19	True	5	NA	Observed	solid
2020-04-20	True	78	NA	Observed	solid
2020-04-21	True	67	NA	Observed	solid
2020-04-22	True	35	NA	Observed	solid
2020-04-23	True	100	NA	Observed	solid
2020-04-24	mod_2	NA	NA	Soc. Dist. + Travel Ban	solid
2020-04-24	mod_3	NA	NA	No Intervention	solid
2020-04-24	mod_4	NA	NA	Moderate return	solid
2020-04-24	mod_5	NA	NA	Normal (pre-intervention)	solid
2020-04-24	mod_6	NA	NA	Cautious return	solid
2020-04-25	mod_2	361	1466	Soc. Dist. + Travel Ban	solid
2020-04-25	mod_3	273	1239	No Intervention	solid
2020-04-25	mod_4	172	955	Moderate return	solid
2020-04-25	mod_5	175	881	Normal (pre-intervention)	solid
2020-04-25	mod_6	174	913	Cautious return	solid
2020-04-26	mod_2	427	1840	Soc. Dist. + Travel Ban	solid
2020-04-26	mod_3	313	1324	No Intervention	solid
2020-04-26	mod_4	178	862	Moderate return	solid
2020-04-26	mod_5	175	938	Normal (pre-intervention)	solid
2020-04-26	mod_6	178	858	Cautious return	solid
2020-04-27	mod_2	505	2282	Soc. Dist. + Travel Ban	solid
2020-04-27	mod_3	359	1683	No Intervention	solid
2020-04-27	mod_4	183	965	Moderate return	solid
2020-04-27	mod_5	183	907	Normal (pre-intervention)	solid
2020-04-27	mod_6	182	980	Cautious return	solid
2020-04-28	mod_2	601	2802	Soc. Dist. + Travel Ban	solid
2020-04-28	mod_3	420	1972	No Intervention	solid
2020-04-28	mod_4	189	1062	Moderate return	solid
2020-04-28	mod_5	187	1112	Normal (pre-intervention)	solid
2020-04-28	mod_6	188	1012	Cautious return	solid
2020-04-29	mod_2	727	3698	Soc. Dist. + Travel Ban	solid
2020-04-29	mod_3	486	2614	No Intervention	solid
2020-04-29	mod_4	196	1113	Moderate return	solid
2020-04-29	mod_5	198	1089	Normal (pre-intervention)	solid
2020-04-29	mod_6	196	1146	Cautious return	solid
2020-04-30	mod_2	885	4756	Soc. Dist. + Travel Ban	solid
2020-04-30	mod_3	573	3157	No Intervention	solid
2020-04-30	mod_4	206	1151	Moderate return	solid
2020-04-30	mod_5	203	1104	Normal (pre-intervention)	solid
2020-04-30	mod_6	204	1053	Cautious return	solid
2020-05-01	mod_2	1083	6285	Soc. Dist. + Travel Ban	solid
2020-05-01	mod_3	684	3860	No Intervention	solid
2020-05-01	mod_4	214	1287	Moderate return	solid
2020-05-01	mod_5	213	1417	Normal (pre-intervention)	solid
2020-05-01	mod_6	211	1388	Cautious return	solid
2020-05-02	mod_2	1349	8445	Soc. Dist. + Travel Ban	solid
2020-05-02	mod_3	827	4797	No Intervention	solid
2020-05-02	mod_4	226	1347	Moderate return	solid
2020-05-02	mod_5	220	1272	Normal (pre-intervention)	solid
2020-05-02	mod_6	225	1409	Cautious return	solid
2020-05-03	mod_2	1676	10971	Soc. Dist. + Travel Ban	solid
2020-05-03	mod_3	1008	5976	No Intervention	solid
2020-05-03	mod_4	236	1554	Moderate return	solid
2020-05-03	mod_5	234	1553	Normal (pre-intervention)	solid
2020-05-03	mod_6	235	1473	Cautious return	solid
2020-05-04	mod_2	2124	14425	Soc. Dist. + Travel Ban	solid
2020-05-04	mod_3	1239	8165	No Intervention	solid
2020-05-04	mod_4	248	1624	Moderate return	solid
2020-05-04	mod_5	248	1651	Normal (pre-intervention)	solid
2020-05-04	mod_6	251	1746	Cautious return	solid
2020-05-05	mod_2	2706	19031	Soc. Dist. + Travel Ban	solid
2020-05-05	mod_3	1540	10118	No Intervention	solid
2020-05-05	mod_4	265	1804	Moderate return	solid
2020-05-05	mod_5	266	1823	Normal (pre-intervention)	solid
2020-05-05	mod_6	262	1747	Cautious return	solid
2020-05-06	mod_2	3485	24619	Soc. Dist. + Travel Ban	solid
2020-05-06	mod_3	1938	12657	No Intervention	solid
2020-05-06	mod_4	284	2048	Moderate return	solid
2020-05-06	mod_5	287	2020	Normal (pre-intervention)	solid
2020-05-06	mod_6	282	1914	Cautious return	solid
2020-05-07	mod_2	4512	32669	Soc. Dist. + Travel Ban	solid
2020-05-07	mod_3	2463	16631	No Intervention	solid
2020-05-07	mod_4	304	2072	Moderate return	solid
2020-05-07	mod_5	303	2140	Normal (pre-intervention)	solid
2020-05-07	mod_6	304	2106	Cautious return	solid
2020-05-08	mod_2	5865	43696	Soc. Dist. + Travel Ban	solid
2020-05-08	mod_3	3144	20579	No Intervention	solid
2020-05-08	mod_4	326	2290	Moderate return	solid
2020-05-08	mod_5	325	2467	Normal (pre-intervention)	solid
2020-05-08	mod_6	326	2431	Cautious return	solid
