Dates	variable	value	upper_ci	color	type
2020-03-15	True	1	NA	Observed	solid
2020-03-16	True	1	NA	Observed	solid
2020-03-17	True	1	NA	Observed	solid
2020-03-18	True	2	NA	Observed	solid
2020-03-19	True	2	NA	Observed	solid
2020-03-20	True	3	NA	Observed	solid
2020-03-21	True	13	NA	Observed	solid
2020-03-22	True	21	NA	Observed	solid
2020-03-23	True	23	NA	Observed	solid
2020-03-24	True	29	NA	Observed	solid
2020-03-25	True	31	NA	Observed	solid
2020-03-26	True	33	NA	Observed	solid
2020-03-27	True	38	NA	Observed	solid
2020-03-28	True	38	NA	Observed	solid
2020-03-29	True	38	NA	Observed	solid
2020-03-30	True	41	NA	Observed	solid
2020-03-31	True	42	NA	Observed	solid
2020-04-01	True	46	NA	Observed	solid
2020-04-02	True	47	NA	Observed	solid
2020-04-03	True	53	NA	Observed	solid
2020-04-04	True	65	NA	Observed	solid
2020-04-05	True	68	NA	Observed	solid
2020-04-06	True	79	NA	Observed	solid
2020-04-07	True	99	NA	Observed	solid
2020-04-08	True	106	NA	Observed	solid
2020-04-09	True	130	NA	Observed	solid
2020-04-10	True	151	NA	Observed	solid
2020-04-11	True	158	NA	Observed	solid
2020-04-12	True	170	NA	Observed	solid
2020-04-13	True	176	NA	Observed	solid
2020-04-14	True	184	NA	Observed	solid
2020-04-15	True	186	NA	Observed	solid
2020-04-16	True	197	NA	Observed	solid
2020-04-17	True	211	NA	Observed	solid
2020-04-18	True	234	NA	Observed	solid
2020-04-19	True	244	NA	Observed	solid
2020-04-20	True	245	NA	Observed	solid
2020-04-21	True	251	NA	Observed	solid
2020-04-22	True	278	NA	Observed	solid
2020-04-23	True	283	NA	Observed	solid
2020-04-24	True	298	NA	Observed	solid
2020-04-25	mod_2	365	1698	Social distancing	solid
2020-04-25	mod_3	365	1618	No intervention	solid
2020-04-25	mod_4	358	1614	Lockdown with moderate release	solid
2020-04-26	mod_2	412	1928	Social distancing	solid
2020-04-26	mod_3	431	2004	No intervention	solid
2020-04-26	mod_4	383	1947	Lockdown with moderate release	solid
2020-04-27	mod_2	462	2211	Social distancing	solid
2020-04-27	mod_3	509	2409	No intervention	solid
2020-04-27	mod_4	400	1932	Lockdown with moderate release	solid
2020-04-28	mod_2	515	2515	Social distancing	solid
2020-04-28	mod_3	606	2806	No intervention	solid
2020-04-28	mod_4	422	2206	Lockdown with moderate release	solid
2020-04-29	mod_2	580	2721	Social distancing	solid
2020-04-29	mod_3	732	3528	No intervention	solid
2020-04-29	mod_4	439	2151	Lockdown with moderate release	solid
2020-04-30	mod_2	648	3262	Social distancing	solid
2020-04-30	mod_3	887	4428	No intervention	solid
2020-04-30	mod_4	460	2481	Lockdown with moderate release	solid
2020-05-01	mod_2	720	3554	Social distancing	solid
2020-05-01	mod_3	1078	5621	No intervention	solid
2020-05-01	mod_4	477	2671	Lockdown with moderate release	solid
2020-05-02	mod_2	808	4125	Social distancing	solid
2020-05-02	mod_3	1322	7200	No intervention	solid
2020-05-02	mod_4	496	2770	Lockdown with moderate release	solid
2020-05-03	mod_2	901	4624	Social distancing	solid
2020-05-03	mod_3	1638	9216	No intervention	solid
2020-05-03	mod_4	517	3126	Lockdown with moderate release	solid
2020-05-04	mod_2	1018	5640	Social distancing	solid
2020-05-04	mod_3	2049	12016	No intervention	solid
2020-05-04	mod_4	536	3182	Lockdown with moderate release	solid
2020-05-05	mod_2	1145	6653	Social distancing	solid
2020-05-05	mod_3	2595	16878	No intervention	solid
2020-05-05	mod_4	553	3211	Lockdown with moderate release	solid
2020-05-06	mod_2	1288	7431	Social distancing	solid
2020-05-06	mod_3	3348	22161	No intervention	solid
2020-05-06	mod_4	572	3648	Lockdown with moderate release	solid
2020-05-07	mod_2	1460	9082	Social distancing	solid
2020-05-07	mod_3	4373	30356	No intervention	solid
2020-05-07	mod_4	588	3547	Lockdown with moderate release	solid
2020-05-08	mod_2	1660	10441	Social distancing	solid
2020-05-08	mod_3	5751	41476	No intervention	solid
2020-05-08	mod_4	601	3944	Lockdown with moderate release	solid
