Dates	variable	value	upper_ci	color	type
2020-03-15	True	0	NA	Observed	solid
2020-03-16	True	0	NA	Observed	solid
2020-03-17	True	1	NA	Observed	solid
2020-03-18	True	1	NA	Observed	solid
2020-03-19	True	1	NA	Observed	solid
2020-03-20	True	2	NA	Observed	solid
2020-03-21	True	4	NA	Observed	solid
2020-03-22	True	7	NA	Observed	solid
2020-03-23	True	7	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-24	True	9	NA	Observed	solid
2020-03-25	True	9	NA	Observed	solid
2020-03-26	True	10	NA	Observed	solid
2020-03-27	True	15	NA	Observed	solid
2020-03-28	True	18	NA	Observed	solid
2020-03-29	True	21	NA	Observed	solid
2020-03-30	True	22	NA	Observed	solid
2020-03-31	True	37	NA	Observed	solid
2020-04-01	True	37	NA	Observed	solid
2020-04-02	True	53	NA	Observed	solid
2020-04-03	True	53	NA	Observed	solid
2020-04-04	True	53	NA	Observed	solid
2020-04-05	True	80	NA	Observed	solid
2020-04-06	True	80	NA	Observed	solid
2020-04-07	True	91	NA	Observed	solid
2020-04-08	True	99	NA	Observed	solid
2020-04-09	True	103	NA	Observed	solid
2020-04-10	True	116	NA	Observed	solid
2020-04-11	True	126	NA	Observed	solid
2020-04-12	True	134	NA	Observed	solid
2020-04-13	True	152	NA	Observed	solid
2020-04-14	True	190	NA	Observed	solid
2020-04-15	True	213	NA	Observed	solid
2020-04-16	True	231	NA	Observed	solid
2020-04-17	True	255	NA	Observed	solid
2020-04-18	True	287	NA	Observed	solid
2020-04-19	True	310	NA	Observed	solid
2020-04-20	True	339	NA	Observed	solid
2020-04-21	True	392	NA	Observed	solid
2020-04-22	True	423	NA	Observed	solid
2020-04-23	True	456	NA	Observed	solid
2020-04-24	True	514	NA	Observed	solid
2020-04-25	mod_2	566	3360	Soc. Dist. + Travel Ban	solid
2020-04-25	mod_3	575	3419	No Intervention	solid
2020-04-25	mod_4	572	3376	Moderate return	solid
2020-04-25	mod_5	563	3397	Normal (pre-intervention)	solid
2020-04-25	mod_6	565	3284	Cautious return	solid
2020-04-26	mod_2	628	3589	Soc. Dist. + Travel Ban	solid
2020-04-26	mod_3	659	3700	No Intervention	solid
2020-04-26	mod_4	611	3755	Moderate return	solid
2020-04-26	mod_5	600	3563	Normal (pre-intervention)	solid
2020-04-26	mod_6	600	3652	Cautious return	solid
2020-04-27	mod_2	695	4146	Soc. Dist. + Travel Ban	solid
2020-04-27	mod_3	775	4364	No Intervention	solid
2020-04-27	mod_4	637	3882	Moderate return	solid
2020-04-27	mod_5	633	3685	Normal (pre-intervention)	solid
2020-04-27	mod_6	635	3829	Cautious return	solid
2020-04-28	mod_2	767	4334	Soc. Dist. + Travel Ban	solid
2020-04-28	mod_3	912	4860	No Intervention	solid
2020-04-28	mod_4	666	3663	Moderate return	solid
2020-04-28	mod_5	653	3816	Normal (pre-intervention)	solid
2020-04-28	mod_6	664	3914	Cautious return	solid
2020-04-29	mod_2	847	5098	Soc. Dist. + Travel Ban	solid
2020-04-29	mod_3	1076	5933	No Intervention	solid
2020-04-29	mod_4	696	4137	Moderate return	solid
2020-04-29	mod_5	678	4297	Normal (pre-intervention)	solid
2020-04-29	mod_6	696	4243	Cautious return	solid
2020-04-30	mod_2	941	5380	Soc. Dist. + Travel Ban	solid
2020-04-30	mod_3	1289	7092	No Intervention	solid
2020-04-30	mod_4	726	4154	Moderate return	solid
2020-04-30	mod_5	712	4900	Normal (pre-intervention)	solid
2020-04-30	mod_6	716	4394	Cautious return	solid
2020-05-01	mod_2	1045	6158	Soc. Dist. + Travel Ban	solid
2020-05-01	mod_3	1554	9029	No Intervention	solid
2020-05-01	mod_4	743	4705	Moderate return	solid
2020-05-01	mod_5	733	4643	Normal (pre-intervention)	solid
2020-05-01	mod_6	740	4772	Cautious return	solid
2020-05-02	mod_2	1153	6902	Soc. Dist. + Travel Ban	solid
2020-05-02	mod_3	1907	10633	No Intervention	solid
2020-05-02	mod_4	769	5198	Moderate return	solid
2020-05-02	mod_5	760	5104	Normal (pre-intervention)	solid
2020-05-02	mod_6	769	4758	Cautious return	solid
2020-05-03	mod_2	1278	7391	Soc. Dist. + Travel Ban	solid
2020-05-03	mod_3	2358	14222	No Intervention	solid
2020-05-03	mod_4	796	4849	Moderate return	solid
2020-05-03	mod_5	793	4924	Normal (pre-intervention)	solid
2020-05-03	mod_6	796	5074	Cautious return	solid
2020-05-04	mod_2	1412	8714	Soc. Dist. + Travel Ban	solid
2020-05-04	mod_3	2965	17512	No Intervention	solid
2020-05-04	mod_4	824	4989	Moderate return	solid
2020-05-04	mod_5	810	5320	Normal (pre-intervention)	solid
2020-05-04	mod_6	820	5386	Cautious return	solid
2020-05-05	mod_2	1566	9625	Soc. Dist. + Travel Ban	solid
2020-05-05	mod_3	3783	23136	No Intervention	solid
2020-05-05	mod_4	854	5286	Moderate return	solid
2020-05-05	mod_5	831	5466	Normal (pre-intervention)	solid
2020-05-05	mod_6	841	5299	Cautious return	solid
2020-05-06	mod_2	1741	11021	Soc. Dist. + Travel Ban	solid
2020-05-06	mod_3	4912	31394	No Intervention	solid
2020-05-06	mod_4	884	5824	Moderate return	solid
2020-05-06	mod_5	850	5851	Normal (pre-intervention)	solid
2020-05-06	mod_6	860	5790	Cautious return	solid
2020-05-07	mod_2	1941	12282	Soc. Dist. + Travel Ban	solid
2020-05-07	mod_3	6501	42869	No Intervention	solid
2020-05-07	mod_4	912	6291	Moderate return	solid
2020-05-07	mod_5	872	6317	Normal (pre-intervention)	solid
2020-05-07	mod_6	876	5664	Cautious return	solid
2020-05-08	mod_2	2190	14303	Soc. Dist. + Travel Ban	solid
2020-05-08	mod_3	8740	54498	No Intervention	solid
2020-05-08	mod_4	936	6449	Moderate return	solid
2020-05-08	mod_5	890	6075	Normal (pre-intervention)	solid
2020-05-08	mod_6	899	6018	Cautious return	solid
2020-05-09	mod_2	2473	15927	Soc. Dist. + Travel Ban	solid
2020-05-09	mod_3	11850	73870	No Intervention	solid
2020-05-09	mod_4	958	6485	Moderate return	solid
2020-05-09	mod_5	917	6236	Normal (pre-intervention)	solid
2020-05-09	mod_6	915	6269	Cautious return	solid
2020-05-10	mod_2	2791	18536	Soc. Dist. + Travel Ban	solid
2020-05-10	mod_3	16065	97912	No Intervention	solid
2020-05-10	mod_4	980	6356	Moderate return	solid
2020-05-10	mod_5	940	6392	Normal (pre-intervention)	solid
2020-05-10	mod_6	930	6477	Cautious return	solid
2020-05-11	mod_2	3181	22677	Soc. Dist. + Travel Ban	solid
2020-05-11	mod_3	21606	125257	No Intervention	solid
2020-05-11	mod_4	994	6695	Moderate return	solid
2020-05-11	mod_5	962	6679	Normal (pre-intervention)	solid
2020-05-11	mod_6	948	6485	Cautious return	solid
2020-05-12	mod_2	3649	24881	Soc. Dist. + Travel Ban	solid
2020-05-12	mod_3	28763	170892	No Intervention	solid
2020-05-12	mod_4	1020	7070	Moderate return	solid
2020-05-12	mod_5	984	6927	Normal (pre-intervention)	solid
2020-05-12	mod_6	963	7369	Cautious return	solid
2020-05-13	mod_2	4222	29858	Soc. Dist. + Travel Ban	solid
2020-05-13	mod_3	37682	240297	No Intervention	solid
2020-05-13	mod_4	1046	7499	Moderate return	solid
2020-05-13	mod_5	993	7031	Normal (pre-intervention)	solid
2020-05-13	mod_6	986	6979	Cautious return	solid
2020-05-14	mod_2	4901	34371	Soc. Dist. + Travel Ban	solid
2020-05-14	mod_3	48676	313990	No Intervention	solid
2020-05-14	mod_4	1075	7467	Moderate return	solid
2020-05-14	mod_5	1012	7166	Normal (pre-intervention)	solid
2020-05-14	mod_6	1009	7073	Cautious return	solid
2020-05-15	mod_2	5720	43160	Soc. Dist. + Travel Ban	solid
2020-05-15	mod_3	62099	440402	No Intervention	solid
2020-05-15	mod_4	1097	7451	Moderate return	solid
2020-05-15	mod_5	1031	7639	Normal (pre-intervention)	solid
2020-05-15	mod_6	1028	7313	Cautious return	solid
2020-05-16	mod_2	6731	50054	Soc. Dist. + Travel Ban	solid
2020-05-16	mod_3	78357	573464	No Intervention	solid
2020-05-16	mod_4	1130	7697	Moderate return	solid
2020-05-16	mod_5	1066	8204	Normal (pre-intervention)	solid
2020-05-16	mod_6	1049	7758	Cautious return	solid
2020-05-17	mod_2	7936	58546	Soc. Dist. + Travel Ban	solid
2020-05-17	mod_3	97651	742346	No Intervention	solid
2020-05-17	mod_4	1157	7933	Moderate return	solid
2020-05-17	mod_5	1103	8299	Normal (pre-intervention)	solid
2020-05-17	mod_6	1075	7428	Cautious return	solid
2020-05-18	mod_2	9401	67109	Soc. Dist. + Travel Ban	solid
2020-05-18	mod_3	120365	973029	No Intervention	solid
2020-05-18	mod_4	1198	8676	Moderate return	solid
2020-05-18	mod_5	1141	9343	Normal (pre-intervention)	solid
2020-05-18	mod_6	1111	7715	Cautious return	solid
2020-05-19	mod_2	11171	80678	Soc. Dist. + Travel Ban	solid
2020-05-19	mod_3	146653	1263227	No Intervention	solid
2020-05-19	mod_4	1235	8872	Moderate return	solid
2020-05-19	mod_5	1182	9540	Normal (pre-intervention)	solid
2020-05-19	mod_6	1138	8033	Cautious return	solid
2020-05-20	mod_2	13352	98280	Soc. Dist. + Travel Ban	solid
2020-05-20	mod_3	176520	1650923	No Intervention	solid
2020-05-20	mod_4	1269	8563	Moderate return	solid
2020-05-20	mod_5	1247	9368	Normal (pre-intervention)	solid
2020-05-20	mod_6	1159	8676	Cautious return	solid
2020-05-21	mod_2	15939	109165	Soc. Dist. + Travel Ban	solid
2020-05-21	mod_3	209897	2086160	No Intervention	solid
2020-05-21	mod_4	1306	9567	Moderate return	solid
2020-05-21	mod_5	1320	10949	Normal (pre-intervention)	solid
2020-05-21	mod_6	1192	9221	Cautious return	solid
2020-05-22	mod_2	18972	133235	Soc. Dist. + Travel Ban	solid
2020-05-22	mod_3	246577	2557778	No Intervention	solid
2020-05-22	mod_4	1339	10074	Moderate return	solid
2020-05-22	mod_5	1384	11347	Normal (pre-intervention)	solid
