Dates	variable	value	upper_ci	color	type
2020-03-15	True	0	NA	Observed	solid
2020-03-16	True	0	NA	Observed	solid
2020-03-17	True	0	NA	Observed	solid
2020-03-18	True	0	NA	Observed	solid
2020-03-19	True	0	NA	Observed	solid
2020-03-20	True	0	NA	Observed	solid
2020-03-21	True	0	NA	Observed	solid
2020-03-22	True	0	NA	Observed	solid
2020-03-23	True	0	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-24	True	0	NA	Observed	solid
2020-03-25	True	0	NA	Observed	solid
2020-03-26	True	0	NA	Observed	solid
2020-03-27	True	0	NA	Observed	solid
2020-03-28	True	0	NA	Observed	solid
2020-03-29	True	0	NA	Observed	solid
2020-03-30	True	0	NA	Observed	solid
2020-03-31	True	1	NA	Observed	solid
2020-04-01	True	1	NA	Observed	solid
2020-04-02	True	2	NA	Observed	solid
2020-04-03	True	2	NA	Observed	solid
2020-04-04	True	2	NA	Observed	solid
2020-04-05	True	3	NA	Observed	solid
2020-04-06	True	4	NA	Observed	solid
2020-04-07	True	4	NA	Observed	solid
2020-04-08	True	4	NA	Observed	solid
2020-04-09	True	13	NA	Observed	solid
2020-04-10	True	14	NA	Observed	solid
2020-04-11	True	17	NA	Observed	solid
2020-04-12	True	19	NA	Observed	solid
2020-04-13	True	24	NA	Observed	solid
2020-04-14	True	27	NA	Observed	solid
2020-04-15	True	28	NA	Observed	solid
2020-04-16	True	29	NA	Observed	solid
2020-04-17	True	32	NA	Observed	solid
2020-04-18	True	33	NA	Observed	solid
2020-04-19	True	41	NA	Observed	solid
2020-04-20	True	46	NA	Observed	solid
2020-04-21	True	46	NA	Observed	solid
2020-04-22	True	46	NA	Observed	solid
2020-04-23	True	53	NA	Observed	solid
2020-04-24	True	59	NA	Observed	solid
2020-04-25	True	67	NA	Observed	solid
2020-04-26	mod_2	69	477	Soc. Dist. + Travel Ban	solid
2020-04-26	mod_3	69	499	No Intervention	solid
2020-04-26	mod_4	69	495	Moderate return	solid
2020-04-26	mod_5	69	519	Normal (pre-intervention)	solid
2020-04-26	mod_6	69	541	Cautious return	solid
2020-04-27	mod_2	74	498	Soc. Dist. + Travel Ban	solid
2020-04-27	mod_3	76	531	No Intervention	solid
2020-04-27	mod_4	72	519	Moderate return	solid
2020-04-27	mod_5	71	541	Normal (pre-intervention)	solid
2020-04-27	mod_6	71	565	Cautious return	solid
2020-04-28	mod_2	79	601	Soc. Dist. + Travel Ban	solid
2020-04-28	mod_3	83	601	No Intervention	solid
2020-04-28	mod_4	74	600	Moderate return	solid
2020-04-28	mod_5	74	522	Normal (pre-intervention)	solid
2020-04-28	mod_6	74	486	Cautious return	solid
2020-04-29	mod_2	84	645	Soc. Dist. + Travel Ban	solid
2020-04-29	mod_3	92	622	No Intervention	solid
2020-04-29	mod_4	77	573	Moderate return	solid
2020-04-29	mod_5	76	513	Normal (pre-intervention)	solid
2020-04-29	mod_6	75	579	Cautious return	solid
2020-04-30	mod_2	89	622	Soc. Dist. + Travel Ban	solid
2020-04-30	mod_3	103	686	No Intervention	solid
2020-04-30	mod_4	78	594	Moderate return	solid
2020-04-30	mod_5	78	582	Normal (pre-intervention)	solid
2020-04-30	mod_6	79	550	Cautious return	solid
2020-05-01	mod_2	95	661	Soc. Dist. + Travel Ban	solid
2020-05-01	mod_3	115	778	No Intervention	solid
2020-05-01	mod_4	80	545	Moderate return	solid
2020-05-01	mod_5	80	624	Normal (pre-intervention)	solid
2020-05-01	mod_6	81	584	Cautious return	solid
2020-05-02	mod_2	101	704	Soc. Dist. + Travel Ban	solid
2020-05-02	mod_3	128	841	No Intervention	solid
2020-05-02	mod_4	82	563	Moderate return	solid
2020-05-02	mod_5	82	592	Normal (pre-intervention)	solid
2020-05-02	mod_6	83	600	Cautious return	solid
2020-05-03	mod_2	109	695	Soc. Dist. + Travel Ban	solid
2020-05-03	mod_3	146	915	No Intervention	solid
2020-05-03	mod_4	85	620	Moderate return	solid
2020-05-03	mod_5	84	536	Normal (pre-intervention)	solid
2020-05-03	mod_6	84	649	Cautious return	solid
2020-05-04	mod_2	116	794	Soc. Dist. + Travel Ban	solid
2020-05-04	mod_3	162	1121	No Intervention	solid
2020-05-04	mod_4	87	715	Moderate return	solid
2020-05-04	mod_5	87	623	Normal (pre-intervention)	solid
2020-05-04	mod_6	87	587	Cautious return	solid
2020-05-05	mod_2	124	811	Soc. Dist. + Travel Ban	solid
2020-05-05	mod_3	183	1222	No Intervention	solid
2020-05-05	mod_4	88	593	Moderate return	solid
2020-05-05	mod_5	88	698	Normal (pre-intervention)	solid
2020-05-05	mod_6	88	673	Cautious return	solid
2020-05-06	mod_2	133	907	Soc. Dist. + Travel Ban	solid
2020-05-06	mod_3	209	1290	No Intervention	solid
2020-05-06	mod_4	90	617	Moderate return	solid
2020-05-06	mod_5	90	687	Normal (pre-intervention)	solid
2020-05-06	mod_6	91	662	Cautious return	solid
2020-05-07	mod_2	142	947	Soc. Dist. + Travel Ban	solid
2020-05-07	mod_3	238	1547	No Intervention	solid
2020-05-07	mod_4	92	652	Moderate return	solid
2020-05-07	mod_5	93	706	Normal (pre-intervention)	solid
2020-05-07	mod_6	92	747	Cautious return	solid
2020-05-08	mod_2	153	951	Soc. Dist. + Travel Ban	solid
2020-05-08	mod_3	271	1872	No Intervention	solid
2020-05-08	mod_4	94	678	Moderate return	solid
2020-05-08	mod_5	94	717	Normal (pre-intervention)	solid
2020-05-08	mod_6	95	690	Cautious return	solid
2020-05-09	mod_2	163	1129	Soc. Dist. + Travel Ban	solid
2020-05-09	mod_3	313	1851	No Intervention	solid
2020-05-09	mod_4	96	764	Moderate return	solid
2020-05-09	mod_5	96	679	Normal (pre-intervention)	solid
2020-05-09	mod_6	96	682	Cautious return	solid
2020-05-10	mod_2	175	1210	Soc. Dist. + Travel Ban	solid
2020-05-10	mod_3	362	2277	No Intervention	solid
2020-05-10	mod_4	97	684	Moderate return	solid
2020-05-10	mod_5	99	710	Normal (pre-intervention)	solid
2020-05-10	mod_6	98	700	Cautious return	solid
2020-05-11	mod_2	188	1335	Soc. Dist. + Travel Ban	solid
2020-05-11	mod_3	424	2705	No Intervention	solid
2020-05-11	mod_4	98	702	Moderate return	solid
2020-05-11	mod_5	101	762	Normal (pre-intervention)	solid
2020-05-11	mod_6	100	708	Cautious return	solid
2020-05-12	mod_2	202	1341	Soc. Dist. + Travel Ban	solid
2020-05-12	mod_3	501	3416	No Intervention	solid
2020-05-12	mod_4	99	760	Moderate return	solid
2020-05-12	mod_5	102	716	Normal (pre-intervention)	solid
2020-05-12	mod_6	102	730	Cautious return	solid
2020-05-13	mod_2	219	1503	Soc. Dist. + Travel Ban	solid
2020-05-13	mod_3	595	3820	No Intervention	solid
2020-05-13	mod_4	100	702	Moderate return	solid
2020-05-13	mod_5	105	811	Normal (pre-intervention)	solid
2020-05-13	mod_6	104	775	Cautious return	solid
2020-05-14	mod_2	236	1648	Soc. Dist. + Travel Ban	solid
2020-05-14	mod_3	715	4858	No Intervention	solid
2020-05-14	mod_4	102	740	Moderate return	solid
2020-05-14	mod_5	107	892	Normal (pre-intervention)	solid
2020-05-14	mod_6	106	753	Cautious return	solid
2020-05-15	mod_2	255	1667	Soc. Dist. + Travel Ban	solid
2020-05-15	mod_3	860	5684	No Intervention	solid
2020-05-15	mod_4	103	738	Moderate return	solid
2020-05-15	mod_5	110	836	Normal (pre-intervention)	solid
2020-05-15	mod_6	107	774	Cautious return	solid
2020-05-16	mod_2	276	1891	Soc. Dist. + Travel Ban	solid
2020-05-16	mod_3	1041	7080	No Intervention	solid
2020-05-16	mod_4	104	794	Moderate return	solid
2020-05-16	mod_5	113	797	Normal (pre-intervention)	solid
2020-05-16	mod_6	110	927	Cautious return	solid
2020-05-17	mod_2	301	2032	Soc. Dist. + Travel Ban	solid
2020-05-17	mod_3	1270	8483	No Intervention	solid
2020-05-17	mod_4	107	796	Moderate return	solid
2020-05-17	mod_5	116	860	Normal (pre-intervention)	solid
2020-05-17	mod_6	111	776	Cautious return	solid
2020-05-18	mod_2	327	2261	Soc. Dist. + Travel Ban	solid
2020-05-18	mod_3	1550	10119	No Intervention	solid
2020-05-18	mod_4	109	833	Moderate return	solid
2020-05-18	mod_5	118	903	Normal (pre-intervention)	solid
2020-05-18	mod_6	113	851	Cautious return	solid
2020-05-19	mod_2	357	2564	Soc. Dist. + Travel Ban	solid
2020-05-19	mod_3	1890	12312	No Intervention	solid
2020-05-19	mod_4	110	880	Moderate return	solid
2020-05-19	mod_5	121	885	Normal (pre-intervention)	solid
2020-05-19	mod_6	115	853	Cautious return	solid
2020-05-20	mod_2	388	2935	Soc. Dist. + Travel Ban	solid
2020-05-20	mod_3	2303	15133	No Intervention	solid
2020-05-20	mod_4	113	837	Moderate return	solid
2020-05-20	mod_5	125	980	Normal (pre-intervention)	solid
2020-05-20	mod_6	117	842	Cautious return	solid
2020-05-21	mod_2	427	3241	Soc. Dist. + Travel Ban	solid
2020-05-21	mod_3	2793	18307	No Intervention	solid
2020-05-21	mod_4	116	940	Moderate return	solid
2020-05-21	mod_5	129	988	Normal (pre-intervention)	solid
2020-05-21	mod_6	119	921	Cautious return	solid
2020-05-22	mod_2	468	3562	Soc. Dist. + Travel Ban	solid
2020-05-22	mod_3	3371	22494	No Intervention	solid
2020-05-22	mod_4	117	916	Moderate return	solid
2020-05-22	mod_5	134	1100	Normal (pre-intervention)	solid
2020-05-22	mod_6	121	902	Cautious return	solid
2020-05-23	mod_2	519	3808	Soc. Dist. + Travel Ban	solid
2020-05-23	mod_3	4032	26717	No Intervention	solid
2020-05-23	mod_4	120	898	Moderate return	solid
2020-05-23	mod_5	139	1074	Normal (pre-intervention)	solid
2020-05-23	mod_6	124	924	Cautious return	solid
2020-05-24	mod_2	574	3981	Soc. Dist. + Travel Ban	solid
2020-05-24	mod_3	4782	33632	No Intervention	solid
2020-05-24	mod_4	122	989	Moderate return	solid
2020-05-24	mod_5	144	1154	Normal (pre-intervention)	solid
