Dates	variable	value	upper_ci	color	type
2020-03-15	True	0	NA	Observed	solid
2020-03-16	True	0	NA	Observed	solid
2020-03-17	True	0	NA	Observed	solid
2020-03-18	True	0	NA	Observed	solid
2020-03-19	True	2	NA	Observed	solid
2020-03-20	True	7	NA	Observed	solid
2020-03-21	True	14	NA	Observed	solid
2020-03-22	True	18	NA	Observed	solid
2020-03-23	True	30	NA	Observed	solid
2020-03-24	True	34	NA	Observed	solid
2020-03-25	True	38	NA	Observed	solid
2020-03-26	True	43	NA	Observed	solid
2020-03-27	True	47	NA	Observed	solid
2020-03-28	True	55	NA	Observed	solid
2020-03-29	True	63	NA	Observed	solid
2020-03-30	True	70	NA	Observed	solid
2020-03-31	True	74	NA	Observed	solid
2020-04-01	True	87	NA	Observed	solid
2020-04-02	True	88	NA	Observed	solid
2020-04-03	True	95	NA	Observed	solid
2020-04-04	True	108	NA	Observed	solid
2020-04-05	True	128	NA	Observed	solid
2020-04-06	True	146	NA	Observed	solid
2020-04-07	True	175	NA	Observed	solid
2020-04-08	True	186	NA	Observed	solid
2020-04-09	True	262	NA	Observed	solid
2020-04-10	True	378	NA	Observed	solid
2020-04-11	True	468	NA	Observed	solid
2020-04-12	True	516	NA	Observed	solid
2020-04-13	True	572	NA	Observed	solid
2020-04-14	True	650	NA	Observed	solid
2020-04-15	True	766	NA	Observed	solid
2020-04-16	True	929	NA	Observed	solid
2020-04-17	True	1099	NA	Observed	solid
2020-04-18	True	1376	NA	Observed	solid
2020-04-19	True	1743	NA	Observed	solid
2020-04-20	True	1939	NA	Observed	solid
2020-04-21	True	2178	NA	Observed	solid
2020-04-22	True	2407	NA	Observed	solid
2020-04-23	True	2624	NA	Observed	solid
2020-04-24	True	2815	NA	Observed	solid
2020-04-25	True	3071	NA	Observed	solid
2020-04-26	mod_2	3751	11743	Social distancing	solid
2020-04-26	mod_3	3743	12410	No intervention	solid
2020-04-26	mod_4	3774	12709	Lockdown with moderate release	solid
2020-04-27	mod_2	4259	13804	Social distancing	solid
2020-04-27	mod_3	4423	14734	No intervention	solid
2020-04-27	mod_4	4004	13547	Lockdown with moderate release	solid
2020-04-28	mod_2	4833	16739	Social distancing	solid
2020-04-28	mod_3	5284	17823	No intervention	solid
2020-04-28	mod_4	4232	14766	Lockdown with moderate release	solid
2020-04-29	mod_2	5431	18124	Social distancing	solid
2020-04-29	mod_3	6302	21426	No intervention	solid
2020-04-29	mod_4	4474	15607	Lockdown with moderate release	solid
2020-04-30	mod_2	6104	21330	Social distancing	solid
2020-04-30	mod_3	7511	26710	No intervention	solid
2020-04-30	mod_4	4722	17921	Lockdown with moderate release	solid
2020-05-01	mod_2	6824	23468	Social distancing	solid
2020-05-01	mod_3	8957	32589	No intervention	solid
2020-05-01	mod_4	4994	18965	Lockdown with moderate release	solid
2020-05-02	mod_2	7595	27963	Social distancing	solid
2020-05-02	mod_3	10805	42230	No intervention	solid
2020-05-02	mod_4	5258	19791	Lockdown with moderate release	solid
2020-05-03	mod_2	8457	30742	Social distancing	solid
2020-05-03	mod_3	12966	52515	No intervention	solid
2020-05-03	mod_4	5493	21619	Lockdown with moderate release	solid
2020-05-04	mod_2	9431	35996	Social distancing	solid
2020-05-04	mod_3	15667	67962	No intervention	solid
2020-05-04	mod_4	5717	22639	Lockdown with moderate release	solid
2020-05-05	mod_2	10493	40163	Social distancing	solid
2020-05-05	mod_3	18957	86933	No intervention	solid
2020-05-05	mod_4	5903	23913	Lockdown with moderate release	solid
2020-05-06	mod_2	11678	48174	Social distancing	solid
2020-05-06	mod_3	23094	112985	No intervention	solid
2020-05-06	mod_4	6112	24745	Lockdown with moderate release	solid
2020-05-07	mod_2	13003	56446	Social distancing	solid
2020-05-07	mod_3	28386	141011	No intervention	solid
2020-05-07	mod_4	6346	26791	Lockdown with moderate release	solid
2020-05-08	mod_2	14554	64544	Social distancing	solid
2020-05-08	mod_3	34948	187434	No intervention	solid
2020-05-08	mod_4	6567	28002	Lockdown with moderate release	solid
2020-05-09	mod_2	16312	77864	Social distancing	solid
2020-05-09	mod_3	43367	245416	No intervention	solid
2020-05-09	mod_4	6780	28113	Lockdown with moderate release	solid
2020-05-10	mod_2	18270	86660	Social distancing	solid
2020-05-10	mod_3	54072	316805	No intervention	solid
2020-05-10	mod_4	6991	31421	Lockdown with moderate release	solid
2020-05-11	mod_2	20507	105061	Social distancing	solid
2020-05-11	mod_3	67722	411633	No intervention	solid
2020-05-11	mod_4	7197	31125	Lockdown with moderate release	solid
2020-05-12	mod_2	22973	120177	Social distancing	solid
2020-05-12	mod_3	85144	533814	No intervention	solid
2020-05-12	mod_4	7425	32471	Lockdown with moderate release	solid
2020-05-13	mod_2	25832	140704	Social distancing	solid
2020-05-13	mod_3	107521	691968	No intervention	solid
2020-05-13	mod_4	7619	35370	Lockdown with moderate release	solid
2020-05-14	mod_2	29034	163844	Social distancing	solid
2020-05-14	mod_3	135819	908536	No intervention	solid
2020-05-14	mod_4	7820	35920	Lockdown with moderate release	solid
2020-05-15	mod_2	32688	189873	Social distancing	solid
2020-05-15	mod_3	171523	1194271	No intervention	solid
2020-05-15	mod_4	8057	38475	Lockdown with moderate release	solid
2020-05-16	mod_2	36954	219523	Social distancing	solid
2020-05-16	mod_3	215431	1531267	No intervention	solid
2020-05-16	mod_4	8316	39814	Lockdown with moderate release	solid
2020-05-17	mod_2	42006	257460	Social distancing	solid
2020-05-17	mod_3	270032	2053945	No intervention	solid
2020-05-17	mod_4	8611	41812	Lockdown with moderate release	solid
2020-05-18	mod_2	47664	308054	Social distancing	solid
2020-05-18	mod_3	336525	2598785	No intervention	solid
2020-05-18	mod_4	8913	43630	Lockdown with moderate release	solid
2020-05-19	mod_2	54285	358319	Social distancing	solid
2020-05-19	mod_3	416391	3320871	No intervention	solid
2020-05-19	mod_4	9243	43809	Lockdown with moderate release	solid
2020-05-20	mod_2	61981	426900	Social distancing	solid
2020-05-20	mod_3	511554	4214917	No intervention	solid
2020-05-20	mod_4	9686	47998	Lockdown with moderate release	solid
2020-05-21	mod_2	70908	510836	Social distancing	solid
2020-05-21	mod_3	622860	5394822	No intervention	solid
2020-05-21	mod_4	10118	51038	Lockdown with moderate release	solid
2020-05-22	mod_2	81223	619869	Social distancing	solid
2020-05-22	mod_3	751692	6699822	No intervention	solid
2020-05-22	mod_4	10544	55487	Lockdown with moderate release	solid
2020-05-23	mod_2	93291	718215	Social distancing	solid
2020-05-23	mod_3	898521	8364150	No intervention	solid
2020-05-23	mod_4	11012	59147	Lockdown with moderate release	solid
2020-05-24	mod_2	107405	838727	Social distancing	solid
2020-05-24	mod_3	1063712	10176646	No intervention	solid
2020-05-24	mod_4	11506	62869	Lockdown with moderate release	solid
2020-05-25	mod_2	123730	979090	Social distancing	solid
2020-05-25	mod_3	1247794	12177816	No intervention	solid
2020-05-25	mod_4	12118	71300	Lockdown with moderate release	solid
2020-05-26	mod_2	142574	1161359	Social distancing	solid
2020-05-26	mod_3	1450235	14401894	No intervention	solid
2020-05-26	mod_4	12782	74948	Lockdown with moderate release	solid
2020-05-27	mod_2	164419	1355293	Social distancing	solid
2020-05-27	mod_3	1671097	16574648	No intervention	solid
2020-05-27	mod_4	13541	77697	Lockdown with moderate release	solid
2020-05-28	mod_2	189295	1577957	Social distancing	solid
2020-05-28	mod_3	1908842	18498023	No intervention	solid
2020-05-28	mod_4	14417	87495	Lockdown with moderate release	solid
2020-05-29	mod_2	218182	1852130	Social distancing	solid
2020-05-29	mod_3	2162700	20285759	No intervention	solid
2020-05-29	mod_4	15481	96909	Lockdown with moderate release	solid
2020-05-30	mod_2	250608	2180669	Social distancing	solid
2020-05-30	mod_3	2431672	22451675	No intervention	solid
2020-05-30	mod_4	16663	107055	Lockdown with moderate release	solid
2020-05-31	mod_2	287511	2537281	Social distancing	solid
2020-05-31	mod_3	2714014	24840680	No intervention	solid
2020-05-31	mod_4	18037	116829	Lockdown with moderate release	solid
2020-06-01	mod_2	328572	2896168	Social distancing	solid
2020-06-01	mod_3	3008813	27020812	No intervention	solid
2020-06-01	mod_4	19699	128413	Lockdown with moderate release	solid
2020-06-02	mod_2	374480	3436956	Social distancing	solid
2020-06-02	mod_3	3314294	29216496	No intervention	solid
2020-06-02	mod_4	21626	149677	Lockdown with moderate release	solid
2020-06-03	mod_2	425127	3936514	Social distancing	solid
2020-06-03	mod_3	3630485	31082714	No intervention	solid
2020-06-03	mod_4	23956	172387	Lockdown with moderate release	solid
2020-06-04	mod_2	480723	4534112	Social distancing	solid
2020-06-04	mod_3	3955266	32624670	No intervention	solid
2020-06-04	mod_4	26591	191712	Lockdown with moderate release	solid
2020-06-05	mod_2	541378	5264846	Social distancing	solid
2020-06-05	mod_3	4289067	34200357	No intervention	solid
2020-06-05	mod_4	29667	222440	Lockdown with moderate release	solid
2020-06-06	mod_2	607451	5920047	Social distancing	solid
2020-06-06	mod_3	4629108	35353363	No intervention	solid
2020-06-06	mod_4	33404	250003	Lockdown with moderate release	solid
2020-06-07	mod_2	677936	6736076	Social distancing	solid
2020-06-07	mod_3	4975813	36760541	No intervention	solid
2020-06-07	mod_4	37724	282526	Lockdown with moderate release	solid
2020-06-08	mod_2	753954	7675693	Social distancing	solid
2020-06-08	mod_3	5327744	38080688	No intervention	solid
2020-06-08	mod_4	42719	314196	Lockdown with moderate release	solid
2020-06-09	mod_2	834569	8504353	Social distancing	solid
2020-06-09	mod_3	5684664	38747977	No intervention	solid
2020-06-09	mod_4	48575	374448	Lockdown with moderate release	solid
2020-06-10	mod_2	919827	9487179	Social distancing	solid
2020-06-10	mod_3	6045406	40066475	No intervention	solid
2020-06-10	mod_4	55527	415234	Lockdown with moderate release	solid
2020-06-11	mod_2	1009817	10680030	Social distancing	solid
2020-06-11	mod_3	6407889	40754684	No intervention	solid
2020-06-11	mod_4	63483	485506	Lockdown with moderate release	solid
2020-06-12	mod_2	1104581	11723320	Social distancing	solid
2020-06-12	mod_3	6771942	41603709	No intervention	solid
2020-06-12	mod_4	72884	546304	Lockdown with moderate release	solid
2020-06-13	mod_2	1203172	12993082	Social distancing	solid
2020-06-13	mod_3	7136863	41849897	No intervention	solid
2020-06-13	mod_4	83845	624694	Lockdown with moderate release	solid
