Dates	variable	value	upper_ci	color	type
2020-03-15	True	NA	NA	Observed	solid
2020-03-16	True	0	NA	Observed	solid
2020-03-17	True	2	NA	Observed	solid
2020-03-18	True	2	NA	Observed	solid
2020-03-19	True	3	NA	Observed	solid
2020-03-20	True	4	NA	Observed	solid
2020-03-21	True	4	NA	Observed	solid
2020-03-22	True	2	NA	Observed	solid
2020-03-23	True	2	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_2_up	499	NA	NA	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_3_up	499	NA	NA	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_4_up	499	NA	NA	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_5_up	499	NA	NA	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-23	mod_6_up	499	NA	NA	solid
2020-03-24	True	3	NA	Observed	solid
2020-03-25	True	3	NA	Observed	solid
2020-03-26	True	4	NA	Observed	solid
2020-03-27	True	7	NA	Observed	solid
2020-03-28	True	16	NA	Observed	solid
2020-03-29	True	7	NA	Observed	solid
2020-03-30	True	24	NA	Observed	solid
2020-03-31	True	8	NA	Observed	solid
2020-04-01	True	13	NA	Observed	solid
2020-04-02	True	11	NA	Observed	solid
2020-04-03	True	46	NA	Observed	solid
2020-04-04	True	60	NA	Observed	solid
2020-04-05	True	44	NA	Observed	solid
2020-04-06	True	27	NA	Observed	solid
2020-04-07	True	27	NA	Observed	solid
2020-04-08	True	29	NA	Observed	solid
2020-04-09	True	49	NA	Observed	solid
2020-04-10	True	23	NA	Observed	solid
2020-04-11	True	19	NA	Observed	solid
2020-04-12	True	31	NA	Observed	solid
2020-04-13	True	75	NA	Observed	solid
2020-04-14	True	102	NA	Observed	solid
2020-04-15	True	75	NA	Observed	solid
2020-04-16	True	70	NA	Observed	solid
2020-04-17	True	44	NA	Observed	solid
2020-04-18	True	126	NA	Observed	solid
2020-04-19	True	125	NA	Observed	solid
2020-04-20	True	84	NA	Observed	solid
2020-04-21	True	153	NA	Observed	solid
2020-04-22	True	112	NA	Observed	solid
2020-04-23	True	61	NA	Observed	solid
2020-04-24	True	111	NA	Observed	solid
2020-04-25	True	172	NA	Observed	solid
2020-04-26	mod_2	NA	NA	Soc. Dist. + Travel Ban	solid
2020-04-26	mod_3	NA	NA	No Intervention	solid
2020-04-26	mod_4	NA	NA	Moderate return	solid
2020-04-26	mod_5	NA	NA	Normal (pre-intervention)	solid
2020-04-26	mod_6	NA	NA	Cautious return	solid
2020-04-27	mod_2	269	746	Soc. Dist. + Travel Ban	solid
2020-04-27	mod_3	379	2225	No Intervention	solid
2020-04-27	mod_4	121	1263	Moderate return	solid
2020-04-27	mod_5	137	1233	Normal (pre-intervention)	solid
2020-04-27	mod_6	119	794	Cautious return	solid
2020-04-28	mod_2	262	1008	Soc. Dist. + Travel Ban	solid
2020-04-28	mod_3	454	2289	No Intervention	solid
2020-04-28	mod_4	128	905	Moderate return	solid
2020-04-28	mod_5	113	1107	Normal (pre-intervention)	solid
2020-04-28	mod_6	106	1084	Cautious return	solid
2020-04-29	mod_2	317	2036	Soc. Dist. + Travel Ban	solid
2020-04-29	mod_3	540	2443	No Intervention	solid
2020-04-29	mod_4	122	467	Moderate return	solid
2020-04-29	mod_5	78	663	Normal (pre-intervention)	solid
2020-04-29	mod_6	135	1548	Cautious return	solid
2020-04-30	mod_2	347	896	Soc. Dist. + Travel Ban	solid
2020-04-30	mod_3	697	3437	No Intervention	solid
2020-04-30	mod_4	141	211	Moderate return	solid
2020-04-30	mod_5	126	574	Normal (pre-intervention)	solid
2020-04-30	mod_6	111	590	Cautious return	solid
2020-05-01	mod_2	384	3708	Soc. Dist. + Travel Ban	solid
2020-05-01	mod_3	890	5264	No Intervention	solid
2020-05-01	mod_4	142	1318	Moderate return	solid
2020-05-01	mod_5	117	415	Normal (pre-intervention)	solid
2020-05-01	mod_6	107	380	Cautious return	solid
2020-05-02	mod_2	455	1057	Soc. Dist. + Travel Ban	solid
2020-05-02	mod_3	1082	6599	No Intervention	solid
2020-05-02	mod_4	99	1101	Moderate return	solid
2020-05-02	mod_5	125	2149	Normal (pre-intervention)	solid
2020-05-02	mod_6	78	579	Cautious return	solid
2020-05-03	mod_2	491	3089	Soc. Dist. + Travel Ban	solid
2020-05-03	mod_3	1379	8901	No Intervention	solid
2020-05-03	mod_4	126	1407	Moderate return	solid
2020-05-03	mod_5	112	-518	Normal (pre-intervention)	solid
2020-05-03	mod_6	100	1147	Cautious return	solid
2020-05-04	mod_2	556	3205	Soc. Dist. + Travel Ban	solid
2020-05-04	mod_3	1807	15201	No Intervention	solid
2020-05-04	mod_4	101	1009	Moderate return	solid
2020-05-04	mod_5	80	1358	Normal (pre-intervention)	solid
2020-05-04	mod_6	125	1382	Cautious return	solid
2020-05-05	mod_2	658	5573	Soc. Dist. + Travel Ban	solid
2020-05-05	mod_3	2421	13343	No Intervention	solid
2020-05-05	mod_4	118	-38	Moderate return	solid
2020-05-05	mod_5	54	953	Normal (pre-intervention)	solid
2020-05-05	mod_6	98	19	Cautious return	solid
2020-05-06	mod_2	756	4218	Soc. Dist. + Travel Ban	solid
2020-05-06	mod_3	3210	22465	No Intervention	solid
2020-05-06	mod_4	128	2164	Moderate return	solid
2020-05-06	mod_5	75	206	Normal (pre-intervention)	solid
2020-05-06	mod_6	77	889	Cautious return	solid
2020-05-07	mod_2	916	7756	Soc. Dist. + Travel Ban	solid
2020-05-07	mod_3	4256	32345	No Intervention	solid
2020-05-07	mod_4	117	-1038	Moderate return	solid
2020-05-07	mod_5	73	1074	Normal (pre-intervention)	solid
2020-05-07	mod_6	93	119	Cautious return	solid
2020-05-08	mod_2	1023	6475	Soc. Dist. + Travel Ban	solid
2020-05-08	mod_3	5648	36534	No Intervention	solid
2020-05-08	mod_4	134	2578	Moderate return	solid
2020-05-08	mod_5	85	1210	Normal (pre-intervention)	solid
2020-05-08	mod_6	93	1942	Cautious return	solid
2020-05-09	mod_2	1226	8071	Soc. Dist. + Travel Ban	solid
2020-05-09	mod_3	7797	53522	No Intervention	solid
2020-05-09	mod_4	105	147	Moderate return	solid
2020-05-09	mod_5	83	463	Normal (pre-intervention)	solid
2020-05-09	mod_6	72	-16	Cautious return	solid
2020-05-10	mod_2	1406	10733	Soc. Dist. + Travel Ban	solid
2020-05-10	mod_3	10684	65061	No Intervention	solid
2020-05-10	mod_4	41	1915	Moderate return	solid
2020-05-10	mod_5	83	547	Normal (pre-intervention)	solid
