Dates	variable	value	upper_ci	color	type
2020-03-15	True	0	NA	Observed	solid
2020-03-16	True	0	NA	Observed	solid
2020-03-17	True	0	NA	Observed	solid
2020-03-18	True	0	NA	Observed	solid
2020-03-19	True	0	NA	Observed	solid
2020-03-20	True	0	NA	Observed	solid
2020-03-21	True	0	NA	Observed	solid
2020-03-22	True	0	NA	Observed	solid
2020-03-23	True	0	NA	Observed	solid
2020-03-24	True	0	NA	Observed	solid
2020-03-25	True	0	NA	Observed	solid
2020-03-26	True	0	NA	Observed	solid
2020-03-27	True	0	NA	Observed	solid
2020-03-28	True	0	NA	Observed	solid
2020-03-29	True	0	NA	Observed	solid
2020-03-30	True	0	NA	Observed	solid
2020-03-31	True	1	NA	Observed	solid
2020-04-01	True	16	NA	Observed	solid
2020-04-02	True	16	NA	Observed	solid
2020-04-03	True	23	NA	Observed	solid
2020-04-04	True	26	NA	Observed	solid
2020-04-05	True	26	NA	Observed	solid
2020-04-06	True	26	NA	Observed	solid
2020-04-07	True	28	NA	Observed	solid
2020-04-08	True	28	NA	Observed	solid
2020-04-09	True	29	NA	Observed	solid
2020-04-10	True	29	NA	Observed	solid
2020-04-11	True	29	NA	Observed	solid
2020-04-12	True	30	NA	Observed	solid
2020-04-13	True	32	NA	Observed	solid
2020-04-14	True	33	NA	Observed	solid
2020-04-15	True	33	NA	Observed	solid
2020-04-16	True	35	NA	Observed	solid
2020-04-17	True	35	NA	Observed	solid
2020-04-18	True	35	NA	Observed	solid
2020-04-19	True	35	NA	Observed	solid
2020-04-20	True	35	NA	Observed	solid
2020-04-21	True	35	NA	Observed	solid
2020-04-22	True	35	NA	Observed	solid
2020-04-23	True	36	NA	Observed	solid
2020-04-24	True	36	NA	Observed	solid
2020-04-25	True	36	NA	Observed	solid
2020-04-26	True	36	NA	Observed	solid
2020-04-27	True	36	NA	Observed	solid
2020-04-28	True	38	NA	Observed	solid
2020-04-29	True	38	NA	Observed	solid
2020-04-30	True	43	NA	Observed	solid
2020-05-01	True	43	NA	Observed	solid
2020-05-02	True	43	NA	Observed	solid
2020-05-03	True	43	NA	Observed	solid
2020-05-04	True	43	NA	Observed	solid
2020-05-05	True	45	NA	Observed	solid
2020-05-06	True	46	NA	Observed	solid
2020-05-07	True	54	NA	Observed	solid
2020-05-08	True	60	NA	Observed	solid
2020-05-09	True	62	NA	Observed	solid
2020-05-10	True	63	NA	Observed	solid
2020-05-11	True	65	NA	Observed	solid
2020-05-12	True	65	NA	Observed	solid
2020-05-13	True	80	NA	Observed	solid
2020-05-14	mod_2	80	533	Social distancing	solid
2020-05-14	mod_3	79	516	No intervention	solid
2020-05-14	mod_4	81	526	Lockdown with moderate release	solid
2020-05-15	mod_2	86	550	Social distancing	solid
2020-05-15	mod_3	87	518	No intervention	solid
2020-05-15	mod_4	85	583	Lockdown with moderate release	solid
2020-05-16	mod_2	91	590	Social distancing	solid
2020-05-16	mod_3	96	599	No intervention	solid
2020-05-16	mod_4	89	555	Lockdown with moderate release	solid
2020-05-17	mod_2	98	623	Social distancing	solid
2020-05-17	mod_3	106	694	No intervention	solid
2020-05-17	mod_4	93	641	Lockdown with moderate release	solid
2020-05-18	mod_2	105	700	Social distancing	solid
2020-05-18	mod_3	118	745	No intervention	solid
2020-05-18	mod_4	97	641	Lockdown with moderate release	solid
2020-05-19	mod_2	113	696	Social distancing	solid
2020-05-19	mod_3	132	795	No intervention	solid
2020-05-19	mod_4	101	675	Lockdown with moderate release	solid
2020-05-20	mod_2	122	829	Social distancing	solid
2020-05-20	mod_3	147	955	No intervention	solid
2020-05-20	mod_4	103	669	Lockdown with moderate release	solid
2020-05-21	mod_2	129	837	Social distancing	solid
2020-05-21	mod_3	165	988	No intervention	solid
2020-05-21	mod_4	107	699	Lockdown with moderate release	solid
2020-05-22	mod_2	139	890	Social distancing	solid
2020-05-22	mod_3	185	1140	No intervention	solid
2020-05-22	mod_4	111	727	Lockdown with moderate release	solid
2020-05-23	mod_2	147	931	Social distancing	solid
2020-05-23	mod_3	208	1361	No intervention	solid
2020-05-23	mod_4	115	804	Lockdown with moderate release	solid
2020-05-24	mod_2	157	1042	Social distancing	solid
2020-05-24	mod_3	237	1557	No intervention	solid
2020-05-24	mod_4	120	796	Lockdown with moderate release	solid
2020-05-25	mod_2	168	1139	Social distancing	solid
2020-05-25	mod_3	270	1695	No intervention	solid
2020-05-25	mod_4	125	830	Lockdown with moderate release	solid
2020-05-26	mod_2	181	1178	Social distancing	solid
2020-05-26	mod_3	313	2017	No intervention	solid
2020-05-26	mod_4	129	828	Lockdown with moderate release	solid
2020-05-27	mod_2	194	1329	Social distancing	solid
2020-05-27	mod_3	364	2496	No intervention	solid
2020-05-27	mod_4	133	874	Lockdown with moderate release	solid
2020-05-28	mod_2	209	1344	Social distancing	solid
2020-05-28	mod_3	425	2849	No intervention	solid
2020-05-28	mod_4	139	997	Lockdown with moderate release	solid
2020-05-29	mod_2	224	1539	Social distancing	solid
2020-05-29	mod_3	500	3459	No intervention	solid
2020-05-29	mod_4	146	989	Lockdown with moderate release	solid
2020-05-30	mod_2	240	1719	Social distancing	solid
2020-05-30	mod_3	597	3858	No intervention	solid
2020-05-30	mod_4	151	1052	Lockdown with moderate release	solid
2020-05-31	mod_2	257	1796	Social distancing	solid
2020-05-31	mod_3	722	5035	No intervention	solid
2020-05-31	mod_4	158	1120	Lockdown with moderate release	solid
2020-06-01	mod_2	277	1892	Social distancing	solid
2020-06-01	mod_3	882	5998	No intervention	solid
2020-06-01	mod_4	166	1206	Lockdown with moderate release	solid
2020-06-02	mod_2	299	2086	Social distancing	solid
2020-06-02	mod_3	1087	6948	No intervention	solid
2020-06-02	mod_4	175	1279	Lockdown with moderate release	solid
2020-06-03	mod_2	323	2356	Social distancing	solid
2020-06-03	mod_3	1354	8450	No intervention	solid
2020-06-03	mod_4	185	1413	Lockdown with moderate release	solid
2020-06-04	mod_2	353	2550	Social distancing	solid
2020-06-04	mod_3	1698	10233	No intervention	solid
2020-06-04	mod_4	197	1547	Lockdown with moderate release	solid
2020-06-05	mod_2	384	2791	Social distancing	solid
2020-06-05	mod_3	2138	12598	No intervention	solid
2020-06-05	mod_4	210	1758	Lockdown with moderate release	solid
2020-06-06	mod_2	420	3141	Social distancing	solid
2020-06-06	mod_3	2694	14662	No intervention	solid
2020-06-06	mod_4	225	1760	Lockdown with moderate release	solid
2020-06-07	mod_2	459	3324	Social distancing	solid
2020-06-07	mod_3	3380	19130	No intervention	solid
2020-06-07	mod_4	241	1840	Lockdown with moderate release	solid
2020-06-08	mod_2	504	3607	Social distancing	solid
2020-06-08	mod_3	4201	22972	No intervention	solid
2020-06-08	mod_4	259	2099	Lockdown with moderate release	solid
2020-06-09	mod_2	553	3960	Social distancing	solid
2020-06-09	mod_3	5151	27888	No intervention	solid
2020-06-09	mod_4	277	2178	Lockdown with moderate release	solid
2020-06-10	mod_2	610	4464	Social distancing	solid
2020-06-10	mod_3	6229	32298	No intervention	solid
2020-06-10	mod_4	298	2223	Lockdown with moderate release	solid
2020-06-11	mod_2	677	4697	Social distancing	solid
2020-06-11	mod_3	7451	38667	No intervention	solid
2020-06-11	mod_4	322	2482	Lockdown with moderate release	solid
2020-06-12	mod_2	754	5249	Social distancing	solid
2020-06-12	mod_3	8815	44587	No intervention	solid
2020-06-12	mod_4	348	2813	Lockdown with moderate release	solid
2020-06-13	mod_2	840	6057	Social distancing	solid
2020-06-13	mod_3	10336	52779	No intervention	solid
2020-06-13	mod_4	379	2842	Lockdown with moderate release	solid
2020-06-14	mod_2	942	6510	Social distancing	solid
2020-06-14	mod_3	12024	65747	No intervention	solid
2020-06-14	mod_4	414	3159	Lockdown with moderate release	solid
2020-06-15	mod_2	1057	7141	Social distancing	solid
2020-06-15	mod_3	13895	80113	No intervention	solid
2020-06-15	mod_4	456	3342	Lockdown with moderate release	solid
2020-06-16	mod_2	1183	7854	Social distancing	solid
2020-06-16	mod_3	15944	93991	No intervention	solid
2020-06-16	mod_4	505	3656	Lockdown with moderate release	solid
2020-06-17	mod_2	1327	8386	Social distancing	solid
2020-06-17	mod_3	18168	114345	No intervention	solid
2020-06-17	mod_4	557	3883	Lockdown with moderate release	solid
2020-06-18	mod_2	1493	9756	Social distancing	solid
2020-06-18	mod_3	20560	134177	No intervention	solid
2020-06-18	mod_4	617	4248	Lockdown with moderate release	solid
2020-06-19	mod_2	1683	11272	Social distancing	solid
2020-06-19	mod_3	23111	167083	No intervention	solid
2020-06-19	mod_4	689	4656	Lockdown with moderate release	solid
2020-06-20	mod_2	1890	12206	Social distancing	solid
2020-06-20	mod_3	25806	198016	No intervention	solid
2020-06-20	mod_4	777	5082	Lockdown with moderate release	solid
2020-06-21	mod_2	2121	13446	Social distancing	solid
2020-06-21	mod_3	28649	235419	No intervention	solid
2020-06-21	mod_4	882	5474	Lockdown with moderate release	solid
2020-06-22	mod_2	2374	15918	Social distancing	solid
2020-06-22	mod_3	31659	266420	No intervention	solid
2020-06-22	mod_4	1003	6389	Lockdown with moderate release	solid
2020-06-23	mod_2	2649	16922	Social distancing	solid
2020-06-23	mod_3	34814	303069	No intervention	solid
2020-06-23	mod_4	1138	6687	Lockdown with moderate release	solid
2020-06-24	mod_2	2953	18218	Social distancing	solid
2020-06-24	mod_3	38155	357544	No intervention	solid
2020-06-24	mod_4	1296	7505	Lockdown with moderate release	solid
2020-06-25	mod_2	3291	19937	Social distancing	solid
2020-06-25	mod_3	41644	408660	No intervention	solid
2020-06-25	mod_4	1470	7973	Lockdown with moderate release	solid
2020-06-26	mod_2	3657	22256	Social distancing	solid
2020-06-26	mod_3	45308	458355	No intervention	solid
2020-06-26	mod_4	1670	8691	Lockdown with moderate release	solid
2020-06-27	mod_2	4065	25090	Social distancing	solid
2020-06-27	mod_3	49145	491852	No intervention	solid
2020-06-27	mod_4	1892	9752	Lockdown with moderate release	solid
2020-06-28	mod_2	4503	28391	Social distancing	solid
2020-06-28	mod_3	53172	563240	No intervention	solid
2020-06-28	mod_4	2128	10351	Lockdown with moderate release	solid
2020-06-29	mod_2	4977	31034	Social distancing	solid
2020-06-29	mod_3	57388	620091	No intervention	solid
2020-06-29	mod_4	2392	11388	Lockdown with moderate release	solid
