Dates	variable	value	upper_ci	color	type
2020-03-15	True	NA	NA	Observed	solid
2020-03-16	True	6	NA	Observed	solid
2020-03-17	True	3	NA	Observed	solid
2020-03-18	True	3	NA	Observed	solid
2020-03-19	True	4	NA	Observed	solid
2020-03-20	True	4	NA	Observed	solid
2020-03-21	True	12	NA	Observed	solid
2020-03-22	True	10	NA	Observed	solid
2020-03-23	True	23	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_2_up	499	NA	NA	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_3_up	499	NA	NA	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_4_up	499	NA	NA	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_5_up	499	NA	NA	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-23	mod_6_up	499	NA	NA	solid
2020-03-24	True	10	NA	Observed	solid
2020-03-25	True	15	NA	Observed	solid
2020-03-26	True	3	NA	Observed	solid
2020-03-27	True	31	NA	Observed	solid
2020-03-28	True	30	NA	Observed	solid
2020-03-29	True	17	NA	Observed	solid
2020-03-30	True	17	NA	Observed	solid
2020-03-31	True	82	NA	Observed	solid
2020-04-01	True	33	NA	Observed	solid
2020-04-02	True	88	NA	Observed	solid
2020-04-03	True	64	NA	Observed	solid
2020-04-04	True	148	NA	Observed	solid
2020-04-05	True	112	NA	Observed	solid
2020-04-06	True	121	NA	Observed	solid
2020-04-07	True	150	NA	Observed	solid
2020-04-08	True	117	NA	Observed	solid
2020-04-09	True	229	NA	Observed	solid
2020-04-10	True	210	NA	Observed	solid
2020-04-11	True	187	NA	Observed	solid
2020-04-12	True	221	NA	Observed	solid
2020-04-13	True	352	NA	Observed	solid
2020-04-14	True	346	NA	Observed	solid
2020-04-15	True	236	NA	Observed	solid
2020-04-16	True	285	NA	Observed	solid
2020-04-17	True	120	NA	Observed	solid
2020-04-18	True	327	NA	Observed	solid
2020-04-19	True	552	NA	Observed	solid
2020-04-20	True	466	NA	Observed	solid
2020-04-21	True	552	NA	Observed	solid
2020-04-22	True	431	NA	Observed	solid
2020-04-23	True	778	NA	Observed	solid
2020-04-24	True	390	NA	Observed	solid
2020-04-25	True	811	NA	Observed	solid
2020-04-26	True	440	NA	Observed	solid
2020-04-27	True	522	NA	Observed	solid
2020-04-28	True	728	NA	Observed	solid
2020-04-29	True	597	NA	Observed	solid
2020-04-30	True	583	NA	Observed	solid
2020-05-01	True	1008	NA	Observed	solid
2020-05-02	True	790	NA	Observed	solid
2020-05-03	True	678	NA	Observed	solid
2020-05-04	True	1567	NA	Observed	solid
2020-05-05	True	984	NA	Observed	solid
2020-05-06	True	1233	NA	Observed	solid
2020-05-07	True	1216	NA	Observed	solid
2020-05-08	True	1089	NA	Observed	solid
2020-05-09	True	1165	NA	Observed	solid
2020-05-10	True	1943	NA	Observed	solid
2020-05-11	True	1230	NA	Observed	solid
2020-05-12	True	1026	NA	Observed	solid
2020-05-13	True	1495	NA	Observed	solid
2020-05-14	True	1602	NA	Observed	solid
2020-05-15	True	1576	NA	Observed	solid
2020-05-16	True	1606	NA	Observed	solid
2020-05-17	True	2347	NA	Observed	solid
2020-05-18	mod_2	NA	NA	Soc. Dist. + Travel Ban	solid
2020-05-18	mod_3	NA	NA	No Intervention	solid
2020-05-18	mod_4	NA	NA	Moderate return	solid
2020-05-18	mod_5	NA	NA	Normal (pre-intervention)	solid
2020-05-18	mod_6	NA	NA	Cautious return	solid
2020-05-19	mod_2	635	2085	Soc. Dist. + Travel Ban	solid
2020-05-19	mod_3	785	2430	No Intervention	solid
2020-05-19	mod_4	405	1774	Moderate return	solid
2020-05-19	mod_5	490	1933	Normal (pre-intervention)	solid
2020-05-19	mod_6	360	1687	Cautious return	solid
2020-05-20	mod_2	662	2077	Soc. Dist. + Travel Ban	solid
2020-05-20	mod_3	833	2561	No Intervention	solid
2020-05-20	mod_4	422	1709	Moderate return	solid
2020-05-20	mod_5	513	1858	Normal (pre-intervention)	solid
2020-05-20	mod_6	370	1587	Cautious return	solid
2020-05-21	mod_2	686	2168	Soc. Dist. + Travel Ban	solid
2020-05-21	mod_3	896	2694	No Intervention	solid
2020-05-21	mod_4	436	1735	Moderate return	solid
2020-05-21	mod_5	545	1989	Normal (pre-intervention)	solid
2020-05-21	mod_6	377	1638	Cautious return	solid
2020-05-22	mod_2	712	2254	Soc. Dist. + Travel Ban	solid
2020-05-22	mod_3	958	3000	No Intervention	solid
2020-05-22	mod_4	453	1756	Moderate return	solid
2020-05-22	mod_5	586	2053	Normal (pre-intervention)	solid
2020-05-22	mod_6	380	1577	Cautious return	solid
2020-05-23	mod_2	737	2352	Soc. Dist. + Travel Ban	solid
2020-05-23	mod_3	1027	3231	No Intervention	solid
2020-05-23	mod_4	477	1782	Moderate return	solid
2020-05-23	mod_5	631	2206	Normal (pre-intervention)	solid
2020-05-23	mod_6	390	1546	Cautious return	solid
2020-05-24	mod_2	771	2444	Soc. Dist. + Travel Ban	solid
2020-05-24	mod_3	1090	3559	No Intervention	solid
2020-05-24	mod_4	495	1785	Moderate return	solid
2020-05-24	mod_5	676	2243	Normal (pre-intervention)	solid
2020-05-24	mod_6	398	1679	Cautious return	solid
2020-05-25	mod_2	806	2644	Soc. Dist. + Travel Ban	solid
2020-05-25	mod_3	1170	3980	No Intervention	solid
2020-05-25	mod_4	524	1972	Moderate return	solid
2020-05-25	mod_5	726	2509	Normal (pre-intervention)	solid
2020-05-25	mod_6	410	1654	Cautious return	solid
2020-05-26	mod_2	839	2712	Soc. Dist. + Travel Ban	solid
2020-05-26	mod_3	1260	4268	No Intervention	solid
2020-05-26	mod_4	541	1943	Moderate return	solid
2020-05-26	mod_5	790	2724	Normal (pre-intervention)	solid
