Dates	variable	value	upper_ci	color	type
2020-03-15	True	NA	NA	Observed	solid
2020-03-16	True	0	NA	Observed	solid
2020-03-17	True	0	NA	Observed	solid
2020-03-18	True	3	NA	Observed	solid
2020-03-19	True	2	NA	Observed	solid
2020-03-20	True	8	NA	Observed	solid
2020-03-21	True	7	NA	Observed	solid
2020-03-22	True	4	NA	Observed	solid
2020-03-23	True	4	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_2_up	499	NA	NA	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_3_up	499	NA	NA	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_4_up	499	NA	NA	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_5_up	499	NA	NA	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-23	mod_6_up	499	NA	NA	solid
2020-03-24	True	0	NA	Observed	solid
2020-03-25	True	6	NA	Observed	solid
2020-03-26	True	2	NA	Observed	solid
2020-03-27	True	10	NA	Observed	solid
2020-03-28	True	4	NA	Observed	solid
2020-03-29	True	5	NA	Observed	solid
2020-03-30	True	20	NA	Observed	solid
2020-03-31	True	14	NA	Observed	solid
2020-04-01	True	27	NA	Observed	solid
2020-04-02	True	13	NA	Observed	solid
2020-04-03	True	46	NA	Observed	solid
2020-04-04	True	27	NA	Observed	solid
2020-04-05	True	60	NA	Observed	solid
2020-04-06	True	35	NA	Observed	solid
2020-04-07	True	42	NA	Observed	solid
2020-04-08	True	40	NA	Observed	solid
2020-04-09	True	80	NA	Observed	solid
2020-04-10	True	98	NA	Observed	solid
2020-04-11	True	139	NA	Observed	solid
2020-04-12	True	104	NA	Observed	solid
2020-04-13	True	93	NA	Observed	solid
2020-04-14	True	108	NA	Observed	solid
2020-04-15	True	71	NA	Observed	solid
2020-04-16	True	55	NA	Observed	solid
2020-04-17	True	98	NA	Observed	solid
2020-04-18	True	122	NA	Observed	solid
2020-04-19	True	127	NA	Observed	solid
2020-04-20	True	98	NA	Observed	solid
2020-04-21	True	159	NA	Observed	solid
2020-04-22	True	153	NA	Observed	solid
2020-04-23	True	76	NA	Observed	solid
2020-04-24	True	70	NA	Observed	solid
2020-04-25	True	49	NA	Observed	solid
2020-04-26	True	102	NA	Observed	solid
2020-04-27	True	77	NA	Observed	solid
2020-04-28	True	102	NA	Observed	solid
2020-04-29	True	76	NA	Observed	solid
2020-04-30	True	144	NA	Observed	solid
2020-05-01	True	82	NA	Observed	solid
2020-05-02	True	106	NA	Observed	solid
2020-05-03	True	114	NA	Observed	solid
2020-05-04	True	175	NA	Observed	solid
2020-05-05	True	97	NA	Observed	solid
2020-05-06	True	159	NA	Observed	solid
2020-05-07	True	110	NA	Observed	solid
2020-05-08	True	152	NA	Observed	solid
2020-05-09	True	129	NA	Observed	solid
2020-05-10	True	106	NA	Observed	solid
2020-05-11	True	174	NA	Observed	solid
2020-05-12	True	138	NA	Observed	solid
2020-05-13	True	202	NA	Observed	solid
2020-05-14	True	206	NA	Observed	solid
2020-05-15	True	213	NA	Observed	solid
2020-05-16	True	213	NA	Observed	solid
2020-05-17	True	242	NA	Observed	solid
2020-05-18	True	305	NA	Observed	solid
2020-05-19	mod_2	NA	NA	Soc. Dist. + Travel Ban	solid
2020-05-19	mod_3	NA	NA	No Intervention	solid
2020-05-19	mod_4	NA	NA	Moderate return	solid
2020-05-19	mod_5	NA	NA	Normal (pre-intervention)	solid
2020-05-19	mod_6	NA	NA	Cautious return	solid
2020-05-20	mod_2	148	831	Soc. Dist. + Travel Ban	solid
2020-05-20	mod_3	200	947	No Intervention	solid
2020-05-20	mod_4	106	724	Moderate return	solid
2020-05-20	mod_5	127	758	Normal (pre-intervention)	solid
2020-05-20	mod_6	91	675	Cautious return	solid
2020-05-21	mod_2	151	808	Soc. Dist. + Travel Ban	solid
2020-05-21	mod_3	219	1011	No Intervention	solid
2020-05-21	mod_4	107	676	Moderate return	solid
2020-05-21	mod_5	136	791	Normal (pre-intervention)	solid
2020-05-21	mod_6	92	635	Cautious return	solid
2020-05-22	mod_2	158	810	Soc. Dist. + Travel Ban	solid
2020-05-22	mod_3	240	1090	No Intervention	solid
2020-05-22	mod_4	112	696	Moderate return	solid
2020-05-22	mod_5	144	795	Normal (pre-intervention)	solid
2020-05-22	mod_6	92	630	Cautious return	solid
2020-05-23	mod_2	166	899	Soc. Dist. + Travel Ban	solid
2020-05-23	mod_3	265	1196	No Intervention	solid
2020-05-23	mod_4	113	691	Moderate return	solid
2020-05-23	mod_5	156	808	Normal (pre-intervention)	solid
2020-05-23	mod_6	92	647	Cautious return	solid
2020-05-24	mod_2	169	856	Soc. Dist. + Travel Ban	solid
2020-05-24	mod_3	294	1346	No Intervention	solid
2020-05-24	mod_4	120	719	Moderate return	solid
2020-05-24	mod_5	165	872	Normal (pre-intervention)	solid
2020-05-24	mod_6	93	642	Cautious return	solid
2020-05-25	mod_2	179	964	Soc. Dist. + Travel Ban	solid
2020-05-25	mod_3	326	1562	No Intervention	solid
2020-05-25	mod_4	124	713	Moderate return	solid
2020-05-25	mod_5	183	972	Normal (pre-intervention)	solid
2020-05-25	mod_6	91	575	Cautious return	solid
2020-05-26	mod_2	186	1030	Soc. Dist. + Travel Ban	solid
2020-05-26	mod_3	364	1831	No Intervention	solid
2020-05-26	mod_4	126	755	Moderate return	solid
2020-05-26	mod_5	201	1043	Normal (pre-intervention)	solid
2020-05-26	mod_6	96	639	Cautious return	solid
2020-05-27	mod_2	194	1003	Soc. Dist. + Travel Ban	solid
2020-05-27	mod_3	402	2020	No Intervention	solid
2020-05-27	mod_4	132	808	Moderate return	solid
2020-05-27	mod_5	222	1192	Normal (pre-intervention)	solid
2020-05-27	mod_6	95	577	Cautious return	solid
2020-05-28	mod_2	206	1175	Soc. Dist. + Travel Ban	solid
2020-05-28	mod_3	457	2443	No Intervention	solid
2020-05-28	mod_4	143	858	Moderate return	solid
2020-05-28	mod_5	246	1334	Normal (pre-intervention)	solid
2020-05-28	mod_6	96	736	Cautious return	solid
2020-05-29	mod_2	216	1229	Soc. Dist. + Travel Ban	solid
2020-05-29	mod_3	515	2808	No Intervention	solid
2020-05-29	mod_4	152	858	Moderate return	solid
2020-05-29	mod_5	282	1620	Normal (pre-intervention)	solid
2020-05-29	mod_6	103	686	Cautious return	solid
2020-05-30	mod_2	227	1308	Soc. Dist. + Travel Ban	solid
2020-05-30	mod_3	582	3400	No Intervention	solid
2020-05-30	mod_4	160	1024	Moderate return	solid
