Dates	variable	value	upper_ci	color	type
2020-04-04	True	272	NA	Observed	solid
2020-04-05	True	334	NA	Observed	solid
2020-04-06	True	364	NA	Observed	solid
2020-04-07	True	404	NA	Observed	solid
2020-04-08	True	453	NA	Observed	solid
2020-04-09	True	471	NA	Observed	solid
2020-04-10	True	487	NA	Observed	solid
2020-04-11	True	503	NA	Observed	solid
2020-04-12	True	531	NA	Observed	solid
2020-04-13	True	592	NA	Observed	solid
2020-04-14	True	644	NA	Observed	solid
2020-04-15	True	650	NA	Observed	solid
2020-04-16	True	700	NA	Observed	solid
2020-04-17	True	766	NA	Observed	solid
2020-04-18	True	809	NA	Observed	solid
2020-04-19	True	858	NA	Observed	solid
2020-04-20	True	872	NA	Observed	solid
2020-04-21	True	928	NA	Observed	solid
2020-04-22	True	943	NA	Observed	solid
2020-04-23	True	970	NA	Observed	solid
2020-04-24	True	983	NA	Observed	solid
2020-04-25	True	990	NA	Observed	solid
2020-04-26	True	1001	NA	Observed	solid
2020-04-27	True	1003	NA	Observed	solid
2020-04-28	True	1009	NA	Observed	solid
2020-04-29	True	1016	NA	Observed	solid
2020-04-30	True	1038	NA	Observed	solid
2020-05-01	True	1044	NA	Observed	solid
2020-05-02	True	1061	NA	Observed	solid
2020-05-03	True	1082	NA	Observed	solid
2020-05-04	True	1085	NA	Observed	solid
2020-05-05	True	1096	NA	Observed	solid
2020-05-06	True	1107	NA	Observed	solid
2020-05-07	True	1122	NA	Observed	solid
2020-05-08	True	1132	NA	Observed	solid
2020-05-09	True	1163	NA	Observed	solid
2020-05-10	True	1196	NA	Observed	solid
2020-05-11	True	1275	NA	Observed	solid
2020-05-12	True	1326	NA	Observed	solid
2020-05-13	True	1367	NA	Observed	solid
2020-05-14	True	1414	NA	Observed	solid
2020-05-15	True	1454	NA	Observed	solid
2020-05-16	True	1509	NA	Observed	solid
2020-05-17	True	1551	NA	Observed	solid
2020-05-18	True	1592	NA	Observed	solid
2020-05-19	mod_2	1686	4757	Social distancing	solid
2020-05-19	mod_3	1689	4768	No intervention	solid
2020-05-19	mod_4	1688	4767	Lockdown with moderate release	solid
2020-05-20	mod_2	1770	5432	Social distancing	solid
2020-05-20	mod_3	1803	5510	No intervention	solid
2020-05-20	mod_4	1748	5358	Lockdown with moderate release	solid
2020-05-21	mod_2	1856	6126	Social distancing	solid
2020-05-21	mod_3	1930	6313	No intervention	solid
2020-05-21	mod_4	1809	5951	Lockdown with moderate release	solid
2020-05-22	mod_2	1948	6761	Social distancing	solid
2020-05-22	mod_3	2066	7155	No intervention	solid
2020-05-22	mod_4	1871	6495	Lockdown with moderate release	solid
2020-05-23	mod_2	2040	7428	Social distancing	solid
2020-05-23	mod_3	2216	8084	No intervention	solid
2020-05-23	mod_4	1936	7080	Lockdown with moderate release	solid
2020-05-24	mod_2	2137	8118	Social distancing	solid
2020-05-24	mod_3	2386	9077	No intervention	solid
2020-05-24	mod_4	2004	7631	Lockdown with moderate release	solid
2020-05-25	mod_2	2238	8825	Social distancing	solid
2020-05-25	mod_3	2571	10240	No intervention	solid
2020-05-25	mod_4	2073	8182	Lockdown with moderate release	solid
2020-05-26	mod_2	2341	9588	Social distancing	solid
2020-05-26	mod_3	2779	11525	No intervention	solid
2020-05-26	mod_4	2149	8774	Lockdown with moderate release	solid
2020-05-27	mod_2	2450	10334	Social distancing	solid
2020-05-27	mod_3	3009	13030	No intervention	solid
2020-05-27	mod_4	2226	9432	Lockdown with moderate release	solid
2020-05-28	mod_2	2566	11222	Social distancing	solid
2020-05-28	mod_3	3271	14648	No intervention	solid
2020-05-28	mod_4	2307	10114	Lockdown with moderate release	solid
2020-05-29	mod_2	2689	12115	Social distancing	solid
2020-05-29	mod_3	3565	16597	No intervention	solid
2020-05-29	mod_4	2393	10785	Lockdown with moderate release	solid
2020-05-30	mod_2	2817	13098	Social distancing	solid
2020-05-30	mod_3	3900	18821	No intervention	solid
2020-05-30	mod_4	2484	11522	Lockdown with moderate release	solid
2020-05-31	mod_2	2954	14001	Social distancing	solid
2020-05-31	mod_3	4279	21437	No intervention	solid
2020-05-31	mod_4	2583	12326	Lockdown with moderate release	solid
2020-06-01	mod_2	3096	15100	Social distancing	solid
2020-06-01	mod_3	4713	24443	No intervention	solid
2020-06-01	mod_4	2690	13188	Lockdown with moderate release	solid
2020-06-02	mod_2	3246	16286	Social distancing	solid
2020-06-02	mod_3	5215	28101	No intervention	solid
2020-06-02	mod_4	2802	14058	Lockdown with moderate release	solid
2020-06-03	mod_2	3406	17571	Social distancing	solid
2020-06-03	mod_3	5787	32120	No intervention	solid
2020-06-03	mod_4	2921	15011	Lockdown with moderate release	solid
2020-06-04	mod_2	3575	18857	Social distancing	solid
2020-06-04	mod_3	6449	37024	No intervention	solid
2020-06-04	mod_4	3046	16064	Lockdown with moderate release	solid
2020-06-05	mod_2	3759	20307	Social distancing	solid
2020-06-05	mod_3	7218	42637	No intervention	solid
2020-06-05	mod_4	3179	17086	Lockdown with moderate release	solid
2020-06-06	mod_2	3955	21914	Social distancing	solid
2020-06-06	mod_3	8120	49509	No intervention	solid
2020-06-06	mod_4	3321	18308	Lockdown with moderate release	solid
2020-06-07	mod_2	4166	23587	Social distancing	solid
2020-06-07	mod_3	9170	57322	No intervention	solid
2020-06-07	mod_4	3475	19544	Lockdown with moderate release	solid
2020-06-08	mod_2	4392	25490	Social distancing	solid
2020-06-08	mod_3	10412	66681	No intervention	solid
