Dates	variable	value	upper_ci	color	type
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-04-06	True	256	NA	Observed	solid
2020-04-07	True	290	NA	Observed	solid
2020-04-08	True	341	NA	Observed	solid
2020-04-09	True	411	NA	Observed	solid
2020-04-10	True	451	NA	Observed	solid
2020-04-11	True	529	NA	Observed	solid
2020-04-12	True	562	NA	Observed	solid
2020-04-13	True	614	NA	Observed	solid
2020-04-14	True	741	NA	Observed	solid
2020-04-15	True	938	NA	Observed	solid
2020-04-16	True	1164	NA	Observed	solid
2020-04-17	True	1310	NA	Observed	solid
2020-04-18	True	1402	NA	Observed	solid
2020-04-19	True	1407	NA	Observed	solid
2020-04-20	True	1485	NA	Observed	solid
2020-04-21	True	1552	NA	Observed	solid
2020-04-22	True	1587	NA	Observed	solid
2020-04-23	True	1687	NA	Observed	solid
2020-04-24	True	1846	NA	Observed	solid
2020-04-25	True	1945	NA	Observed	solid
2020-04-26	True	2090	NA	Observed	solid
2020-04-27	True	2165	NA	Observed	solid
2020-04-28	True	2387	NA	Observed	solid
2020-04-29	True	2560	NA	Observed	solid
2020-04-30	True	2625	NA	Observed	solid
2020-05-01	True	2715	NA	Observed	solid
2020-05-02	True	2788	NA	Observed	solid
2020-05-03	True	2837	NA	Observed	solid
2020-05-04	True	2942	NA	Observed	solid
2020-05-05	True	3049	NA	Observed	solid
2020-05-06	True	3138	NA	Observed	solid
2020-05-07	True	3252	NA	Observed	solid
2020-05-08	True	3341	NA	Observed	solid
2020-05-09	True	3457	NA	Observed	solid
2020-05-10	True	3614	NA	Observed	solid
2020-05-11	True	3785	NA	Observed	solid
2020-05-12	True	3986	NA	Observed	solid
2020-05-13	True	4173	NA	Observed	solid
2020-05-14	True	4426	NA	Observed	solid
2020-05-15	True	4595	NA	Observed	solid
2020-05-16	True	4790	NA	Observed	solid
2020-05-17	True	4977	NA	Observed	solid
2020-05-18	True	5236	NA	Observed	solid
2020-05-19	True	5465	NA	Observed	solid
2020-05-20	True	5735	NA	Observed	solid
2020-05-21	mod_2	6240	14800	Soc. Dist. + Travel Ban	solid
2020-05-21	mod_3	6246	14773	No Intervention	solid
2020-05-21	mod_4	6245	14752	Moderate return	solid
2020-05-21	mod_5	6241	14804	Normal (pre-intervention)	solid
2020-05-21	mod_6	6239	14787	Cautious return	solid
2020-05-22	mod_2	6637	16906	Soc. Dist. + Travel Ban	solid
2020-05-22	mod_3	6799	17191	No Intervention	solid
2020-05-22	mod_4	6549	16667	Moderate return	solid
2020-05-22	mod_5	6623	16835	Normal (pre-intervention)	solid
2020-05-22	mod_6	6505	16559	Cautious return	solid
2020-05-23	mod_2	7054	18952	Soc. Dist. + Travel Ban	solid
2020-05-23	mod_3	7401	19757	No Intervention	solid
2020-05-23	mod_4	6868	18494	Moderate return	solid
2020-05-23	mod_5	7036	18885	Normal (pre-intervention)	solid
2020-05-23	mod_6	6774	18339	Cautious return	solid
2020-05-24	mod_2	7482	21049	Soc. Dist. + Travel Ban	solid
2020-05-24	mod_3	8069	22630	No Intervention	solid
2020-05-24	mod_4	7200	20350	Moderate return	solid
2020-05-24	mod_5	7490	21071	Normal (pre-intervention)	solid
2020-05-24	mod_6	7040	19926	Cautious return	solid
2020-05-25	mod_2	7934	23272	Soc. Dist. + Travel Ban	solid
2020-05-25	mod_3	8798	25943	No Intervention	solid
2020-05-25	mod_4	7542	22218	Moderate return	solid
2020-05-25	mod_5	7979	23383	Normal (pre-intervention)	solid
2020-05-25	mod_6	7309	21480	Cautious return	solid
2020-05-26	mod_2	8410	25545	Soc. Dist. + Travel Ban	solid
2020-05-26	mod_3	9603	29424	No Intervention	solid
2020-05-26	mod_4	7900	24122	Moderate return	solid
2020-05-26	mod_5	8512	25944	Normal (pre-intervention)	solid
2020-05-26	mod_6	7586	23248	Cautious return	solid
2020-05-27	mod_2	8904	28093	Soc. Dist. + Travel Ban	solid
2020-05-27	mod_3	10492	33485	No Intervention	solid
2020-05-27	mod_4	8274	26151	Moderate return	solid
2020-05-27	mod_5	9100	28722	Normal (pre-intervention)	solid
2020-05-27	mod_6	7866	24890	Cautious return	solid
2020-05-28	mod_2	9418	30738	Soc. Dist. + Travel Ban	solid
2020-05-28	mod_3	11487	38097	No Intervention	solid
2020-05-28	mod_4	8670	28271	Moderate return	solid
2020-05-28	mod_5	9763	31856	Normal (pre-intervention)	solid
2020-05-28	mod_6	8154	26650	Cautious return	solid
2020-05-29	mod_2	9960	33418	Soc. Dist. + Travel Ban	solid
2020-05-29	mod_3	12596	43396	No Intervention	solid
2020-05-29	mod_4	9089	30505	Moderate return	solid
2020-05-29	mod_5	10491	35584	Normal (pre-intervention)	solid
2020-05-29	mod_6	8447	28307	Cautious return	solid
2020-05-30	mod_2	10530	36365	Soc. Dist. + Travel Ban	solid
2020-05-30	mod_3	13840	49989	No Intervention	solid
2020-05-30	mod_4	9533	32879	Moderate return	solid
2020-05-30	mod_5	11315	39622	Normal (pre-intervention)	solid
2020-05-30	mod_6	8748	30219	Cautious return	solid
2020-05-31	mod_2	11126	39560	Soc. Dist. + Travel Ban	solid
2020-05-31	mod_3	15248	57482	No Intervention	solid
2020-05-31	mod_4	10007	35510	Moderate return	solid
2020-05-31	mod_5	12265	44560	Normal (pre-intervention)	solid
2020-05-31	mod_6	9054	31975	Cautious return	solid
2020-06-01	mod_2	11763	42952	Soc. Dist. + Travel Ban	solid
2020-06-01	mod_3	16827	65886	No Intervention	solid
2020-06-01	mod_4	10524	38420	Moderate return	solid
2020-06-01	mod_5	13354	50372	Normal (pre-intervention)	solid
2020-06-01	mod_6	9376	33807	Cautious return	solid
2020-06-02	mod_2	12435	46719	Soc. Dist. + Travel Ban	solid
2020-06-02	mod_3	18611	76163	No Intervention	solid
2020-06-02	mod_4	11064	41440	Moderate return	solid
2020-06-02	mod_5	14571	57178	Normal (pre-intervention)	solid
2020-06-02	mod_6	9699	35928	Cautious return	solid
2020-06-03	mod_2	13144	50702	Soc. Dist. + Travel Ban	solid
2020-06-03	mod_3	20626	87990	No Intervention	solid
2020-06-03	mod_4	11639	44805	Moderate return	solid
2020-06-03	mod_5	15956	64999	Normal (pre-intervention)	solid
2020-06-03	mod_6	10025	37862	Cautious return	solid
2020-06-04	mod_2	13902	55199	Soc. Dist. + Travel Ban	solid
2020-06-04	mod_3	22933	102138	No Intervention	solid
2020-06-04	mod_4	12246	48434	Moderate return	solid
2020-06-04	mod_5	17510	74278	Normal (pre-intervention)	solid
2020-06-04	mod_6	10359	40070	Cautious return	solid
2020-06-05	mod_2	14707	59886	Soc. Dist. + Travel Ban	solid
2020-06-05	mod_3	25552	118628	No Intervention	solid
2020-06-05	mod_4	12882	52319	Moderate return	solid
2020-06-05	mod_5	19277	84702	Normal (pre-intervention)	solid
2020-06-05	mod_6	10703	42104	Cautious return	solid
2020-06-06	mod_2	15559	65143	Soc. Dist. + Travel Ban	solid
2020-06-06	mod_3	28547	137731	No Intervention	solid
2020-06-06	mod_4	13553	56346	Moderate return	solid
2020-06-06	mod_5	21295	97738	Normal (pre-intervention)	solid
2020-06-06	mod_6	11057	44429	Cautious return	solid
2020-06-07	mod_2	16463	70647	Soc. Dist. + Travel Ban	solid
2020-06-07	mod_3	31991	161229	No Intervention	solid
2020-06-07	mod_4	14281	61045	Moderate return	solid
2020-06-07	mod_5	23600	112381	Normal (pre-intervention)	solid
2020-06-07	mod_6	11419	46817	Cautious return	solid
2020-06-08	mod_2	17429	76918	Soc. Dist. + Travel Ban	solid
2020-06-08	mod_3	35966	187589	No Intervention	solid
2020-06-08	mod_4	15062	65983	Moderate return	solid
2020-06-08	mod_5	26234	130044	Normal (pre-intervention)	solid
2020-06-08	mod_6	11799	49194	Cautious return	solid
