Dates	variable	value	upper_ci	color	type
2020-04-06	True	40	NA	Observed	solid
2020-04-07	True	42	NA	Observed	solid
2020-04-08	True	42	NA	Observed	solid
2020-04-09	True	48	NA	Observed	solid
2020-04-10	True	50	NA	Observed	solid
2020-04-11	True	54	NA	Observed	solid
2020-04-12	True	54	NA	Observed	solid
2020-04-13	True	55	NA	Observed	solid
2020-04-14	True	60	NA	Observed	solid
2020-04-15	True	60	NA	Observed	solid
2020-04-16	True	60	NA	Observed	solid
2020-04-17	True	60	NA	Observed	solid
2020-04-18	True	61	NA	Observed	solid
2020-04-19	True	61	NA	Observed	solid
2020-04-20	True	74	NA	Observed	solid
2020-04-21	True	79	NA	Observed	solid
2020-04-22	True	83	NA	Observed	solid
2020-04-23	True	89	NA	Observed	solid
2020-04-24	True	94	NA	Observed	solid
2020-04-25	True	100	NA	Observed	solid
2020-04-26	True	103	NA	Observed	solid
2020-04-27	True	118	NA	Observed	solid
2020-04-28	True	118	NA	Observed	solid
2020-04-29	True	125	NA	Observed	solid
2020-04-30	True	143	NA	Observed	solid
2020-05-01	True	154	NA	Observed	solid
2020-05-02	True	160	NA	Observed	solid
2020-05-03	True	162	NA	Observed	solid
2020-05-04	True	169	NA	Observed	solid
2020-05-05	True	177	NA	Observed	solid
2020-05-06	True	205	NA	Observed	solid
2020-05-07	True	219	NA	Observed	solid
2020-05-08	True	270	NA	Observed	solid
2020-05-09	True	352	NA	Observed	solid
2020-05-10	True	377	NA	Observed	solid
2020-05-11	True	415	NA	Observed	solid
2020-05-12	True	437	NA	Observed	solid
2020-05-13	True	538	NA	Observed	solid
2020-05-14	True	672	NA	Observed	solid
2020-05-15	True	737	NA	Observed	solid
2020-05-16	True	737	NA	Observed	solid
2020-05-17	True	828	NA	Observed	solid
2020-05-18	True	876	NA	Observed	solid
2020-05-19	True	978	NA	Observed	solid
2020-05-20	True	1052	NA	Observed	solid
2020-05-21	mod_2	1253	4405	Social distancing	solid
2020-05-21	mod_3	1281	4378	No intervention	solid
2020-05-21	mod_4	1262	4222	Lockdown with moderate release	solid
2020-05-22	mod_2	1426	5020	Social distancing	solid
2020-05-22	mod_3	1517	5254	No intervention	solid
2020-05-22	mod_4	1397	4832	Lockdown with moderate release	solid
2020-05-23	mod_2	1616	6017	Social distancing	solid
2020-05-23	mod_3	1811	6550	No intervention	solid
2020-05-23	mod_4	1545	5921	Lockdown with moderate release	solid
2020-05-24	mod_2	1816	7144	Social distancing	solid
2020-05-24	mod_3	2181	7957	No intervention	solid
2020-05-24	mod_4	1680	6444	Lockdown with moderate release	solid
2020-05-25	mod_2	2039	7999	Social distancing	solid
2020-05-25	mod_3	2627	10230	No intervention	solid
2020-05-25	mod_4	1841	7336	Lockdown with moderate release	solid
2020-05-26	mod_2	2290	9097	Social distancing	solid
2020-05-26	mod_3	3150	12639	No intervention	solid
2020-05-26	mod_4	2010	8387	Lockdown with moderate release	solid
2020-05-27	mod_2	2570	10531	Social distancing	solid
2020-05-27	mod_3	3812	16553	No intervention	solid
2020-05-27	mod_4	2195	8945	Lockdown with moderate release	solid
