Dates	variable	value	upper_ci	color	type
2020-04-10	True	35	NA	Observed	solid
2020-04-11	True	35	NA	Observed	solid
2020-04-12	True	35	NA	Observed	solid
2020-04-13	True	35	NA	Observed	solid
2020-04-14	True	37	NA	Observed	solid
2020-04-15	True	37	NA	Observed	solid
2020-04-16	True	37	NA	Observed	solid
2020-04-17	True	40	NA	Observed	solid
2020-04-18	True	42	NA	Observed	solid
2020-04-19	True	44	NA	Observed	solid
2020-04-20	True	46	NA	Observed	solid
2020-04-21	True	46	NA	Observed	solid
2020-04-22	True	46	NA	Observed	solid
2020-04-23	True	47	NA	Observed	solid
2020-04-24	True	48	NA	Observed	solid
2020-04-25	True	48	NA	Observed	solid
2020-04-26	True	51	NA	Observed	solid
2020-04-27	True	51	NA	Observed	solid
2020-04-28	True	54	NA	Observed	solid
2020-04-29	True	55	NA	Observed	solid
2020-04-30	True	57	NA	Observed	solid
2020-05-01	True	57	NA	Observed	solid
2020-05-02	True	59	NA	Observed	solid
2020-05-03	True	60	NA	Observed	solid
2020-05-04	True	60	NA	Observed	solid
2020-05-05	True	61	NA	Observed	solid
2020-05-06	True	61	NA	Observed	solid
2020-05-07	True	61	NA	Observed	solid
2020-05-08	True	63	NA	Observed	solid
2020-05-09	True	67	NA	Observed	solid
2020-05-10	True	68	NA	Observed	solid
2020-05-11	True	68	NA	Observed	solid
2020-05-12	True	69	NA	Observed	solid
2020-05-13	True	72	NA	Observed	solid
2020-05-14	True	78	NA	Observed	solid
2020-05-15	True	82	NA	Observed	solid
2020-05-16	True	91	NA	Observed	solid
2020-05-17	True	92	NA	Observed	solid
2020-05-18	True	96	NA	Observed	solid
2020-05-19	True	111	NA	Observed	solid
2020-05-20	True	126	NA	Observed	solid
2020-05-21	True	145	NA	Observed	solid
2020-05-22	True	153	NA	Observed	solid
2020-05-23	True	244	NA	Observed	solid
2020-05-24	True	317	NA	Observed	solid
2020-05-25	mod_2	342	1104	Social distancing	solid
2020-05-25	mod_3	343	1104	No intervention	solid
2020-05-25	mod_4	342	1101	Lockdown with moderate release	solid
2020-05-26	mod_2	399	1347	Social distancing	solid
2020-05-26	mod_3	423	1417	No intervention	solid
2020-05-26	mod_4	390	1320	Lockdown with moderate release	solid
2020-05-27	mod_2	462	1631	Social distancing	solid
2020-05-27	mod_3	520	1816	No intervention	solid
2020-05-27	mod_4	442	1567	Lockdown with moderate release	solid
2020-05-28	mod_2	530	1941	Social distancing	solid
2020-05-28	mod_3	638	2350	No intervention	solid
2020-05-28	mod_4	500	1840	Lockdown with moderate release	solid
2020-05-29	mod_2	606	2320	Social distancing	solid
2020-05-29	mod_3	785	3058	No intervention	solid
2020-05-29	mod_4	565	2160	Lockdown with moderate release	solid
2020-05-30	mod_2	691	2747	Social distancing	solid
2020-05-30	mod_3	968	4003	No intervention	solid
2020-05-30	mod_4	636	2516	Lockdown with moderate release	solid
2020-05-31	mod_2	787	3257	Social distancing	solid
