Dates	variable	value	upper_ci	color	type
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-04-13	True	1510	NA	Observed	solid
2020-04-14	True	1561	NA	Observed	solid
2020-04-15	True	1578	NA	Observed	solid
2020-04-16	True	1640	NA	Observed	solid
2020-04-17	True	1707	NA	Observed	solid
2020-04-18	True	1893	NA	Observed	solid
2020-04-19	True	2003	NA	Observed	solid
2020-04-20	True	2081	NA	Observed	solid
2020-04-21	True	2156	NA	Observed	solid
2020-04-22	True	2248	NA	Observed	solid
2020-04-23	True	2376	NA	Observed	solid
2020-04-24	True	2514	NA	Observed	solid
2020-04-25	True	2625	NA	Observed	solid
2020-04-26	True	2918	NA	Observed	solid
2020-04-27	True	3108	NA	Observed	solid
2020-04-28	True	3314	NA	Observed	solid
2020-04-29	True	3439	NA	Observed	solid
2020-04-30	True	3515	NA	Observed	solid
2020-05-01	True	3738	NA	Observed	solid
2020-05-02	True	4122	NA	Observed	solid
2020-05-03	True	4549	NA	Observed	solid
2020-05-04	True	4898	NA	Observed	solid
2020-05-05	True	5104	NA	Observed	solid
2020-05-06	True	5532	NA	Observed	solid
2020-05-07	True	5980	NA	Observed	solid
2020-05-08	True	6318	NA	Observed	solid
2020-05-09	True	6542	NA	Observed	solid
2020-05-10	True	6923	NA	Observed	solid
2020-05-11	True	7233	NA	Observed	solid
2020-05-12	True	7639	NA	Observed	solid
2020-05-13	True	7998	NA	Observed	solid
2020-05-14	True	8470	NA	Observed	solid
2020-05-15	True	8895	NA	Observed	solid
2020-05-16	True	9333	NA	Observed	solid
2020-05-17	True	9755	NA	Observed	solid
2020-05-18	True	10054	NA	Observed	solid
2020-05-19	True	10554	NA	Observed	solid
2020-05-20	True	11088	NA	Observed	solid
2020-05-21	True	11659	NA	Observed	solid
2020-05-22	True	12319	NA	Observed	solid
2020-05-23	True	12910	NA	Observed	solid
2020-05-24	True	13418	NA	Observed	solid
2020-05-25	True	14053	NA	Observed	solid
2020-05-26	True	14465	NA	Observed	solid
2020-05-27	True	15257	NA	Observed	solid
2020-05-28	mod_2	15900	22234	Soc. Dist. + Travel Ban	solid
2020-05-28	mod_3	15900	22204	No Intervention	solid
2020-05-28	mod_4	15898	22200	Moderate return	solid
2020-05-28	mod_5	15903	22227	Normal (pre-intervention)	solid
2020-05-28	mod_6	15903	22217	Cautious return	solid
2020-05-29	mod_2	16433	23957	Soc. Dist. + Travel Ban	solid
2020-05-29	mod_3	16624	24244	No Intervention	solid
2020-05-29	mod_4	16395	23905	Moderate return	solid
2020-05-29	mod_5	16559	24167	Normal (pre-intervention)	solid
2020-05-29	mod_6	16303	23778	Cautious return	solid
2020-05-30	mod_2	16971	25615	Soc. Dist. + Travel Ban	solid
2020-05-30	mod_3	17367	26276	No Intervention	solid
2020-05-30	mod_4	16909	25507	Moderate return	solid
2020-05-30	mod_5	17263	26092	Normal (pre-intervention)	solid
2020-05-30	mod_6	16711	25219	Cautious return	solid
2020-05-31	mod_2	17524	27285	Soc. Dist. + Travel Ban	solid
2020-05-31	mod_3	18150	28359	No Intervention	solid
2020-05-31	mod_4	17444	27153	Moderate return	solid
2020-05-31	mod_5	18014	28062	Normal (pre-intervention)	solid
2020-05-31	mod_6	17135	26640	Cautious return	solid
2020-06-01	mod_2	18091	28964	Soc. Dist. + Travel Ban	solid
2020-06-01	mod_3	18968	30525	No Intervention	solid
2020-06-01	mod_4	18001	28797	Moderate return	solid
2020-06-01	mod_5	18824	30262	Normal (pre-intervention)	solid
2020-06-01	mod_6	17559	28066	Cautious return	solid
2020-06-02	mod_2	18664	30615	Soc. Dist. + Travel Ban	solid
2020-06-02	mod_3	19831	32785	No Intervention	solid
2020-06-02	mod_4	18573	30454	Moderate return	solid
2020-06-02	mod_5	19672	32481	Normal (pre-intervention)	solid
2020-06-02	mod_6	17990	29449	Cautious return	solid
2020-06-03	mod_2	19256	32326	Soc. Dist. + Travel Ban	solid
2020-06-03	mod_3	20728	35160	No Intervention	solid
2020-06-03	mod_4	19154	32183	Moderate return	solid
2020-06-03	mod_5	20554	34814	Normal (pre-intervention)	solid
2020-06-03	mod_6	18419	30855	Cautious return	solid
2020-06-04	mod_2	19854	34043	Soc. Dist. + Travel Ban	solid
2020-06-04	mod_3	21664	37605	No Intervention	solid
2020-06-04	mod_4	19743	33918	Moderate return	solid
2020-06-04	mod_5	21477	37243	Normal (pre-intervention)	solid
2020-06-04	mod_6	18851	32207	Cautious return	solid
2020-06-05	mod_2	20471	35900	Soc. Dist. + Travel Ban	solid
2020-06-05	mod_3	22652	40342	No Intervention	solid
2020-06-05	mod_4	20348	35680	Moderate return	solid
2020-06-05	mod_5	22446	39854	Normal (pre-intervention)	solid
2020-06-05	mod_6	19281	33539	Cautious return	solid
2020-06-06	mod_2	21095	37628	Soc. Dist. + Travel Ban	solid
2020-06-06	mod_3	23689	43133	No Intervention	solid
2020-06-06	mod_4	20968	37491	Moderate return	solid
2020-06-06	mod_5	23458	42642	Normal (pre-intervention)	solid
2020-06-06	mod_6	19713	34993	Cautious return	solid
2020-06-07	mod_2	21733	39540	Soc. Dist. + Travel Ban	solid
2020-06-07	mod_3	24768	46122	No Intervention	solid
2020-06-07	mod_4	21597	39272	Moderate return	solid
2020-06-07	mod_5	24514	45543	Normal (pre-intervention)	solid
2020-06-07	mod_6	20157	36369	Cautious return	solid
2020-06-08	mod_2	22385	41463	Soc. Dist. + Travel Ban	solid
2020-06-08	mod_3	25903	49476	No Intervention	solid
2020-06-08	mod_4	22240	41137	Moderate return	solid
2020-06-08	mod_5	25628	48655	Normal (pre-intervention)	solid
2020-06-08	mod_6	20602	37813	Cautious return	solid
2020-06-09	mod_2	23049	43380	Soc. Dist. + Travel Ban	solid
2020-06-09	mod_3	27090	52796	No Intervention	solid
2020-06-09	mod_4	22897	43099	Moderate return	solid
2020-06-09	mod_5	26799	52131	Normal (pre-intervention)	solid
2020-06-09	mod_6	21045	39193	Cautious return	solid
2020-06-10	mod_2	23726	45443	Soc. Dist. + Travel Ban	solid
2020-06-10	mod_3	28339	56458	No Intervention	solid
2020-06-10	mod_4	23574	45101	Moderate return	solid
2020-06-10	mod_5	28017	55531	Normal (pre-intervention)	solid
2020-06-10	mod_6	21493	40674	Cautious return	solid
2020-06-11	mod_2	24425	47419	Soc. Dist. + Travel Ban	solid
2020-06-11	mod_3	29646	60530	No Intervention	solid
2020-06-11	mod_4	24255	47168	Moderate return	solid
2020-06-11	mod_5	29295	59526	Normal (pre-intervention)	solid
2020-06-11	mod_6	21943	42082	Cautious return	solid
2020-06-12	mod_2	25132	49668	Soc. Dist. + Travel Ban	solid
2020-06-12	mod_3	31023	64715	No Intervention	solid
2020-06-12	mod_4	24954	49304	Moderate return	solid
2020-06-12	mod_5	30646	63651	Normal (pre-intervention)	solid
2020-06-12	mod_6	22399	43572	Cautious return	solid
2020-06-13	mod_2	25858	51788	Soc. Dist. + Travel Ban	solid
2020-06-13	mod_3	32468	69285	No Intervention	solid
2020-06-13	mod_4	25674	51581	Moderate return	solid
2020-06-13	mod_5	32059	68155	Normal (pre-intervention)	solid
2020-06-13	mod_6	22856	45005	Cautious return	solid
2020-06-14	mod_2	26601	54239	Soc. Dist. + Travel Ban	solid
2020-06-14	mod_3	33981	74155	No Intervention	solid
2020-06-14	mod_4	26411	53846	Moderate return	solid
2020-06-14	mod_5	33552	72977	Normal (pre-intervention)	solid
2020-06-14	mod_6	23316	46588	Cautious return	solid
2020-06-15	mod_2	27359	56672	Soc. Dist. + Travel Ban	solid
2020-06-15	mod_3	35579	79497	No Intervention	solid
2020-06-15	mod_4	27158	56223	Moderate return	solid
2020-06-15	mod_5	35121	78152	Normal (pre-intervention)	solid
2020-06-15	mod_6	23779	48106	Cautious return	solid
