Dates	variable	value	upper_ci	color	type
2020-04-13	True	247	NA	Observed	solid
2020-04-14	True	260	NA	Observed	solid
2020-04-15	True	279	NA	Observed	solid
2020-04-16	True	315	NA	Observed	solid
2020-04-17	True	359	NA	Observed	solid
2020-04-18	True	384	NA	Observed	solid
2020-04-19	True	390	NA	Observed	solid
2020-04-20	True	408	NA	Observed	solid
2020-04-21	True	418	NA	Observed	solid
2020-04-22	True	427	NA	Observed	solid
2020-04-23	True	445	NA	Observed	solid
2020-04-24	True	474	NA	Observed	solid
2020-04-25	True	500	NA	Observed	solid
2020-04-26	True	503	NA	Observed	solid
2020-04-27	True	512	NA	Observed	solid
2020-04-28	True	523	NA	Observed	solid
2020-04-29	True	535	NA	Observed	solid
2020-04-30	True	565	NA	Observed	solid
2020-05-01	True	589	NA	Observed	solid
2020-05-02	True	601	NA	Observed	solid
2020-05-03	True	614	NA	Observed	solid
2020-05-04	True	651	NA	Observed	solid
2020-05-05	True	673	NA	Observed	solid
2020-05-06	True	693	NA	Observed	solid
2020-05-07	True	705	NA	Observed	solid
2020-05-08	True	753	NA	Observed	solid
2020-05-09	True	794	NA	Observed	solid
2020-05-10	True	848	NA	Observed	solid
2020-05-11	True	862	NA	Observed	solid
2020-05-12	True	925	NA	Observed	solid
2020-05-13	True	959	NA	Observed	solid
2020-05-14	True	987	NA	Observed	solid
2020-05-15	True	1056	NA	Observed	solid
2020-05-16	True	1092	NA	Observed	solid
2020-05-17	True	1147	NA	Observed	solid
2020-05-18	True	1246	NA	Observed	solid
2020-05-19	True	1395	NA	Observed	solid
2020-05-20	True	1462	NA	Observed	solid
2020-05-21	True	1605	NA	Observed	solid
2020-05-22	True	1743	NA	Observed	solid
2020-05-23	True	1959	NA	Observed	solid
2020-05-24	True	2089	NA	Observed	solid
2020-05-25	True	2182	NA	Observed	solid
2020-05-26	True	2283	NA	Observed	solid
2020-05-27	True	2418	NA	Observed	solid
2020-05-28	mod_2	2852	8118	Social distancing	solid
2020-05-28	mod_3	2853	8115	No intervention	solid
2020-05-28	mod_4	2848	8118	Lockdown with moderate release	solid
2020-05-29	mod_2	3183	9674	Social distancing	solid
2020-05-29	mod_3	3303	9976	No intervention	solid
2020-05-29	mod_4	3150	9596	Lockdown with moderate release	solid
2020-05-30	mod_2	3531	11338	Social distancing	solid
2020-05-30	mod_3	3825	12187	No intervention	solid
2020-05-30	mod_4	3476	11149	Lockdown with moderate release	solid
2020-05-31	mod_2	3906	13104	Social distancing	solid
2020-05-31	mod_3	4425	14765	No intervention	solid
2020-05-31	mod_4	3828	12860	Lockdown with moderate release	solid
2020-06-01	mod_2	4305	15049	Social distancing	solid
2020-06-01	mod_3	5125	17888	No intervention	solid
2020-06-01	mod_4	4214	14717	Lockdown with moderate release	solid
2020-06-02	mod_2	4736	17167	Social distancing	solid
2020-06-02	mod_3	5935	21819	No intervention	solid
2020-06-02	mod_4	4625	16772	Lockdown with moderate release	solid
2020-06-03	mod_2	5197	19525	Social distancing	solid
2020-06-03	mod_3	6899	26743	No intervention	solid
2020-06-03	mod_4	5073	19038	Lockdown with moderate release	solid
2020-06-04	mod_2	5702	22140	Social distancing	solid
2020-06-04	mod_3	8030	32693	No intervention	solid
2020-06-04	mod_4	5553	21652	Lockdown with moderate release	solid
2020-06-05	mod_2	6244	25204	Social distancing	solid
2020-06-05	mod_3	9384	40515	No intervention	solid
2020-06-05	mod_4	6069	24560	Lockdown with moderate release	solid
2020-06-06	mod_2	6836	28613	Social distancing	solid
2020-06-06	mod_3	11005	50119	No intervention	solid
2020-06-06	mod_4	6638	27795	Lockdown with moderate release	solid
2020-06-07	mod_2	7488	32528	Social distancing	solid
2020-06-07	mod_3	12960	62302	No intervention	solid
2020-06-07	mod_4	7257	31402	Lockdown with moderate release	solid
2020-06-08	mod_2	8202	36953	Social distancing	solid
2020-06-08	mod_3	15332	77810	No intervention	solid
2020-06-08	mod_4	7930	35661	Lockdown with moderate release	solid
2020-06-09	mod_2	8986	41927	Social distancing	solid
2020-06-09	mod_3	18223	97171	No intervention	solid
2020-06-09	mod_4	8678	40440	Lockdown with moderate release	solid
2020-06-10	mod_2	9846	47550	Social distancing	solid
2020-06-10	mod_3	21781	121601	No intervention	solid
2020-06-10	mod_4	9496	45758	Lockdown with moderate release	solid
2020-06-11	mod_2	10804	53843	Social distancing	solid
2020-06-11	mod_3	26167	151870	No intervention	solid
2020-06-11	mod_4	10407	51786	Lockdown with moderate release	solid
2020-06-12	mod_2	11873	61038	Social distancing	solid
2020-06-12	mod_3	31622	190617	No intervention	solid
2020-06-12	mod_4	11416	58466	Lockdown with moderate release	solid
2020-06-13	mod_2	13052	69242	Social distancing	solid
2020-06-13	mod_3	38432	239595	No intervention	solid
2020-06-13	mod_4	12541	66367	Lockdown with moderate release	solid
2020-06-14	mod_2	14374	78733	Social distancing	solid
2020-06-14	mod_3	46942	300901	No intervention	solid
2020-06-14	mod_4	13792	75010	Lockdown with moderate release	solid
2020-06-15	mod_2	15856	89549	Social distancing	solid
2020-06-15	mod_3	57603	378499	No intervention	solid
2020-06-15	mod_4	15194	85069	Lockdown with moderate release	solid
2020-06-16	mod_2	17526	101821	Social distancing	solid
2020-06-16	mod_3	70983	478176	No intervention	solid
2020-06-16	mod_4	16770	96785	Lockdown with moderate release	solid
2020-06-17	mod_2	19409	115541	Social distancing	solid
2020-06-17	mod_3	87675	602154	No intervention	solid
2020-06-17	mod_4	18562	109949	Lockdown with moderate release	solid
2020-06-18	mod_2	21535	131157	Social distancing	solid
2020-06-18	mod_3	108390	755848	No intervention	solid
2020-06-18	mod_4	20583	124844	Lockdown with moderate release	solid
2020-06-19	mod_2	23956	148893	Social distancing	solid
2020-06-19	mod_3	133936	954694	No intervention	solid
2020-06-19	mod_4	22879	141698	Lockdown with moderate release	solid
2020-06-20	mod_2	26699	169706	Social distancing	solid
2020-06-20	mod_3	165181	1201937	No intervention	solid
2020-06-20	mod_4	25481	160789	Lockdown with moderate release	solid
2020-06-21	mod_2	29850	193118	Social distancing	solid
2020-06-21	mod_3	203005	1506601	No intervention	solid
2020-06-21	mod_4	28454	183686	Lockdown with moderate release	solid
2020-06-22	mod_2	33422	220165	Social distancing	solid
2020-06-22	mod_3	248310	1900568	No intervention	solid
2020-06-22	mod_4	31852	208568	Lockdown with moderate release	solid
2020-06-23	mod_2	37502	249814	Social distancing	solid
2020-06-23	mod_3	302007	2376458	No intervention	solid
2020-06-23	mod_4	35723	236996	Lockdown with moderate release	solid
2020-06-24	mod_2	42169	285373	Social distancing	solid
2020-06-24	mod_3	364936	2964466	No intervention	solid
2020-06-24	mod_4	40166	269099	Lockdown with moderate release	solid
2020-06-25	mod_2	47487	324234	Social distancing	solid
2020-06-25	mod_3	437892	3689614	No intervention	solid
2020-06-25	mod_4	45248	306590	Lockdown with moderate release	solid
2020-06-26	mod_2	53559	369906	Social distancing	solid
2020-06-26	mod_3	521615	4568044	No intervention	solid
2020-06-26	mod_4	51087	349410	Lockdown with moderate release	solid
2020-06-27	mod_2	60482	419852	Social distancing	solid
2020-06-27	mod_3	616725	5612534	No intervention	solid
2020-06-27	mod_4	57740	398548	Lockdown with moderate release	solid
2020-06-28	mod_2	68374	480160	Social distancing	solid
2020-06-28	mod_3	723752	6856402	No intervention	solid
