stat	value
thetaS_last_obs_p_mean	0.9994794
thetaI_last_obs_p_mean	0.0003383432
thetaR_last_obs_p_mean	0.0001822406
thetaS_last_obs_p_ci_low	0.9993895
thetaS_last_obs_p_ci_med	0.9994799
thetaS_last_obs_p_ci_up	0.9995628
thetaI_last_obs_p_ci_low	0.0002678403
thetaI_last_obs_p_ci_med	0.0003369458
thetaI_last_obs_p_ci_up	0.0004120155
thetaR_last_obs_p_ci_low	0.0001325619
thetaR_last_obs_p_ci_med	0.0001812238
thetaR_last_obs_p_ci_up	0.0002380096
R0_p_mean	2.062585
R0_p_ci_low	1.053092
R0_p_ci_med	1.969603
R0_p_ci_up	3.466152
gamma_p_mean	0.04959915
gamma_p_ci_low	0.02213972
gamma_p_ci_med	0.04882691
gamma_p_ci_up	0.08174077
beta_p_mean	0.09841806
beta_p_ci_low	0.04175801
beta_p_ci_med	0.09692896
beta_p_ci_up	0.1657325
incidence_mean	0.1292652
incidence_ci_low	0.0006889631
incidence_ci_median	0.02942065
incidence_ci_up	0.7417578
thetaI_tp1_mean	0.02057963
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.003630285
thetaI_tp1_ci_up	0.1640886
thetaR_tp1_mean	0.02966846
thetaR_tp1_ci_low	0.0001373964
thetaR_tp1_ci_med	0.0074534
thetaR_tp1_ci_up	0.2262998
Y_tp1_mean	0.0205898
Y_tp1_ci_low	0
Y_tp1_ci_med	0.003665511
Y_tp1_ci_up	0.1648019
R_tp1_mean	0.02966896
R_tp1_ci_low	0.0001313722
R_tp1_ci_med	0.007471119
R_tp1_ci_up	0.2271289
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.09078315
thetaR_max_ci_low	1.568475e-05
thetaR_max_ci_med	0.01931167
thetaR_max_ci_up	0.5877535
cumInf_mean	0.1281914
cumInf_ci_low	1.568475e-05
cumInf_ci_med	0.02879446
cumInf_ci_up	0.7387352
dthetaI_tp1_date	09/16/20
first_tp_mean	08/23/20
first_tp_ci_low	05/08/20
first_tp_ci_med	10/07/20
first_tp_ci_up	10/29/20
dthetaI_tp2_date	09/16/20
second_tp_mean	08/27/20
second_tp_ci_low	05/10/20
second_tp_ci_med	10/16/20
second_tp_ci_up	10/29/20
end_p_mean	10/19/20
end_p_ci_low	07/16/20
end_p_ci_med	10/29/20
end_p_ci_up	10/29/20
begin_str	04/13/2020
