Dates	variable	value	upper_ci	color	type
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_2_up	499	NA	NA	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_3_up	499	NA	NA	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_4_up	499	NA	NA	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_5_up	499	NA	NA	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-23	mod_6_up	499	NA	NA	solid
2020-04-17	True	NA	NA	Observed	solid
2020-04-18	True	9	NA	Observed	solid
2020-04-19	True	18	NA	Observed	solid
2020-04-20	True	1	NA	Observed	solid
2020-04-21	True	4	NA	Observed	solid
2020-04-22	True	9	NA	Observed	solid
2020-04-23	True	6	NA	Observed	solid
2020-04-24	True	5	NA	Observed	solid
2020-04-25	True	12	NA	Observed	solid
2020-04-26	True	9	NA	Observed	solid
2020-04-27	True	5	NA	Observed	solid
2020-04-28	True	7	NA	Observed	solid
2020-04-29	True	3	NA	Observed	solid
2020-04-30	True	28	NA	Observed	solid
2020-05-01	True	18	NA	Observed	solid
2020-05-02	True	19	NA	Observed	solid
2020-05-03	True	66	NA	Observed	solid
2020-05-04	True	75	NA	Observed	solid
2020-05-05	True	31	NA	Observed	solid
2020-05-06	True	46	NA	Observed	solid
2020-05-07	True	31	NA	Observed	solid
2020-05-08	True	22	NA	Observed	solid
2020-05-09	True	28	NA	Observed	solid
2020-05-10	True	28	NA	Observed	solid
2020-05-11	True	27	NA	Observed	solid
2020-05-12	True	50	NA	Observed	solid
2020-05-13	True	13	NA	Observed	solid
2020-05-14	True	25	NA	Observed	solid
2020-05-15	True	36	NA	Observed	solid
2020-05-16	True	33	NA	Observed	solid
2020-05-17	True	23	NA	Observed	solid
2020-05-18	True	18	NA	Observed	solid
2020-05-19	True	36	NA	Observed	solid
2020-05-20	True	29	NA	Observed	solid
2020-05-21	True	37	NA	Observed	solid
2020-05-22	True	37	NA	Observed	solid
2020-05-23	True	64	NA	Observed	solid
2020-05-24	True	53	NA	Observed	solid
2020-05-25	True	29	NA	Observed	solid
2020-05-26	True	92	NA	Observed	solid
2020-05-27	True	76	NA	Observed	solid
2020-05-28	True	123	NA	Observed	solid
2020-05-29	True	217	NA	Observed	solid
2020-05-30	True	202	NA	Observed	solid
2020-05-31	True	168	NA	Observed	solid
2020-06-01	mod_2	NA	NA	Soc. Dist. + Travel Ban	solid
2020-06-01	mod_3	NA	NA	No Intervention	solid
2020-06-01	mod_4	NA	NA	Moderate return	solid
2020-06-01	mod_5	NA	NA	Normal (pre-intervention)	solid
2020-06-01	mod_6	NA	NA	Cautious return	solid
2020-06-02	mod_2	215	942	Soc. Dist. + Travel Ban	solid
2020-06-02	mod_3	299	1129	No Intervention	solid
2020-06-02	mod_4	215	942	Moderate return	solid
2020-06-02	mod_5	299	1129	Normal (pre-intervention)	solid
2020-06-02	mod_6	169	819	Cautious return	solid
2020-06-03	mod_2	229	972	Soc. Dist. + Travel Ban	solid
2020-06-03	mod_3	341	1293	No Intervention	solid
2020-06-03	mod_4	229	972	Moderate return	solid
2020-06-03	mod_5	341	1293	Normal (pre-intervention)	solid
2020-06-03	mod_6	172	833	Cautious return	solid
2020-06-04	mod_2	245	1045	Soc. Dist. + Travel Ban	solid
