date	value	incidence	scenario	lower_ci	upper_ci
2020-04-17	223	NA	Observed	NA	NA
2020-04-18	232	9	Observed	NA	NA
2020-04-19	250	18	Observed	NA	NA
2020-04-20	251	1	Observed	NA	NA
2020-04-21	255	4	Observed	NA	NA
2020-04-22	264	9	Observed	NA	NA
2020-04-23	270	6	Observed	NA	NA
2020-04-24	275	5	Observed	NA	NA
2020-04-25	287	12	Observed	NA	NA
2020-04-26	296	9	Observed	NA	NA
2020-04-27	301	5	Observed	NA	NA
2020-04-28	308	7	Observed	NA	NA
2020-04-29	311	3	Observed	NA	NA
2020-04-30	339	28	Observed	NA	NA
2020-05-01	357	18	Observed	NA	NA
2020-05-02	376	19	Observed	NA	NA
2020-05-03	442	66	Observed	NA	NA
2020-05-04	517	75	Observed	NA	NA
2020-05-05	548	31	Observed	NA	NA
2020-05-06	594	46	Observed	NA	NA
2020-05-07	625	31	Observed	NA	NA
2020-05-08	647	22	Observed	NA	NA
2020-05-09	675	28	Observed	NA	NA
2020-05-10	703	28	Observed	NA	NA
2020-05-11	730	27	Observed	NA	NA
2020-05-12	780	50	Observed	NA	NA
2020-05-13	793	13	Observed	NA	NA
2020-05-14	818	25	Observed	NA	NA
2020-05-15	854	36	Observed	NA	NA
2020-05-16	887	33	Observed	NA	NA
2020-05-17	910	23	Observed	NA	NA
2020-05-18	928	18	Observed	NA	NA
2020-05-19	964	36	Observed	NA	NA
2020-05-20	993	29	Observed	NA	NA
2020-05-21	1030	37	Observed	NA	NA
2020-05-22	1067	37	Observed	NA	NA
2020-05-23	1131	64	Observed	NA	NA
2020-05-24	1184	53	Observed	NA	NA
2020-05-25	1213	29	Observed	NA	NA
2020-05-26	1305	92	Observed	NA	NA
2020-05-27	1381	76	Observed	NA	NA
2020-05-28	1504	123	Observed	NA	NA
2020-05-29	1721	217	Observed	NA	NA
2020-05-30	1923	202	Observed	NA	NA
2020-05-31	2091	168	Observed	NA	NA
2020-06-01	2319	NA	Soc. Dist. + Travel Ban	409	5496
2020-06-02	2526	207	Soc. Dist. + Travel Ban	293	6371
2020-06-03	2719	193	Soc. Dist. + Travel Ban	206	7223
2020-06-04	2945	226	Soc. Dist. + Travel Ban	187	8340
2020-06-05	3179	234	Soc. Dist. + Travel Ban	145	9244
2020-06-06	3422	243	Soc. Dist. + Travel Ban	96	10433
2020-06-07	3675	253	Soc. Dist. + Travel Ban	81	11546
2020-06-08	3939	264	Soc. Dist. + Travel Ban	79	13423
2020-06-09	4245	306	Soc. Dist. + Travel Ban	36	14622
2020-06-10	4538	293	Soc. Dist. + Travel Ban	37	16769
2020-06-11	4848	310	Soc. Dist. + Travel Ban	18	17975
2020-06-12	5180	332	Soc. Dist. + Travel Ban	3	19373
2020-06-13	5515	335	Soc. Dist. + Travel Ban	0	21361
2020-06-14	5953	438	Soc. Dist. + Travel Ban	0	23387
2020-06-15	6395	442	Soc. Dist. + Travel Ban	0	26765
2020-06-16	6860	465	Soc. Dist. + Travel Ban	0	30360
2020-06-17	7358	498	Soc. Dist. + Travel Ban	0	30958
2020-06-18	7887	529	Soc. Dist. + Travel Ban	0	37690
2020-06-19	8447	560	Soc. Dist. + Travel Ban	0	39820
2020-06-20	9112	665	Soc. Dist. + Travel Ban	0	43777
2020-06-21	9807	695	Soc. Dist. + Travel Ban	0	48321
2020-06-22	10624	817	Soc. Dist. + Travel Ban	0	54232
2020-06-23	11497	873	Soc. Dist. + Travel Ban	0	58688
2020-06-24	12458	961	Soc. Dist. + Travel Ban	0	65046
2020-06-25	13475	1017	Soc. Dist. + Travel Ban	0	73551
2020-06-26	14611	1136	Soc. Dist. + Travel Ban	0	82112
2020-06-27	15931	1320	Soc. Dist. + Travel Ban	0	93214
2020-06-28	17352	1421	Soc. Dist. + Travel Ban	0	101833
2020-06-29	18917	1565	Soc. Dist. + Travel Ban	0	117385
2020-06-30	20675	1758	Soc. Dist. + Travel Ban	0	130259
2020-07-01	22566	1891	Soc. Dist. + Travel Ban	0	146108
2020-07-02	24760	2194	Soc. Dist. + Travel Ban	0	165899
2020-07-03	27183	2423	Soc. Dist. + Travel Ban	0	178808
2020-07-04	29882	2699	Soc. Dist. + Travel Ban	0	211023
2020-07-05	32872	2990	Soc. Dist. + Travel Ban	0	230024
2020-07-06	36295	3423	Soc. Dist. + Travel Ban	0	260684
2020-07-07	40047	3752	Soc. Dist. + Travel Ban	0	296152
2020-07-08	44332	4285	Soc. Dist. + Travel Ban	0	316045
2020-07-09	48998	4666	Soc. Dist. + Travel Ban	0	352386
2020-07-10	54268	5270	Soc. Dist. + Travel Ban	0	406146
2020-07-11	60078	5810	Soc. Dist. + Travel Ban	0	462492
2020-07-12	66477	6399	Soc. Dist. + Travel Ban	0	512972
2020-07-13	73472	6995	Soc. Dist. + Travel Ban	0	561210
2020-07-14	81407	7935	Soc. Dist. + Travel Ban	0	622785
2020-07-15	90005	8598	Soc. Dist. + Travel Ban	0	705516
2020-07-16	99555	9550	Soc. Dist. + Travel Ban	0	791042
2020-07-17	109813	10258	Soc. Dist. + Travel Ban	0	888623
2020-07-18	120948	11135	Soc. Dist. + Travel Ban	0	974645
2020-07-19	133045	12097	Soc. Dist. + Travel Ban	0	1108210
2020-07-20	146066	13021	Soc. Dist. + Travel Ban	0	1236928
2020-07-21	160261	14195	Soc. Dist. + Travel Ban	0	1383547
2020-07-22	175415	15154	Soc. Dist. + Travel Ban	0	1573677
2020-07-23	191666	16251	Soc. Dist. + Travel Ban	0	1771155
2020-07-24	209099	17433	Soc. Dist. + Travel Ban	0	1967963
2020-07-25	227594	18495	Soc. Dist. + Travel Ban	0	2185100
2020-07-26	247117	19523	Soc. Dist. + Travel Ban	0	2424050
2020-07-27	267916	20799	Soc. Dist. + Travel Ban	0	2685946
2020-07-28	289884	21968	Soc. Dist. + Travel Ban	0	3016829
2020-07-29	313048	23164	Soc. Dist. + Travel Ban	0	3267510
2020-07-30	337219	24171	Soc. Dist. + Travel Ban	0	3561912
2020-07-31	362321	25102	Soc. Dist. + Travel Ban	0	3903209
2020-08-01	388543	26222	Soc. Dist. + Travel Ban	0	4280028
2020-08-02	415823	27280	Soc. Dist. + Travel Ban	0	4716087
2020-08-03	443891	28068	Soc. Dist. + Travel Ban	0	5141916
2020-08-04	472909	29018	Soc. Dist. + Travel Ban	0	5432023
2020-08-05	502834	29925	Soc. Dist. + Travel Ban	0	5899582
2020-08-06	533790	30956	Soc. Dist. + Travel Ban	0	6382960
2020-08-07	565360	31570	Soc. Dist. + Travel Ban	0	6944346
2020-08-08	597885	32525	Soc. Dist. + Travel Ban	0	7270163
2020-08-09	630881	32996	Soc. Dist. + Travel Ban	0	7738974
2020-08-10	664647	33766	Soc. Dist. + Travel Ban	0	8175739
2020-08-11	699116	34469	Soc. Dist. + Travel Ban	0	8619654
2020-08-12	734341	35225	Soc. Dist. + Travel Ban	0	9026667
2020-08-13	769925	35584	Soc. Dist. + Travel Ban	0	9514311
2020-08-14	806516	36591	Soc. Dist. + Travel Ban	0	9943092
