stat	value
thetaS_last_obs_p_mean	0.9998496
thetaI_last_obs_p_mean	7.352768e-05
thetaR_last_obs_p_mean	7.691629e-05
thetaS_last_obs_p_ci_low	0.9998003
thetaS_last_obs_p_ci_med	0.9998505
thetaS_last_obs_p_ci_up	0.9998938
thetaI_last_obs_p_ci_low	4.33997e-05
thetaI_last_obs_p_ci_med	7.267457e-05
thetaI_last_obs_p_ci_up	0.000108729
thetaR_last_obs_p_ci_low	4.663107e-05
thetaR_last_obs_p_ci_med	7.60501e-05
thetaR_last_obs_p_ci_up	0.0001120983
R0_p_mean	1.702472
R0_p_ci_low	0.8544017
R0_p_ci_med	1.630571
R0_p_ci_up	2.97905
gamma_p_mean	0.09445195
gamma_p_ci_low	0.03224233
gamma_p_ci_med	0.09121414
gamma_p_ci_up	0.1758189
beta_p_mean	0.1539563
beta_p_ci_low	0.0486567
beta_p_ci_med	0.1499325
beta_p_ci_up	0.2832314
incidence_mean	0.3513349
incidence_ci_low	0.0001452298
incidence_ci_median	0.2395666
incidence_ci_up	0.921003
thetaI_tp1_mean	0.02012088
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.001393273
thetaI_tp1_ci_up	0.1811988
thetaR_tp1_mean	0.02848176
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.002441138
thetaR_tp1_ci_up	0.2853054
Y_tp1_mean	0.02012013
Y_tp1_ci_low	0
Y_tp1_ci_med	0.001394032
Y_tp1_ci_up	0.1814232
R_tp1_mean	0.02848117
R_tp1_ci_low	0
R_tp1_ci_med	0.002442497
R_tp1_ci_up	0.2852389
thetaI_tp2_mean	0.04231158
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0.009518808
thetaI_tp2_ci_up	0.2125972
thetaR_tp2_mean	0.168841
thetaR_tp2_ci_low	0
thetaR_tp2_ci_med	0.01994478
thetaR_tp2_ci_up	0.8212087
Y_tp2_mean	0.04231223
Y_tp2_ci_low	0
Y_tp2_ci_med	0.009524993
Y_tp2_ci_up	0.2126002
R_tp2_mean	0.1688423
R_tp2_ci_low	0
R_tp2_ci_med	0.01996565
R_tp2_ci_up	0.8210808
thetaR_max_mean	0.320225
thetaR_max_ci_low	0
thetaR_max_ci_med	0.1672647
thetaR_max_ci_up	0.9021623
cumInf_mean	0.3502534
cumInf_ci_low	0
cumInf_ci_med	0.2359749
cumInf_ci_up	0.9205673
dthetaI_tp1_date	08/01/20
first_tp_mean	08/10/20
first_tp_ci_low	05/04/20
first_tp_ci_med	08/22/20
first_tp_ci_up	11/02/20
dthetaI_tp2_date	09/13/20
second_tp_mean	08/20/20
second_tp_ci_low	05/06/20
second_tp_ci_med	09/09/20
second_tp_ci_up	11/02/20
end_p_mean	10/01/20
end_p_ci_low	06/12/20
end_p_ci_med	11/02/20
end_p_ci_up	11/02/20
begin_str	04/17/2020
