stat	value
thetaS_last_obs_p_mean	0.9999139
thetaI_last_obs_p_mean	3.111942e-05
thetaR_last_obs_p_mean	5.495484e-05
thetaS_last_obs_p_ci_low	0.9998766
thetaS_last_obs_p_ci_med	0.9999148
thetaS_last_obs_p_ci_up	0.9999462
thetaI_last_obs_p_ci_low	1.272783e-05
thetaI_last_obs_p_ci_med	3.023995e-05
thetaI_last_obs_p_ci_up	5.437421e-05
thetaR_last_obs_p_ci_low	2.990746e-05
thetaR_last_obs_p_ci_med	5.408295e-05
thetaR_last_obs_p_ci_up	8.481384e-05
R0_p_mean	1.61592
R0_p_ci_low	0.7697298
R0_p_ci_med	1.531411
R0_p_ci_up	2.965606
gamma_p_mean	0.1040734
gamma_p_ci_low	0.02935808
gamma_p_ci_med	0.09871905
gamma_p_ci_up	0.2098889
beta_p_mean	0.1596904
beta_p_ci_low	0.04197591
beta_p_ci_med	0.1525255
beta_p_ci_up	0.3188638
incidence_mean	0.05917771
incidence_ci_low	5.688244e-05
incidence_ci_median	0.0002546241
incidence_ci_up	0.6952928
thetaI_tp1_mean	0.003874033
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.04569708
thetaR_tp1_mean	0.007887678
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	9.635443e-05
thetaR_tp1_ci_up	0.07179941
Y_tp1_mean	0.003873546
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.04570306
R_tp1_mean	0.00788775
R_tp1_ci_low	0
R_tp1_ci_med	9.371194e-05
R_tp1_ci_up	0.07165656
thetaI_tp2_mean	0.00811412
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0
thetaI_tp2_ci_up	0.09314664
thetaR_tp2_mean	0.04528417
thetaR_tp2_ci_low	0
thetaR_tp2_ci_med	0
thetaR_tp2_ci_up	0.6057218
Y_tp2_mean	0.008114259
Y_tp2_ci_low	0
Y_tp2_ci_med	0
Y_tp2_ci_up	0.09325553
R_tp2_mean	0.04528451
R_tp2_ci_low	0
R_tp2_ci_med	0
R_tp2_ci_up	0.6055956
thetaR_max_mean	0.05071702
thetaR_max_ci_low	0
thetaR_max_ci_med	0
thetaR_max_ci_up	0.6415402
cumInf_mean	0.05877226
cumInf_ci_low	0
cumInf_ci_med	0
cumInf_ci_up	0.6946243
dthetaI_tp1_date	08/28/20
first_tp_mean	06/16/20
first_tp_ci_low	04/23/20
first_tp_ci_med	05/26/20
first_tp_ci_up	11/05/20
dthetaI_tp2_date	10/28/20
second_tp_mean	06/21/20
second_tp_ci_low	04/25/20
second_tp_ci_med	05/28/20
second_tp_ci_up	11/05/20
end_p_mean	07/31/20
end_p_ci_low	06/08/20
end_p_ci_med	06/28/20
end_p_ci_up	11/05/20
begin_str	04/20/2020
