date	value	lower_ci	upper_ci	incidence	scenario
2020-06-04	4995	240	14441	NA	Cautious return
2020-06-05	5437	124	16852	442	Cautious return
2020-06-06	5780	59	18418	343	Cautious return
2020-06-07	6182	25	20361	402	Cautious return
2020-06-08	6562	16	21479	380	Cautious return
2020-06-09	6932	3	23823	370	Cautious return
2020-06-10	7348	0	26665	416	Cautious return
2020-06-11	7742	0	28730	394	Cautious return
2020-06-12	8174	0	31537	432	Cautious return
2020-06-13	8556	0	33792	382	Cautious return
2020-06-14	8990	0	35787	434	Cautious return
2020-06-15	9502	0	38917	512	Cautious return
2020-06-16	9933	0	42119	431	Cautious return
2020-06-17	10446	0	45573	513	Cautious return
2020-06-18	10939	0	50253	493	Cautious return
2020-06-19	11424	0	52515	485	Cautious return
2020-06-20	11914	0	57462	490	Cautious return
2020-06-21	12510	0	61959	596	Cautious return
2020-06-22	13032	0	65796	522	Cautious return
2020-06-23	13699	0	68813	667	Cautious return
2020-06-24	14381	0	74730	682	Cautious return
2020-06-25	14904	0	78268	523	Cautious return
2020-06-26	15656	0	87650	752	Cautious return
2020-06-27	16416	0	91307	760	Cautious return
2020-06-28	17161	0	98586	745	Cautious return
2020-06-29	17926	0	105496	765	Cautious return
2020-06-30	18777	0	115775	851	Cautious return
2020-07-01	19790	0	124512	1013	Cautious return
2020-07-02	20827	0	135595	1037	Cautious return
2020-07-03	21853	0	137900	1026	Cautious return
2020-07-04	22881	0	150095	1028	Cautious return
2020-07-05	23988	0	159652	1107	Cautious return
2020-07-06	25137	0	167004	1149	Cautious return
2020-07-07	26492	0	184966	1355	Cautious return
2020-07-08	27861	0	194577	1369	Cautious return
2020-07-09	29565	0	211304	1704	Cautious return
2020-07-10	31250	0	220977	1685	Cautious return
2020-07-11	32858	0	235790	1608	Cautious return
2020-07-12	34730	0	244346	1872	Cautious return
2020-07-13	36792	0	266032	2062	Cautious return
2020-07-14	38908	0	287157	2116	Cautious return
2020-07-15	41252	0	303017	2344	Cautious return
2020-07-16	43662	0	314777	2410	Cautious return
2020-07-17	46233	0	345843	2571	Cautious return
2020-07-18	49143	0	375206	2910	Cautious return
2020-07-19	52323	0	391109	3180	Cautious return
2020-07-20	55857	0	418718	3534	Cautious return
2020-07-21	59582	0	460824	3725	Cautious return
2020-07-22	63610	0	473062	4028	Cautious return
2020-07-23	68202	0	526571	4592	Cautious return
2020-07-24	72913	0	564924	4711	Cautious return
2020-07-25	78058	0	587126	5145	Cautious return
2020-07-26	83819	0	666816	5761	Cautious return
2020-07-27	90091	0	689943	6272	Cautious return
2020-07-28	96648	0	685255	6557	Cautious return
2020-07-29	103576	0	757493	6928	Cautious return
2020-07-30	111283	0	810306	7707	Cautious return
2020-07-31	119545	0	909967	8262	Cautious return
2020-08-01	128426	0	950605	8881	Cautious return
2020-08-02	138042	0	1020327	9616	Cautious return
2020-08-03	148457	0	1073179	10415	Cautious return
2020-08-04	159503	0	1184704	11046	Cautious return
2020-08-05	171511	0	1274062	12008	Cautious return
2020-08-06	184040	0	1299440	12529	Cautious return
2020-08-07	197328	0	1407247	13288	Cautious return
2020-08-08	211796	0	1504557	14468	Cautious return
2020-08-09	227002	0	1651024	15206	Cautious return
2020-08-10	243098	0	1815977	16096	Cautious return
2020-08-11	260219	0	1872100	17121	Cautious return
2020-08-12	278179	0	2005360	17960	Cautious return
2020-08-13	297198	0	2160442	19019	Cautious return
2020-08-14	317532	0	2355489	20334	Cautious return
2020-08-15	338420	0	2466030	20888	Cautious return
2020-08-16	360717	0	2649828	22297	Cautious return
2020-08-17	383438	0	2744489	22721	Cautious return
2020-08-18	407611	0	2970057	24173	Cautious return
2020-08-19	432578	0	3200830	24967	Cautious return
2020-08-20	458550	0	3421576	25972	Cautious return
2020-08-21	485712	0	3696657	27162	Cautious return
2020-08-22	514287	0	3960815	28575	Cautious return
2020-08-23	543071	0	4218615	28784	Cautious return
2020-08-24	573151	0	4507031	30080	Cautious return
2020-08-25	603512	0	4781516	30361	Cautious return
2020-08-26	635679	0	5075354	32167	Cautious return
2020-08-27	667980	0	5387615	32301	Cautious return
2020-08-28	700961	0	5800161	32981	Cautious return
2020-08-29	734932	0	6164237	33971	Cautious return
2020-08-30	769088	0	6461923	34156	Cautious return
2020-08-31	803332	0	6952609	34244	Cautious return
2020-09-01	839519	0	7413082	36187	Cautious return
2020-09-02	875497	0	7810598	35978	Cautious return
2020-09-03	911952	0	8209481	36455	Cautious return
2020-09-04	949040	0	8532961	37088	Cautious return
2020-09-05	986348	0	9114662	37308	Cautious return
2020-09-06	1023894	0	9734067	37546	Cautious return
2020-09-07	1061719	0	10178249	37825	Cautious return
2020-09-08	1099980	0	10763949	38261	Cautious return
2020-09-09	1139181	0	11264170	39201	Cautious return
2020-09-10	1178363	0	11667150	39182	Cautious return
2020-09-11	1218465	0	12225349	40102	Cautious return
2020-09-12	1257719	0	13116476	39254	Cautious return
2020-09-13	1298072	0	13716826	40353	Cautious return
2020-09-14	1338359	0	14158704	40287	Cautious return
2020-09-15	1378509	0	14703594	40150	Cautious return
2020-09-16	1419742	0	15094019	41233	Cautious return
2020-09-17	1461560	0	16036982	41818	Cautious return
2020-09-18	1503387	0	16982596	41827	Cautious return
2020-09-19	1545220	0	17685299	41833	Cautious return
2020-09-20	1587082	0	18560881	41862	Cautious return
2020-09-21	1629327	0	19276125	42245	Cautious return
2020-09-22	1672124	0	19743287	42797	Cautious return
2020-09-23	1714827	0	20597624	42703	Cautious return
2020-09-24	1758279	0	21562853	43452	Cautious return
2020-09-25	1801146	0	22064396	42867	Cautious return
2020-09-26	1843792	0	22527309	42646	Cautious return
2020-09-27	1886396	0	23626461	42604	Cautious return
2020-09-28	1929744	0	24224128	43348	Cautious return
2020-09-29	1972822	0	25211108	43078	Cautious return
2020-09-30	2016391	0	25794519	43569	Cautious return
2020-10-01	2060480	0	26737693	44089	Cautious return
2020-10-02	2104506	0	27383422	44026	Cautious return
2020-10-03	2147606	0	28530742	43100	Cautious return
2020-10-04	2191751	0	29072193	44145	Cautious return
2020-10-05	2235208	0	29746542	43457	Cautious return
2020-10-06	2279439	0	30200490	44231	Cautious return
2020-10-07	2323384	0	31015896	43945	Cautious return
2020-10-08	2367801	0	31802687	44417	Cautious return
2020-10-09	2411744	0	32488346	43943	Cautious return
2020-10-10	2455877	0	32942335	44133	Cautious return
2020-10-11	2499472	0	33945303	43595	Cautious return
2020-10-12	2543661	0	34734355	44189	Cautious return
2020-10-13	2587262	0	35681930	43601	Cautious return
2020-10-14	2630711	0	36683720	43449	Cautious return
2020-10-15	2674895	0	37556442	44184	Cautious return
2020-10-16	2719334	0	38545649	44439	Cautious return
2020-10-17	2762562	0	39525126	43228	Cautious return
2020-10-18	2806490	0	40802565	43928	Cautious return
2020-10-19	2848852	0	41428105	42362	Cautious return
2020-10-20	2891163	0	42281030	42311	Cautious return
2020-10-21	2933979	0	43057572	42816	Cautious return
2020-10-22	2975064	0	43691537	41085	Cautious return
2020-10-23	3016923	0	44341479	41859	Cautious return
2020-10-24	3059089	0	45448213	42166	Cautious return
2020-10-25	3100388	0	46000741	41299	Cautious return
2020-10-26	3141956	0	47041066	41568	Cautious return
2020-10-27	3182112	0	47511349	40156	Cautious return
2020-10-28	3223780	0	48149097	41668	Cautious return
2020-10-29	3264156	0	48537132	40376	Cautious return
2020-10-30	3304031	0	48773069	39875	Cautious return
2020-10-31	3344461	0	49410671	40430	Cautious return
2020-11-01	3384822	0	49267520	40361	Cautious return
2020-11-02	3424015	0	50161298	39193	Cautious return
2020-11-03	3463642	0	50997793	39627	Cautious return
2020-11-04	3502618	0	51061066	38976	Cautious return
2020-11-05	3540364	0	51216441	37746	Cautious return
