date	value	lower_ci	upper_ci	incidence	scenario
2020-06-04	3095	1300	5541	NA	No intervention
2020-06-05	3337	1193	6439	242	No intervention
2020-06-06	3611	1120	7209	274	No intervention
2020-06-07	3905	1016	8368	294	No intervention
2020-06-08	4224	965	9409	319	No intervention
2020-06-09	4596	965	10657	372	No intervention
2020-06-10	4963	874	12030	367	No intervention
2020-06-11	5390	849	13447	427	No intervention
2020-06-12	5834	863	15031	444	No intervention
2020-06-13	6299	836	16454	465	No intervention
2020-06-14	6827	794	19131	528	No intervention
2020-06-15	7397	743	21598	570	No intervention
2020-06-16	8010	824	23383	613	No intervention
2020-06-17	8714	733	26741	704	No intervention
2020-06-18	9436	697	29525	722	No intervention
2020-06-19	10260	649	33094	824	No intervention
2020-06-20	11139	674	37091	879	No intervention
2020-06-21	12124	660	42991	985	No intervention
2020-06-22	13202	634	47806	1078	No intervention
2020-06-23	14376	628	56032	1174	No intervention
2020-06-24	15683	579	61418	1307	No intervention
2020-06-25	17117	529	70809	1434	No intervention
2020-06-26	18696	540	80784	1579	No intervention
2020-06-27	20483	559	88588	1787	No intervention
2020-06-28	22465	669	100782	1982	No intervention
2020-06-29	24676	551	114183	2211	No intervention
2020-06-30	27107	647	129904	2431	No intervention
2020-07-01	29827	610	147688	2720	No intervention
2020-07-02	32918	607	165645	3091	No intervention
2020-07-03	36282	624	190045	3364	No intervention
2020-07-04	40120	601	220331	3838	No intervention
2020-07-05	44306	664	246465	4186	No intervention
2020-07-06	48969	577	282600	4663	No intervention
2020-07-07	54078	576	324156	5109	No intervention
2020-07-08	59769	583	368586	5691	No intervention
2020-07-09	66107	566	410955	6338	No intervention
2020-07-10	73139	660	474257	7032	No intervention
2020-07-11	80777	570	532016	7638	No intervention
2020-07-12	89316	540	610290	8539	No intervention
2020-07-13	98580	535	692114	9264	No intervention
2020-07-14	108771	680	778952	10191	No intervention
2020-07-15	119924	588	887367	11153	No intervention
2020-07-16	132233	531	1011614	12309	No intervention
2020-07-17	145430	535	1131734	13197	No intervention
2020-07-18	159769	420	1270931	14339	No intervention
2020-07-19	175386	429	1415842	15617	No intervention
2020-07-20	192228	423	1588851	16842	No intervention
2020-07-21	210434	314	1752587	18206	No intervention
2020-07-22	229735	387	1950253	19301	No intervention
2020-07-23	250506	403	2162839	20771	No intervention
2020-07-24	272482	357	2372524	21976	No intervention
2020-07-25	295983	411	2592958	23501	No intervention
2020-07-26	320696	313	2877236	24713	No intervention
2020-07-27	346974	265	3065050	26278	No intervention
2020-07-28	374543	297	3342895	27569	No intervention
2020-07-29	403486	336	3611738	28943	No intervention
2020-07-30	433680	296	3894531	30194	No intervention
2020-07-31	465281	417	4200260	31601	No intervention
2020-08-01	498002	284	4460784	32721	No intervention
2020-08-02	532160	310	4771960	34158	No intervention
2020-08-03	567780	336	5045710	35620	No intervention
2020-08-04	604512	168	5311426	36732	No intervention
2020-08-05	642621	180	5587701	38109	No intervention
2020-08-06	681746	159	5864153	39125	No intervention
2020-08-07	721756	128	6079106	40010	No intervention
