date	value	lower_ci	upper_ci	incidence	scenario
2020-06-04	4629	632	11363	NA	No intervention
2020-06-05	5264	462	13756	635	No intervention
2020-06-06	5983	331	16526	719	No intervention
2020-06-07	6803	230	19747	820	No intervention
2020-06-08	7738	158	23623	935	No intervention
2020-06-09	8817	126	28251	1079	No intervention
2020-06-10	10060	104	33976	1243	No intervention
2020-06-11	11509	83	41027	1449	No intervention
2020-06-12	13201	60	49585	1692	No intervention
2020-06-13	15187	41	60225	1986	No intervention
2020-06-14	17532	20	73389	2345	No intervention
2020-06-15	20313	7	89401	2781	No intervention
2020-06-16	23612	1	109621	3299	No intervention
2020-06-17	27556	0	134100	3944	No intervention
2020-06-18	32296	0	164385	4740	No intervention
2020-06-19	38018	0	201969	5722	No intervention
2020-06-20	44953	0	248176	6935	No intervention
2020-06-21	53377	0	305944	8424	No intervention
2020-06-22	63626	0	378048	10249	No intervention
2020-06-23	76134	0	465672	12508	No intervention
2020-06-24	91382	0	575028	15248	No intervention
2020-06-25	109947	0	709993	18565	No intervention
2020-06-26	132416	0	872107	22469	No intervention
2020-06-27	159555	0	1078197	27139	No intervention
2020-06-28	192107	0	1326035	32552	No intervention
2020-06-29	230874	0	1639606	38767	No intervention
2020-06-30	276791	0	2015791	45917	No intervention
2020-07-01	330615	0	2480257	53824	No intervention
2020-07-02	393222	0	3042840	62607	No intervention
2020-07-03	465468	0	3720442	72246	No intervention
2020-07-04	548138	0	4524684	82670	No intervention
2020-07-05	641893	0	5479862	93755	No intervention
2020-07-06	747414	0	6581040	105521	No intervention
2020-07-07	865224	0	7886732	117810	No intervention
2020-07-08	995649	0	9365913	130425	No intervention
2020-07-09	1139027	0	11022061	143378	No intervention
2020-07-10	1295548	0	12782931	156521	No intervention
2020-07-11	1465236	0	14696238	169688	No intervention
2020-07-12	1648062	0	16708369	182826	No intervention
2020-07-13	1843795	0	18756825	195733	No intervention
2020-07-14	2052195	0	20863475	208400	No intervention
2020-07-15	2272834	0	23019832	220639	No intervention
2020-07-16	2505249	0	25222144	232415	No intervention
