stat	value
thetaS_last_obs_p_mean	0.9999068
thetaI_last_obs_p_mean	4.133024e-05
thetaR_last_obs_p_mean	5.182444e-05
thetaS_last_obs_p_ci_low	0.9998678
thetaS_last_obs_p_ci_med	0.9999077
thetaS_last_obs_p_ci_up	0.9999408
thetaI_last_obs_p_ci_low	1.954133e-05
thetaI_last_obs_p_ci_med	4.043447e-05
thetaI_last_obs_p_ci_up	6.82048e-05
thetaR_last_obs_p_ci_low	2.782343e-05
thetaR_last_obs_p_ci_med	5.101929e-05
thetaR_last_obs_p_ci_up	8.067173e-05
R0_p_mean	1.656525
R0_p_ci_low	0.7876512
R0_p_ci_med	1.565634
R0_p_ci_up	3.065672
gamma_p_mean	0.1074031
gamma_p_ci_low	0.02704437
gamma_p_ci_med	0.1007624
gamma_p_ci_up	0.2251652
beta_p_mean	0.1680279
beta_p_ci_low	0.03980866
beta_p_ci_med	0.1600433
beta_p_ci_up	0.3424409
incidence_mean	0.08231796
incidence_ci_low	5.755343e-05
incidence_ci_median	0.0003299184
incidence_ci_up	0.7495246
thetaI_tp1_mean	0.004678347
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.05579075
thetaR_tp1_mean	0.009109949
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.0002242802
thetaR_tp1_ci_up	0.0866417
Y_tp1_mean	0.004678251
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.05588758
R_tp1_mean	0.009109732
R_tp1_ci_low	0
R_tp1_ci_med	0.0002228439
R_tp1_ci_up	0.08663605
thetaI_tp2_mean	0.01043788
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0
thetaI_tp2_ci_up	0.1066513
thetaR_tp2_mean	0.05836893
thetaR_tp2_ci_low	0
thetaR_tp2_ci_med	0.0001729706
thetaR_tp2_ci_up	0.6537608
Y_tp2_mean	0.01043849
Y_tp2_ci_low	0
Y_tp2_ci_med	0
Y_tp2_ci_up	0.1067011
R_tp2_mean	0.05836887
R_tp2_ci_low	0
R_tp2_ci_med	0.0001714225
R_tp2_ci_up	0.6537815
thetaR_max_mean	0.07164057
thetaR_max_ci_low	0
thetaR_max_ci_med	0.0001507898
thetaR_max_ci_up	0.7051793
cumInf_mean	0.08183076
cumInf_ci_low	0
cumInf_ci_med	0.000152006
cumInf_ci_up	0.7482976
dthetaI_tp1_date	08/21/20
first_tp_mean	07/01/20
first_tp_ci_low	04/22/20
first_tp_ci_med	05/30/20
first_tp_ci_up	11/05/20
dthetaI_tp2_date	10/21/20
second_tp_mean	07/06/20
second_tp_ci_low	04/24/20
second_tp_ci_med	06/01/20
second_tp_ci_up	11/05/20
end_p_mean	08/12/20
end_p_ci_low	06/09/20
end_p_ci_med	07/10/20
end_p_ci_up	11/05/20
begin_str	04/20/2020
