date	value	lower_ci	upper_ci	incidence	scenario
2020-06-05	5126	241	14590	NA	Normal (pre-intervention)
2020-06-06	5808	115	17468	682	Normal (pre-intervention)
2020-06-07	6589	63	20716	781	Normal (pre-intervention)
2020-06-08	7482	41	24622	893	Normal (pre-intervention)
2020-06-09	8508	21	29380	1026	Normal (pre-intervention)
2020-06-10	9696	7	35003	1188	Normal (pre-intervention)
2020-06-11	11083	1	41976	1387	Normal (pre-intervention)
2020-06-12	12706	0	50372	1623	Normal (pre-intervention)
2020-06-13	14613	0	61237	1907	Normal (pre-intervention)
2020-06-14	16881	0	74239	2268	Normal (pre-intervention)
2020-06-15	19594	0	90774	2713	Normal (pre-intervention)
2020-06-16	22842	0	111578	3248	Normal (pre-intervention)
2020-06-17	26741	0	137018	3899	Normal (pre-intervention)
2020-06-18	31465	0	169633	4724	Normal (pre-intervention)
2020-06-19	37234	0	209490	5769	Normal (pre-intervention)
2020-06-20	44289	0	259682	7055	Normal (pre-intervention)
2020-06-21	52973	0	321967	8684	Normal (pre-intervention)
2020-06-22	63696	0	399347	10723	Normal (pre-intervention)
2020-06-23	76945	0	496138	13249	Normal (pre-intervention)
2020-06-24	93374	0	617459	16429	Normal (pre-intervention)
2020-06-25	113740	0	770004	20366	Normal (pre-intervention)
2020-06-26	138915	0	961098	25175	Normal (pre-intervention)
2020-06-27	169873	0	1198250	30958	Normal (pre-intervention)
2020-06-28	207761	0	1496367	37888	Normal (pre-intervention)
2020-06-29	253762	0	1858893	46001	Normal (pre-intervention)
2020-06-30	309255	0	2320035	55493	Normal (pre-intervention)
2020-07-01	375511	0	2887664	66256	Normal (pre-intervention)
2020-07-02	453891	0	3586985	78380	Normal (pre-intervention)
2020-07-03	545742	0	4431980	91851	Normal (pre-intervention)
2020-07-04	652290	0	5477244	106548	Normal (pre-intervention)
2020-07-05	774670	0	6730600	122380	Normal (pre-intervention)
2020-07-06	913855	0	8231601	139185	Normal (pre-intervention)
2020-07-07	1070722	0	10009620	156867	Normal (pre-intervention)
2020-07-08	1245885	0	12098528	175163	Normal (pre-intervention)
2020-07-09	1439754	0	14445447	193869	Normal (pre-intervention)
2020-07-10	1652763	0	17111228	213009	Normal (pre-intervention)
2020-07-11	1884865	0	20014305	232102	Normal (pre-intervention)
2020-07-12	2136052	0	23086975	251187	Normal (pre-intervention)
2020-07-13	2406055	0	26306782	270003	Normal (pre-intervention)
2020-07-14	2694494	0	29587261	288439	Normal (pre-intervention)
2020-07-15	3000801	0	32968177	306307	Normal (pre-intervention)
2020-07-16	3324338	0	36409672	323537	Normal (pre-intervention)
2020-07-17	3664438	0	39940542	340100	Normal (pre-intervention)
