date	value	lower_ci	upper_ci	incidence	scenario
2020-06-05	3778	1037	7793	NA	Soc. Dist. + Travel Ban
2020-06-06	4176	917	9194	398	Soc. Dist. + Travel Ban
2020-06-07	4601	809	10725	425	Soc. Dist. + Travel Ban
2020-06-08	5058	710	12370	457	Soc. Dist. + Travel Ban
2020-06-09	5544	634	14190	486	Soc. Dist. + Travel Ban
2020-06-10	6067	567	16169	523	Soc. Dist. + Travel Ban
2020-06-11	6629	503	18412	562	Soc. Dist. + Travel Ban
2020-06-12	7235	456	20947	606	Soc. Dist. + Travel Ban
2020-06-13	7893	407	23671	658	Soc. Dist. + Travel Ban
2020-06-14	8604	380	26924	711	Soc. Dist. + Travel Ban
2020-06-15	9374	368	30496	770	Soc. Dist. + Travel Ban
2020-06-16	10212	359	34554	838	Soc. Dist. + Travel Ban
2020-06-17	11127	354	39004	915	Soc. Dist. + Travel Ban
2020-06-18	12132	340	44277	1005	Soc. Dist. + Travel Ban
2020-06-19	13226	328	50202	1094	Soc. Dist. + Travel Ban
2020-06-20	14429	312	56887	1203	Soc. Dist. + Travel Ban
2020-06-21	15755	289	64219	1326	Soc. Dist. + Travel Ban
2020-06-22	17219	270	72663	1464	Soc. Dist. + Travel Ban
2020-06-23	18834	248	82575	1615	Soc. Dist. + Travel Ban
2020-06-24	20631	222	93569	1797	Soc. Dist. + Travel Ban
2020-06-25	22629	196	106014	1998	Soc. Dist. + Travel Ban
2020-06-26	24848	167	120722	2219	Soc. Dist. + Travel Ban
2020-06-27	27324	135	137139	2476	Soc. Dist. + Travel Ban
2020-06-28	30094	105	155293	2770	Soc. Dist. + Travel Ban
2020-06-29	33188	82	176899	3094	Soc. Dist. + Travel Ban
2020-06-30	36652	54	200649	3464	Soc. Dist. + Travel Ban
2020-07-01	40531	31	227535	3879	Soc. Dist. + Travel Ban
2020-07-02	44884	9	259186	4353	Soc. Dist. + Travel Ban
2020-07-03	49764	1	294475	4880	Soc. Dist. + Travel Ban
2020-07-04	55235	0	334585	5471	Soc. Dist. + Travel Ban
2020-07-05	61367	0	379952	6132	Soc. Dist. + Travel Ban
2020-07-06	68219	0	430838	6852	Soc. Dist. + Travel Ban
2020-07-07	75889	0	489948	7670	Soc. Dist. + Travel Ban
2020-07-08	84461	0	555322	8572	Soc. Dist. + Travel Ban
2020-07-09	94016	0	631504	9555	Soc. Dist. + Travel Ban
2020-07-10	104623	0	716466	10607	Soc. Dist. + Travel Ban
2020-07-11	116393	0	811405	11770	Soc. Dist. + Travel Ban
2020-07-12	129407	0	920818	13014	Soc. Dist. + Travel Ban
2020-07-13	143759	0	1042604	14352	Soc. Dist. + Travel Ban
2020-07-14	159532	0	1179293	15773	Soc. Dist. + Travel Ban
2020-07-15	176795	0	1333225	17263	Soc. Dist. + Travel Ban
2020-07-16	195622	0	1501490	18827	Soc. Dist. + Travel Ban
2020-07-17	216115	0	1691465	20493	Soc. Dist. + Travel Ban
2020-07-18	238333	0	1901391	22218	Soc. Dist. + Travel Ban
2020-07-19	262307	0	2134240	23974	Soc. Dist. + Travel Ban
2020-07-20	288094	0	2394351	25787	Soc. Dist. + Travel Ban
2020-07-21	315771	0	2679030	27677	Soc. Dist. + Travel Ban
2020-07-22	345357	0	2984515	29586	Soc. Dist. + Travel Ban
2020-07-23	376887	0	3313736	31530	Soc. Dist. + Travel Ban
2020-07-24	410371	0	3684293	33484	Soc. Dist. + Travel Ban
2020-07-25	445817	0	4079809	35446	Soc. Dist. + Travel Ban
2020-07-26	483235	0	4485995	37418	Soc. Dist. + Travel Ban
2020-07-27	522622	0	4928219	39387	Soc. Dist. + Travel Ban
2020-07-28	563919	0	5378233	41297	Soc. Dist. + Travel Ban
2020-07-29	607205	0	5846460	43286	Soc. Dist. + Travel Ban
2020-07-30	652350	0	6335537	45145	Soc. Dist. + Travel Ban
2020-07-31	699356	0	6843800	47006	Soc. Dist. + Travel Ban
2020-08-01	748173	0	7366084	48817	Soc. Dist. + Travel Ban
2020-08-02	798798	0	7886863	50625	Soc. Dist. + Travel Ban
