stat	value
thetaS_last_obs_p_mean	0.9998491
thetaI_last_obs_p_mean	4.194952e-05
thetaR_last_obs_p_mean	0.0001089056
thetaS_last_obs_p_ci_low	0.9998002
thetaS_last_obs_p_ci_med	0.9998499
thetaS_last_obs_p_ci_up	0.9998934
thetaI_last_obs_p_ci_low	2.020028e-05
thetaI_last_obs_p_ci_med	4.104494e-05
thetaI_last_obs_p_ci_up	6.880362e-05
thetaR_last_obs_p_ci_low	7.180172e-05
thetaR_last_obs_p_ci_med	0.0001080973
thetaR_last_obs_p_ci_up	0.0001508356
R0_p_mean	1.530321
R0_p_ci_low	0.7576727
R0_p_ci_med	1.452205
R0_p_ci_up	2.769305
gamma_p_mean	0.1034068
gamma_p_ci_low	0.02867501
gamma_p_ci_med	0.09808483
gamma_p_ci_up	0.2087528
beta_p_mean	0.1500205
beta_p_ci_low	0.04034558
beta_p_ci_med	0.1437903
beta_p_ci_up	0.295663
incidence_mean	0.04199116
incidence_ci_low	8.073648e-05
incidence_ci_median	0.0003568329
incidence_ci_up	0.5742738
thetaI_tp1_mean	0.00321875
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.03559853
thetaR_tp1_mean	0.007154068
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.0002346186
thetaR_tp1_ci_up	0.0620989
Y_tp1_mean	0.003218627
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.03554407
R_tp1_mean	0.007153838
R_tp1_ci_low	0
R_tp1_ci_med	0.0002328875
R_tp1_ci_up	0.06206563
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.03488309
thetaR_max_ci_low	0
thetaR_max_ci_med	0.0001570394
thetaR_max_ci_up	0.4968078
cumInf_mean	0.04163254
cumInf_ci_low	0
cumInf_ci_med	0.0001576948
cumInf_ci_up	0.572207
dthetaI_tp1_date	09/08/20
first_tp_mean	06/17/20
first_tp_ci_low	04/24/20
first_tp_ci_med	05/22/20
first_tp_ci_up	11/06/20
dthetaI_tp2_date	09/08/20
second_tp_mean	06/20/20
second_tp_ci_low	04/25/20
second_tp_ci_med	05/24/20
second_tp_ci_up	11/06/20
end_p_mean	08/04/20
end_p_ci_low	06/10/20
end_p_ci_med	07/05/20
end_p_ci_up	11/06/20
begin_str	04/21/2020
