stat	value
thetaS_last_obs_p_mean	0.9984226
thetaI_last_obs_p_mean	0.0009047772
thetaR_last_obs_p_mean	0.0006725895
thetaS_last_obs_p_ci_low	0.9982548
thetaS_last_obs_p_ci_med	0.9984237
thetaS_last_obs_p_ci_up	0.9985845
thetaI_last_obs_p_ci_low	0.0007827289
thetaI_last_obs_p_ci_med	0.0009039739
thetaI_last_obs_p_ci_up	0.001030792
thetaR_last_obs_p_ci_low	0.0005701338
thetaR_last_obs_p_ci_med	0.0006712855
thetaR_last_obs_p_ci_up	0.0007813448
R0_p_mean	2.013331
R0_p_ci_low	1.255233
R0_p_ci_med	1.946716
R0_p_ci_up	3.16945
gamma_p_mean	0.05420278
gamma_p_ci_low	0.02521436
gamma_p_ci_med	0.05358983
gamma_p_ci_up	0.0869318
beta_p_mean	0.1049883
beta_p_ci_low	0.05374643
beta_p_ci_med	0.1047883
beta_p_ci_up	0.1573164
incidence_mean	0.171831
incidence_ci_low	0.00424703
incidence_ci_median	0.09639838
incidence_ci_up	0.6697089
thetaI_tp1_mean	0.02685779
thetaI_tp1_ci_low	0.0001337047
thetaI_tp1_ci_med	0.01196404
thetaI_tp1_ci_up	0.1405043
thetaR_tp1_mean	0.0481709
thetaR_tp1_ci_low	0.002870573
thetaR_tp1_ci_med	0.02655398
thetaR_tp1_ci_up	0.2283489
Y_tp1_mean	0.02685723
Y_tp1_ci_low	0.000128104
Y_tp1_ci_med	0.0119598
Y_tp1_ci_up	0.1404898
R_tp1_mean	0.04817251
R_tp1_ci_low	0.002867742
R_tp1_ci_med	0.02655179
R_tp1_ci_up	0.2282575
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.1252673
thetaR_max_ci_low	0.003424718
thetaR_max_ci_med	0.06734637
thetaR_max_ci_up	0.5339552
cumInf_mean	0.1705825
cumInf_ci_low	0.003746065
cumInf_ci_med	0.09555723
cumInf_ci_up	0.6677206
dthetaI_tp1_date	09/26/20
first_tp_mean	09/09/20
first_tp_ci_low	05/28/20
first_tp_ci_med	10/12/20
first_tp_ci_up	11/07/20
dthetaI_tp2_date	09/26/20
second_tp_mean	09/15/20
second_tp_ci_low	05/30/20
second_tp_ci_med	10/21/20
second_tp_ci_up	11/07/20
end_p_mean	11/05/20
end_p_ci_low	11/07/20
end_p_ci_med	11/07/20
end_p_ci_up	11/07/20
begin_str	04/22/2020
