stat	value
thetaS_last_obs_p_mean	0.9995959
thetaI_last_obs_p_mean	0.0001780493
thetaR_last_obs_p_mean	0.00022608
thetaS_last_obs_p_ci_low	0.9995136
thetaS_last_obs_p_ci_med	0.9995968
thetaS_last_obs_p_ci_up	0.9996726
thetaI_last_obs_p_ci_low	0.0001275711
thetaI_last_obs_p_ci_med	0.0001770672
thetaI_last_obs_p_ci_up	0.0002338524
thetaR_last_obs_p_ci_low	0.0001704062
thetaR_last_obs_p_ci_med	0.0002252363
thetaR_last_obs_p_ci_up	0.0002867467
R0_p_mean	1.724682
R0_p_ci_low	0.9201605
R0_p_ci_med	1.653147
R0_p_ci_up	2.958767
gamma_p_mean	0.07844258
gamma_p_ci_low	0.02762359
gamma_p_ci_med	0.07641265
gamma_p_ci_up	0.1413269
beta_p_mean	0.1293197
beta_p_ci_low	0.04460887
beta_p_ci_med	0.1274976
beta_p_ci_up	0.2257564
incidence_mean	0.09149228
incidence_ci_low	0.0003331268
incidence_ci_median	0.007759331
incidence_ci_up	0.6775592
thetaI_tp1_mean	0.009649308
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0006271835
thetaI_tp1_ci_up	0.09560458
thetaR_tp1_mean	0.01932743
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.003058058
thetaR_tp1_ci_up	0.1694337
Y_tp1_mean	0.009649094
Y_tp1_ci_low	0
Y_tp1_ci_med	0.0006265584
Y_tp1_ci_up	0.09563471
R_tp1_mean	0.01932695
R_tp1_ci_low	0
R_tp1_ci_med	0.003056319
R_tp1_ci_up	0.1698716
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.07210646
thetaR_max_ci_low	0
thetaR_max_ci_med	0.006328091
thetaR_max_ci_up	0.5862374
cumInf_mean	0.09077269
cumInf_ci_low	0
cumInf_ci_med	0.00767703
cumInf_ci_up	0.6756763
dthetaI_tp1_date	09/17/20
first_tp_mean	08/01/20
first_tp_ci_low	05/06/20
first_tp_ci_med	06/04/20
first_tp_ci_up	11/07/20
dthetaI_tp2_date	09/17/20
second_tp_mean	08/06/20
second_tp_ci_low	05/08/20
second_tp_ci_med	06/07/20
second_tp_ci_up	11/07/20
end_p_mean	10/05/20
end_p_ci_low	06/27/20
end_p_ci_med	11/07/20
end_p_ci_up	11/07/20
begin_str	04/22/2020
