date	value	lower_ci	upper_ci	incidence	scenario
2020-06-07	5934	1141	13533	NA	Normal (pre-intervention)
2020-06-08	6742	959	16329	808	Normal (pre-intervention)
2020-06-09	7654	793	19619	912	Normal (pre-intervention)
2020-06-10	8688	677	23339	1034	Normal (pre-intervention)
2020-06-11	9865	566	27900	1177	Normal (pre-intervention)
2020-06-12	11215	470	33334	1350	Normal (pre-intervention)
2020-06-13	12767	395	39976	1552	Normal (pre-intervention)
2020-06-14	14561	355	48057	1794	Normal (pre-intervention)
2020-06-15	16640	338	58047	2079	Normal (pre-intervention)
2020-06-16	19055	328	70117	2415	Normal (pre-intervention)
2020-06-17	21883	296	84878	2828	Normal (pre-intervention)
2020-06-18	25192	282	103240	3309	Normal (pre-intervention)
2020-06-19	29094	251	125628	3902	Normal (pre-intervention)
2020-06-20	33706	217	153547	4612	Normal (pre-intervention)
2020-06-21	39188	188	187258	5482	Normal (pre-intervention)
2020-06-22	45722	145	229207	6534	Normal (pre-intervention)
2020-06-23	53560	98	281004	7838	Normal (pre-intervention)
2020-06-24	62955	66	344707	9395	Normal (pre-intervention)
2020-06-25	74259	33	422565	11304	Normal (pre-intervention)
2020-06-26	87870	6	517772	13611	Normal (pre-intervention)
2020-06-27	104294	0	635768	16424	Normal (pre-intervention)
2020-06-28	124085	0	781733	19791	Normal (pre-intervention)
2020-06-29	147945	0	957395	23860	Normal (pre-intervention)
2020-06-30	176572	0	1176852	28627	Normal (pre-intervention)
2020-07-01	210786	0	1442149	34214	Normal (pre-intervention)
2020-07-02	251466	0	1762153	40680	Normal (pre-intervention)
2020-07-03	299601	0	2156703	48135	Normal (pre-intervention)
2020-07-04	356124	0	2635936	56523	Normal (pre-intervention)
2020-07-05	422000	0	3208796	65876	Normal (pre-intervention)
2020-07-06	498205	0	3895257	76205	Normal (pre-intervention)
2020-07-07	585578	0	4708141	87373	Normal (pre-intervention)
2020-07-08	685017	0	5691662	99439	Normal (pre-intervention)
2020-07-09	797224	0	6821329	112207	Normal (pre-intervention)
2020-07-10	922790	0	8123888	125566	Normal (pre-intervention)
2020-07-11	1062263	0	9618026	139473	Normal (pre-intervention)
2020-07-12	1215958	0	11260905	153695	Normal (pre-intervention)
2020-07-13	1384089	0	13101568	168131	Normal (pre-intervention)
2020-07-14	1566926	0	15022533	182837	Normal (pre-intervention)
2020-07-15	1764216	0	17065559	197290	Normal (pre-intervention)
2020-07-16	1975832	0	19160278	211616	Normal (pre-intervention)
2020-07-17	2201505	0	21296950	225673	Normal (pre-intervention)
2020-07-18	2441022	0	23487752	239517	Normal (pre-intervention)
2020-07-19	2693736	0	25687385	252714	Normal (pre-intervention)
2020-07-20	2959117	0	27878682	265381	Normal (pre-intervention)
2020-07-21	3236734	0	30058791	277617	Normal (pre-intervention)
