stat	value
thetaS_last_obs_p_mean	0.9997766
thetaI_last_obs_p_mean	0.0001067429
thetaR_last_obs_p_mean	0.0001166426
thetaS_last_obs_p_ci_low	0.9997166
thetaS_last_obs_p_ci_med	0.9997775
thetaS_last_obs_p_ci_up	0.9998316
thetaI_last_obs_p_ci_low	6.944897e-05
thetaI_last_obs_p_ci_med	0.0001058796
thetaI_last_obs_p_ci_up	0.0001490257
thetaR_last_obs_p_ci_low	7.836728e-05
thetaR_last_obs_p_ci_med	0.0001157562
thetaR_last_obs_p_ci_up	0.0001598651
R0_p_mean	1.69406
R0_p_ci_low	0.8597283
R0_p_ci_med	1.617967
R0_p_ci_up	2.981279
gamma_p_mean	0.0844987
gamma_p_ci_low	0.02781823
gamma_p_ci_med	0.08158103
gamma_p_ci_up	0.1584405
beta_p_mean	0.1365702
beta_p_ci_low	0.04243671
beta_p_ci_med	0.1334555
beta_p_ci_up	0.2497818
incidence_mean	0.08479588
incidence_ci_low	0.0001783009
incidence_ci_median	0.002318782
incidence_ci_up	0.697936
thetaI_tp1_mean	0.007767017
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0001431808
thetaI_tp1_ci_up	0.08558351
thetaR_tp1_mean	0.01529927
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.001329915
thetaR_tp1_ci_up	0.1475041
Y_tp1_mean	0.007766816
Y_tp1_ci_low	0
Y_tp1_ci_med	0.0001411247
Y_tp1_ci_up	0.0855699
R_tp1_mean	0.01529943
R_tp1_ci_low	0
R_tp1_ci_med	0.001329037
R_tp1_ci_up	0.1475809
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.06833349
thetaR_max_ci_low	0
thetaR_max_ci_med	0.002162142
thetaR_max_ci_up	0.6197638
cumInf_mean	0.08410424
cumInf_ci_low	0
cumInf_ci_med	0.002378687
cumInf_ci_up	0.6962815
dthetaI_tp1_date	09/17/20
first_tp_mean	07/28/20
first_tp_ci_low	05/08/20
first_tp_ci_med	06/07/20
first_tp_ci_up	11/12/20
dthetaI_tp2_date	09/17/20
second_tp_mean	08/02/20
second_tp_ci_low	05/10/20
second_tp_ci_med	06/09/20
second_tp_ci_up	11/12/20
end_p_mean	09/22/20
end_p_ci_low	06/24/20
end_p_ci_med	11/12/20
end_p_ci_up	11/12/20
begin_str	04/27/2020
