stat	value
thetaS_last_obs_p_mean	0.9979239
thetaI_last_obs_p_mean	0.001236229
thetaR_last_obs_p_mean	0.0008398499
thetaS_last_obs_p_ci_low	0.9977333
thetaS_last_obs_p_ci_med	0.9979252
thetaS_last_obs_p_ci_up	0.9981089
thetaI_last_obs_p_ci_low	0.001094395
thetaI_last_obs_p_ci_med	0.001235107
thetaI_last_obs_p_ci_up	0.001383183
thetaR_last_obs_p_ci_low	0.0007249624
thetaR_last_obs_p_ci_med	0.0008386921
thetaR_last_obs_p_ci_up	0.0009620343
R0_p_mean	2.180446
R0_p_ci_low	1.367979
R0_p_ci_med	2.103102
R0_p_ci_up	3.449169
gamma_p_mean	0.04541927
gamma_p_ci_low	0.021014
gamma_p_ci_med	0.04467183
gamma_p_ci_up	0.07445132
beta_p_mean	0.09472904
beta_p_ci_low	0.05004519
beta_p_ci_med	0.09451381
beta_p_ci_up	0.1403366
incidence_mean	0.1963234
incidence_ci_low	0.008085096
incidence_ci_median	0.1319157
incidence_ci_up	0.6701023
thetaI_tp1_mean	0.03719228
thetaI_tp1_ci_low	0.0007065975
thetaI_tp1_ci_med	0.02069784
thetaI_tp1_ci_up	0.1646948
thetaR_tp1_mean	0.05941899
thetaR_tp1_ci_low	0.004972437
thetaR_tp1_ci_med	0.0378172
thetaR_tp1_ci_up	0.2411078
Y_tp1_mean	0.03719328
Y_tp1_ci_low	0.0006982903
Y_tp1_ci_med	0.02068509
Y_tp1_ci_up	0.1645962
R_tp1_mean	0.05941909
R_tp1_ci_low	0.004964471
R_tp1_ci_med	0.03782803
R_tp1_ci_up	0.2412118
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.1354253
thetaR_max_ci_low	0.006552264
thetaR_max_ci_med	0.08696095
thetaR_max_ci_up	0.504273
cumInf_mean	0.1949719
cumInf_ci_low	0.007760643
cumInf_ci_med	0.1306822
cumInf_ci_up	0.6673855
dthetaI_tp1_date	10/07/20
first_tp_mean	09/27/20
first_tp_ci_low	05/31/20
first_tp_ci_med	10/26/20
first_tp_ci_up	11/13/20
dthetaI_tp2_date	10/07/20
second_tp_mean	10/01/20
second_tp_ci_low	06/03/20
second_tp_ci_med	10/31/20
second_tp_ci_up	11/13/20
end_p_mean	11/12/20
end_p_ci_low	11/13/20
end_p_ci_med	11/13/20
end_p_ci_up	11/13/20
begin_str	04/28/2020
