stat	value
thetaS_last_obs_p_mean	0.9998426
thetaI_last_obs_p_mean	7.611654e-05
thetaR_last_obs_p_mean	8.127612e-05
thetaS_last_obs_p_ci_low	0.9997885
thetaS_last_obs_p_ci_med	0.9998436
thetaS_last_obs_p_ci_up	0.9998906
thetaI_last_obs_p_ci_low	4.341553e-05
thetaI_last_obs_p_ci_med	7.498157e-05
thetaI_last_obs_p_ci_up	0.0001153669
thetaR_last_obs_p_ci_low	4.910717e-05
thetaR_last_obs_p_ci_med	8.035053e-05
thetaR_last_obs_p_ci_up	0.0001189669
R0_p_mean	1.83033
R0_p_ci_low	0.9397871
R0_p_ci_med	1.761579
R0_p_ci_up	3.12031
gamma_p_mean	0.1017415
gamma_p_ci_low	0.04022508
gamma_p_ci_med	0.0989115
gamma_p_ci_up	0.1795206
beta_p_mean	0.179278
beta_p_ci_low	0.06408777
beta_p_ci_med	0.1759824
beta_p_ci_up	0.3144287
incidence_mean	0.04410114
incidence_ci_low	0.0001356632
incidence_ci_median	0.0006730523
incidence_ci_up	0.5298128
thetaI_tp1_mean	0.004020798
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.04609823
thetaR_tp1_mean	0.009489632
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.0006044446
thetaR_tp1_ci_up	0.08704861
Y_tp1_mean	0.004020576
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.04610954
R_tp1_mean	0.009488815
R_tp1_ci_low	0
R_tp1_ci_med	0.0006049098
R_tp1_ci_up	0.08721985
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.03593524
thetaR_max_ci_low	0
thetaR_max_ci_med	0.000654817
thetaR_max_ci_up	0.4452587
cumInf_mean	0.04367877
cumInf_ci_low	0
cumInf_ci_med	0.0006621997
cumInf_ci_up	0.5270721
dthetaI_tp1_date	09/29/20
first_tp_mean	07/13/20
first_tp_ci_low	05/25/20
first_tp_ci_med	06/07/20
first_tp_ci_up	11/18/20
dthetaI_tp2_date	09/29/20
second_tp_mean	07/17/20
second_tp_ci_low	05/27/20
second_tp_ci_med	06/09/20
second_tp_ci_up	11/18/20
end_p_mean	09/09/20
end_p_ci_low	06/27/20
end_p_ci_med	08/22/20
end_p_ci_up	11/18/20
begin_str	05/03/2020
