date	value	lower_ci	upper_ci	incidence	scenario
2020-06-17	4472	1043	9888	NA	Soc. Dist. + Travel Ban
2020-06-18	4695	832	11094	223	Soc. Dist. + Travel Ban
2020-06-19	4929	704	12326	234	Soc. Dist. + Travel Ban
2020-06-20	5166	619	13572	237	Soc. Dist. + Travel Ban
2020-06-21	5415	539	14878	249	Soc. Dist. + Travel Ban
2020-06-22	5674	466	16239	259	Soc. Dist. + Travel Ban
2020-06-23	5943	390	17653	269	Soc. Dist. + Travel Ban
2020-06-24	6227	331	19210	284	Soc. Dist. + Travel Ban
2020-06-25	6525	273	20788	298	Soc. Dist. + Travel Ban
2020-06-26	6835	207	22484	310	Soc. Dist. + Travel Ban
2020-06-27	7167	152	24429	332	Soc. Dist. + Travel Ban
2020-06-28	7517	100	26500	350	Soc. Dist. + Travel Ban
2020-06-29	7886	49	28625	369	Soc. Dist. + Travel Ban
2020-06-30	8272	15	30991	386	Soc. Dist. + Travel Ban
2020-07-01	8688	0	33718	416	Soc. Dist. + Travel Ban
2020-07-02	9124	0	36515	436	Soc. Dist. + Travel Ban
2020-07-03	9589	0	39459	465	Soc. Dist. + Travel Ban
2020-07-04	10088	0	42826	499	Soc. Dist. + Travel Ban
2020-07-05	10625	0	46374	537	Soc. Dist. + Travel Ban
2020-07-06	11198	0	50429	573	Soc. Dist. + Travel Ban
2020-07-07	11812	0	54807	614	Soc. Dist. + Travel Ban
2020-07-08	12474	0	59467	662	Soc. Dist. + Travel Ban
2020-07-09	13187	0	64676	713	Soc. Dist. + Travel Ban
2020-07-10	13962	0	70763	775	Soc. Dist. + Travel Ban
2020-07-11	14792	0	76886	830	Soc. Dist. + Travel Ban
2020-07-12	15696	0	83693	904	Soc. Dist. + Travel Ban
2020-07-13	16682	0	90834	986	Soc. Dist. + Travel Ban
2020-07-14	17760	0	99068	1078	Soc. Dist. + Travel Ban
2020-07-15	18934	0	108260	1174	Soc. Dist. + Travel Ban
2020-07-16	20227	0	117869	1293	Soc. Dist. + Travel Ban
2020-07-17	21638	0	129062	1411	Soc. Dist. + Travel Ban
2020-07-18	23191	0	140606	1553	Soc. Dist. + Travel Ban
2020-07-19	24889	0	153336	1698	Soc. Dist. + Travel Ban
2020-07-20	26769	0	168239	1880	Soc. Dist. + Travel Ban
2020-07-21	28827	0	182944	2058	Soc. Dist. + Travel Ban
2020-07-22	31088	0	199832	2261	Soc. Dist. + Travel Ban
2020-07-23	33576	0	218341	2488	Soc. Dist. + Travel Ban
2020-07-24	36310	0	238544	2734	Soc. Dist. + Travel Ban
2020-07-25	39310	0	261262	3000	Soc. Dist. + Travel Ban
2020-07-26	42605	0	285728	3295	Soc. Dist. + Travel Ban
2020-07-27	46224	0	312612	3619	Soc. Dist. + Travel Ban
2020-07-28	50205	0	343271	3981	Soc. Dist. + Travel Ban
2020-07-29	54548	0	376075	4343	Soc. Dist. + Travel Ban
2020-07-30	59307	0	409208	4759	Soc. Dist. + Travel Ban
2020-07-31	64506	0	448340	5199	Soc. Dist. + Travel Ban
2020-08-01	70154	0	489633	5648	Soc. Dist. + Travel Ban
2020-08-02	76323	0	537597	6169	Soc. Dist. + Travel Ban
2020-08-03	83025	0	591135	6702	Soc. Dist. + Travel Ban
2020-08-04	90289	0	645414	7264	Soc. Dist. + Travel Ban
2020-08-05	98138	0	708486	7849	Soc. Dist. + Travel Ban
2020-08-06	106612	0	776478	8474	Soc. Dist. + Travel Ban
2020-08-07	115732	0	847323	9120	Soc. Dist. + Travel Ban
2020-08-08	125541	0	927572	9809	Soc. Dist. + Travel Ban
2020-08-09	136046	0	1016603	10505	Soc. Dist. + Travel Ban
2020-08-10	147290	0	1110439	11244	Soc. Dist. + Travel Ban
2020-08-11	159289	0	1213811	11999	Soc. Dist. + Travel Ban
2020-08-12	172078	0	1331517	12789	Soc. Dist. + Travel Ban
2020-08-13	185641	0	1457876	13563	Soc. Dist. + Travel Ban
2020-08-14	200045	0	1594719	14404	Soc. Dist. + Travel Ban
2020-08-15	215293	0	1741118	15248	Soc. Dist. + Travel Ban
2020-08-16	231352	0	1899128	16059	Soc. Dist. + Travel Ban
2020-08-17	248288	0	2072445	16936	Soc. Dist. + Travel Ban
2020-08-18	266100	0	2259379	17812	Soc. Dist. + Travel Ban
