stat	value
thetaS_last_obs_p_mean	0.9998369
thetaI_last_obs_p_mean	3.726405e-05
thetaR_last_obs_p_mean	0.0001258162
thetaS_last_obs_p_ci_low	0.9997854
thetaS_last_obs_p_ci_med	0.9998378
thetaS_last_obs_p_ci_up	0.9998832
thetaI_last_obs_p_ci_low	1.688665e-05
thetaI_last_obs_p_ci_med	3.637533e-05
thetaI_last_obs_p_ci_up	6.262957e-05
thetaR_last_obs_p_ci_low	8.530628e-05
thetaR_last_obs_p_ci_med	0.0001249629
thetaR_last_obs_p_ci_up	0.0001714658
R0_p_mean	1.461789
R0_p_ci_low	0.7250119
R0_p_ci_med	1.380013
R0_p_ci_up	2.688667
gamma_p_mean	0.1041025
gamma_p_ci_low	0.02472159
gamma_p_ci_med	0.09870866
gamma_p_ci_up	0.2151074
beta_p_mean	0.1430139
beta_p_ci_low	0.03508508
beta_p_ci_med	0.1368089
beta_p_ci_up	0.2858672
incidence_mean	0.1481881
incidence_ci_low	8.159385e-05
incidence_ci_median	0.000476678
incidence_ci_up	0.8450842
thetaI_tp1_mean	0.008238207
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.1008258
thetaR_tp1_mean	0.01512742
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.0004183152
thetaR_tp1_ci_up	0.1663012
Y_tp1_mean	0.00823921
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.1008497
R_tp1_mean	0.01512772
R_tp1_ci_low	0
R_tp1_ci_med	0.0004175367
R_tp1_ci_up	0.1662343
thetaI_tp2_mean	0.01728802
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0
thetaI_tp2_ci_up	0.1463289
thetaR_tp2_mean	0.08727085
thetaR_tp2_ci_low	0
thetaR_tp2_ci_med	0.0004977534
thetaR_tp2_ci_up	0.7367009
Y_tp2_mean	0.01728871
Y_tp2_ci_low	0
Y_tp2_ci_med	0
Y_tp2_ci_up	0.1463527
R_tp2_mean	0.08727022
R_tp2_ci_low	0
R_tp2_ci_med	0.0004976332
R_tp2_ci_up	0.7368091
thetaR_max_mean	0.1322649
thetaR_max_ci_low	0
thetaR_max_ci_med	0.0005033608
thetaR_max_ci_up	0.8128477
cumInf_mean	0.1475395
cumInf_ci_low	0
cumInf_ci_med	0.0005090017
cumInf_ci_up	0.8445055
dthetaI_tp1_date	08/28/20
first_tp_mean	07/16/20
first_tp_ci_low	05/08/20
first_tp_ci_med	06/05/20
first_tp_ci_up	11/19/20
dthetaI_tp2_date	10/18/20
second_tp_mean	07/22/20
second_tp_ci_low	05/10/20
second_tp_ci_med	06/06/20
second_tp_ci_up	11/19/20
end_p_mean	09/02/20
end_p_ci_low	06/22/20
end_p_ci_med	07/29/20
end_p_ci_up	11/19/20
begin_str	05/04/2020
