date	value	lower_ci	upper_ci	incidence	scenario
2020-06-18	14043	5532	26004	NA	Soc. Dist. + Travel Ban
2020-06-19	14433	4815	28616	390	Soc. Dist. + Travel Ban
2020-06-20	14828	4228	31089	395	Soc. Dist. + Travel Ban
2020-06-21	15232	3827	33463	404	Soc. Dist. + Travel Ban
2020-06-22	15638	3500	35926	406	Soc. Dist. + Travel Ban
2020-06-23	16049	3213	38323	411	Soc. Dist. + Travel Ban
2020-06-24	16463	2977	40775	414	Soc. Dist. + Travel Ban
2020-06-25	16889	2723	43114	426	Soc. Dist. + Travel Ban
2020-06-26	17324	2483	45693	435	Soc. Dist. + Travel Ban
2020-06-27	17775	2294	48309	451	Soc. Dist. + Travel Ban
2020-06-28	18223	2064	50837	448	Soc. Dist. + Travel Ban
2020-06-29	18678	1859	53612	455	Soc. Dist. + Travel Ban
2020-06-30	19145	1700	56312	467	Soc. Dist. + Travel Ban
2020-07-01	19632	1483	59245	487	Soc. Dist. + Travel Ban
2020-07-02	20138	1288	62297	506	Soc. Dist. + Travel Ban
2020-07-03	20636	1159	65278	498	Soc. Dist. + Travel Ban
2020-07-04	21143	974	68606	507	Soc. Dist. + Travel Ban
2020-07-05	21678	803	71901	535	Soc. Dist. + Travel Ban
2020-07-06	22241	649	75607	563	Soc. Dist. + Travel Ban
2020-07-07	22814	493	79398	573	Soc. Dist. + Travel Ban
2020-07-08	23393	341	83352	579	Soc. Dist. + Travel Ban
2020-07-09	23993	220	87755	600	Soc. Dist. + Travel Ban
2020-07-10	24622	98	91849	629	Soc. Dist. + Travel Ban
2020-07-11	25278	15	96384	656	Soc. Dist. + Travel Ban
2020-07-12	25956	0	101716	678	Soc. Dist. + Travel Ban
2020-07-13	26664	0	106398	708	Soc. Dist. + Travel Ban
2020-07-14	27411	0	111726	747	Soc. Dist. + Travel Ban
2020-07-15	28186	0	117849	775	Soc. Dist. + Travel Ban
2020-07-16	28988	0	123317	802	Soc. Dist. + Travel Ban
2020-07-17	29836	0	130072	848	Soc. Dist. + Travel Ban
2020-07-18	30726	0	136662	890	Soc. Dist. + Travel Ban
2020-07-19	31658	0	143963	932	Soc. Dist. + Travel Ban
2020-07-20	32637	0	150512	979	Soc. Dist. + Travel Ban
2020-07-21	33677	0	158827	1040	Soc. Dist. + Travel Ban
2020-07-22	34764	0	167321	1087	Soc. Dist. + Travel Ban
2020-07-23	35913	0	176259	1149	Soc. Dist. + Travel Ban
2020-07-24	37120	0	184952	1207	Soc. Dist. + Travel Ban
2020-07-25	38392	0	194929	1272	Soc. Dist. + Travel Ban
2020-07-26	39760	0	205180	1368	Soc. Dist. + Travel Ban
2020-07-27	41224	0	216506	1464	Soc. Dist. + Travel Ban
