date	value	lower_ci	upper_ci	incidence	scenario
2020-06-20	2290	902	4193	NA	Cautious return
2020-06-21	2358	789	4589	68	Cautious return
2020-06-22	2426	699	4956	68	Cautious return
2020-06-23	2498	631	5338	72	Cautious return
2020-06-24	2567	572	5678	69	Cautious return
2020-06-25	2638	526	6031	71	Cautious return
2020-06-26	2709	487	6393	71	Cautious return
2020-06-27	2780	458	6746	71	Cautious return
2020-06-28	2851	434	7100	71	Cautious return
2020-06-29	2924	410	7462	73	Cautious return
2020-06-30	2995	386	7850	71	Cautious return
2020-07-01	3068	368	8213	73	Cautious return
2020-07-02	3141	342	8568	73	Cautious return
2020-07-03	3212	319	8950	71	Cautious return
2020-07-04	3286	299	9338	74	Cautious return
2020-07-05	3361	283	9748	75	Cautious return
2020-07-06	3436	261	10165	75	Cautious return
2020-07-07	3513	239	10558	77	Cautious return
2020-07-08	3589	221	10997	76	Cautious return
2020-07-09	3667	200	11443	78	Cautious return
2020-07-10	3747	178	11903	80	Cautious return
2020-07-11	3827	158	12373	80	Cautious return
2020-07-12	3906	133	12824	79	Cautious return
2020-07-13	3988	115	13333	82	Cautious return
2020-07-14	4073	98	13800	85	Cautious return
2020-07-15	4157	80	14322	84	Cautious return
2020-07-16	4244	59	14859	87	Cautious return
2020-07-17	4332	40	15443	88	Cautious return
2020-07-18	4422	23	15976	90	Cautious return
2020-07-19	4515	9	16551	93	Cautious return
2020-07-20	4609	1	17123	94	Cautious return
2020-07-21	4703	0	17769	94	Cautious return
2020-07-22	4800	0	18423	97	Cautious return
2020-07-23	4900	0	19068	100	Cautious return
2020-07-24	5005	0	19784	105	Cautious return
2020-07-25	5109	0	20477	104	Cautious return
2020-07-26	5217	0	21233	108	Cautious return
2020-07-27	5329	0	22086	112	Cautious return
2020-07-28	5443	0	22867	114	Cautious return
2020-07-29	5560	0	23690	117	Cautious return
2020-07-30	5681	0	24531	121	Cautious return
2020-07-31	5804	0	25369	123	Cautious return
2020-08-01	5932	0	26326	128	Cautious return
2020-08-02	6061	0	27278	129	Cautious return
2020-08-03	6195	0	28400	134	Cautious return
