stat	value
thetaS_last_obs_p_mean	0.9991294
thetaI_last_obs_p_mean	0.0003781896
thetaR_last_obs_p_mean	0.0004924367
thetaS_last_obs_p_ci_low	0.9990086
thetaS_last_obs_p_ci_med	0.99913
thetaS_last_obs_p_ci_up	0.9992451
thetaI_last_obs_p_ci_low	0.0003025561
thetaI_last_obs_p_ci_med	0.0003773433
thetaI_last_obs_p_ci_up	0.0004589432
thetaR_last_obs_p_ci_low	0.0004072156
thetaR_last_obs_p_ci_med	0.0004915428
thetaR_last_obs_p_ci_up	0.0005830371
R0_p_mean	1.625104
R0_p_ci_low	0.9766991
R0_p_ci_med	1.573788
R0_p_ci_up	2.573502
gamma_p_mean	0.07591884
gamma_p_ci_low	0.03261317
gamma_p_ci_med	0.07477409
gamma_p_ci_up	0.1260482
beta_p_mean	0.1192045
beta_p_ci_low	0.05226398
beta_p_ci_med	0.118271
beta_p_ci_up	0.1910172
incidence_mean	0.3435109
incidence_ci_low	0.001584496
incidence_ci_median	0.2980611
incidence_ci_up	0.85553
thetaI_tp1_mean	0.02732982
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.008991355
thetaI_tp1_ci_up	0.1606688
thetaR_tp1_mean	0.04323956
thetaR_tp1_ci_low	0.001033573
thetaR_tp1_ci_med	0.01619612
thetaR_tp1_ci_up	0.2644372
Y_tp1_mean	0.02732985
Y_tp1_ci_low	0
Y_tp1_ci_med	0.008988237
Y_tp1_ci_up	0.1605719
R_tp1_mean	0.04324049
R_tp1_ci_low	0.001026937
R_tp1_ci_med	0.01620906
R_tp1_ci_up	0.2645867
thetaI_tp2_mean	0.05295441
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0.0377392
thetaI_tp2_ci_up	0.190009
thetaR_tp2_mean	0.200682
thetaR_tp2_ci_low	0.001199762
thetaR_tp2_ci_med	0.1015507
thetaR_tp2_ci_up	0.7376833
Y_tp2_mean	0.05295511
Y_tp2_ci_low	0
Y_tp2_ci_med	0.03771125
Y_tp2_ci_up	0.1898543
R_tp2_mean	0.200681
R_tp2_ci_low	0.001196192
R_tp2_ci_med	0.1015307
R_tp2_ci_up	0.7376768
thetaR_max_mean	0.2941975
thetaR_max_ci_low	0.001215187
thetaR_max_ci_med	0.2194707
thetaR_max_ci_up	0.8125186
cumInf_mean	0.3420251
cumInf_ci_low	0.001258986
cumInf_ci_med	0.2951283
cumInf_ci_up	0.8550541
dthetaI_tp1_date	09/09/20
first_tp_mean	09/29/20
first_tp_ci_low	06/07/20
first_tp_ci_med	10/10/20
first_tp_ci_up	11/24/20
dthetaI_tp2_date	10/28/20
second_tp_mean	10/12/20
second_tp_ci_low	06/09/20
second_tp_ci_med	10/31/20
second_tp_ci_up	11/24/20
end_p_mean	11/20/20
end_p_ci_low	09/08/20
end_p_ci_med	11/24/20
end_p_ci_up	11/24/20
begin_str	05/09/2020
