stat	value
thetaS_last_obs_p_mean	0.9997928
thetaI_last_obs_p_mean	7.648759e-05
thetaR_last_obs_p_mean	0.0001306634
thetaS_last_obs_p_ci_low	0.9997326
thetaS_last_obs_p_ci_med	0.9997939
thetaS_last_obs_p_ci_up	0.9998472
thetaI_last_obs_p_ci_low	4.412031e-05
thetaI_last_obs_p_ci_med	7.549106e-05
thetaI_last_obs_p_ci_up	0.0001147601
thetaR_last_obs_p_ci_low	8.895361e-05
thetaR_last_obs_p_ci_med	0.0001296632
thetaR_last_obs_p_ci_up	0.0001779387
R0_p_mean	1.615047
R0_p_ci_low	0.8405157
R0_p_ci_med	1.55617
R0_p_ci_up	2.738205
gamma_p_mean	0.09922234
gamma_p_ci_low	0.03855853
gamma_p_ci_med	0.09646305
gamma_p_ci_up	0.1754516
beta_p_mean	0.1544841
beta_p_ci_low	0.05554072
beta_p_ci_med	0.1510631
beta_p_ci_up	0.2739204
incidence_mean	0.3233851
incidence_ci_low	0.000175822
incidence_ci_median	0.1770791
incidence_ci_up	0.9000289
thetaI_tp1_mean	0.01849296
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.001319198
thetaI_tp1_ci_up	0.1657204
thetaR_tp1_mean	0.02804975
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.002723253
thetaR_tp1_ci_up	0.2720877
Y_tp1_mean	0.01849208
Y_tp1_ci_low	0
Y_tp1_ci_med	0.00131948
Y_tp1_ci_up	0.1657798
R_tp1_mean	0.02804957
R_tp1_ci_low	0
R_tp1_ci_med	0.002727008
R_tp1_ci_up	0.2721087
thetaI_tp2_mean	0.0378931
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0.007817576
thetaI_tp2_ci_up	0.1907893
thetaR_tp2_mean	0.1554618
thetaR_tp2_ci_low	0
thetaR_tp2_ci_med	0.01777639
thetaR_tp2_ci_up	0.795595
Y_tp2_mean	0.03789256
Y_tp2_ci_low	0
Y_tp2_ci_med	0.007817303
Y_tp2_ci_up	0.1906801
R_tp2_mean	0.1554603
R_tp2_ci_low	0
R_tp2_ci_med	0.01776154
R_tp2_ci_up	0.7953276
thetaR_max_mean	0.2950884
thetaR_max_ci_low	0
thetaR_max_ci_med	0.1248318
thetaR_max_ci_up	0.882408
cumInf_mean	0.3223645
cumInf_ci_low	0
cumInf_ci_med	0.1744652
cumInf_ci_up	0.9000775
dthetaI_tp1_date	08/28/20
first_tp_mean	09/01/20
first_tp_ci_low	05/27/20
first_tp_ci_med	09/16/20
first_tp_ci_up	11/26/20
dthetaI_tp2_date	10/09/20
second_tp_mean	09/11/20
second_tp_ci_low	05/30/20
second_tp_ci_med	10/05/20
second_tp_ci_up	11/26/20
end_p_mean	10/24/20
end_p_ci_low	07/06/20
end_p_ci_med	11/26/20
end_p_ci_up	11/26/20
begin_str	05/11/2020
