stat	value
thetaS_last_obs_p_mean	0.9990541
thetaI_last_obs_p_mean	0.0004059209
thetaR_last_obs_p_mean	0.0005400276
thetaS_last_obs_p_ci_low	0.9989281
thetaS_last_obs_p_ci_med	0.999055
thetaS_last_obs_p_ci_up	0.9991746
thetaI_last_obs_p_ci_low	0.0003284591
thetaI_last_obs_p_ci_med	0.0004049514
thetaI_last_obs_p_ci_up	0.0004888641
thetaR_last_obs_p_ci_low	0.0004512093
thetaR_last_obs_p_ci_med	0.0005389805
thetaR_last_obs_p_ci_up	0.0006352671
R0_p_mean	1.583942
R0_p_ci_low	0.9662117
R0_p_ci_med	1.53672
R0_p_ci_up	2.483932
gamma_p_mean	0.07611698
gamma_p_ci_low	0.0330429
gamma_p_ci_med	0.07513362
gamma_p_ci_up	0.1250713
beta_p_mean	0.1167047
beta_p_ci_low	0.051818
beta_p_ci_med	0.1159752
beta_p_ci_up	0.1858913
incidence_mean	0.05647298
incidence_ci_low	0.00104514
incidence_ci_median	0.01205345
incidence_ci_up	0.4238864
thetaI_tp1_mean	0.007927795
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.001147808
thetaI_tp1_ci_up	0.06588977
thetaR_tp1_mean	0.02122289
thetaR_tp1_ci_low	0.0004166892
thetaR_tp1_ci_med	0.00708638
thetaR_tp1_ci_up	0.1414453
Y_tp1_mean	0.007927581
Y_tp1_ci_low	0
Y_tp1_ci_med	0.001148255
Y_tp1_ci_up	0.06586175
R_tp1_mean	0.02122368
R_tp1_ci_low	0.0004129828
R_tp1_ci_med	0.007079192
R_tp1_ci_up	0.1413821
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.04357028
thetaR_max_ci_low	0.0002989666
thetaR_max_ci_med	0.01032754
thetaR_max_ci_up	0.3274487
cumInf_mean	0.05596775
cumInf_ci_low	0.000301305
cumInf_ci_med	0.01197112
cumInf_ci_up	0.4213787
dthetaI_tp1_date	10/24/20
first_tp_mean	08/12/20
first_tp_ci_low	06/03/20
first_tp_ci_med	06/22/20
first_tp_ci_up	11/26/20
dthetaI_tp2_date	10/24/20
second_tp_mean	08/16/20
second_tp_ci_low	06/05/20
second_tp_ci_med	06/24/20
second_tp_ci_up	11/26/20
end_p_mean	11/09/20
end_p_ci_low	08/06/20
end_p_ci_med	11/26/20
end_p_ci_up	11/26/20
begin_str	05/11/2020
