stat	value
thetaS_last_obs_p_mean	0.9998201
thetaI_last_obs_p_mean	6.552673e-05
thetaR_last_obs_p_mean	0.0001143429
thetaS_last_obs_p_ci_low	0.9997659
thetaS_last_obs_p_ci_med	0.9998211
thetaS_last_obs_p_ci_up	0.9998692
thetaI_last_obs_p_ci_low	3.704421e-05
thetaI_last_obs_p_ci_med	6.465798e-05
thetaI_last_obs_p_ci_up	9.896896e-05
thetaR_last_obs_p_ci_low	7.624044e-05
thetaR_last_obs_p_ci_med	0.0001134567
thetaR_last_obs_p_ci_up	0.0001576502
R0_p_mean	1.644792
R0_p_ci_low	0.8353622
R0_p_ci_med	1.566782
R0_p_ci_up	2.923332
gamma_p_mean	0.1009221
gamma_p_ci_low	0.03036244
gamma_p_ci_med	0.09697273
gamma_p_ci_up	0.1948767
beta_p_mean	0.1577239
beta_p_ci_low	0.04611612
beta_p_ci_med	0.1534823
beta_p_ci_up	0.2949674
incidence_mean	0.01462649
incidence_ci_low	0.0001156015
incidence_ci_median	0.0004674892
incidence_ci_up	0.1695918
thetaI_tp1_mean	0.00187429
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.01719189
thetaR_tp1_mean	0.004983654
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.0002841405
thetaR_tp1_ci_up	0.03806268
Y_tp1_mean	0.001874633
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.01723109
R_tp1_mean	0.004983237
R_tp1_ci_low	0
R_tp1_ci_med	0.0002833407
R_tp1_ci_up	0.03811344
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01133105
thetaR_max_ci_low	0
thetaR_max_ci_med	0.000242977
thetaR_max_ci_up	0.1192108
cumInf_mean	0.01440413
cumInf_ci_low	0
cumInf_ci_med	0.0002442333
cumInf_ci_up	0.1680237
dthetaI_tp1_date	10/25/20
first_tp_mean	06/28/20
first_tp_ci_low	05/21/20
first_tp_ci_med	06/08/20
first_tp_ci_up	11/27/20
dthetaI_tp2_date	10/25/20
second_tp_mean	07/02/20
second_tp_ci_low	05/23/20
second_tp_ci_med	06/10/20
second_tp_ci_up	11/27/20
end_p_mean	08/27/20
end_p_ci_low	07/03/20
end_p_ci_med	08/02/20
end_p_ci_up	11/27/20
begin_str	05/12/2020
