stat	value
thetaS_last_obs_p_mean	0.9999103
thetaI_last_obs_p_mean	2.244244e-05
thetaR_last_obs_p_mean	6.728489e-05
thetaS_last_obs_p_ci_low	0.9998722
thetaS_last_obs_p_ci_med	0.9999112
thetaS_last_obs_p_ci_up	0.9999433
thetaI_last_obs_p_ci_low	7.648773e-06
thetaI_last_obs_p_ci_med	2.156892e-05
thetaI_last_obs_p_ci_up	4.221153e-05
thetaR_last_obs_p_ci_low	3.902731e-05
thetaR_last_obs_p_ci_med	6.641744e-05
thetaR_last_obs_p_ci_up	0.0001004178
R0_p_mean	1.590551
R0_p_ci_low	0.7728319
R0_p_ci_med	1.506868
R0_p_ci_up	2.911859
gamma_p_mean	0.1145861
gamma_p_ci_low	0.02951372
gamma_p_ci_med	0.1089758
gamma_p_ci_up	0.2330441
beta_p_mean	0.172328
beta_p_ci_low	0.04331341
beta_p_ci_med	0.1653521
beta_p_ci_up	0.3433316
incidence_mean	0.1983698
incidence_ci_low	5.530523e-05
incidence_ci_median	0.0002940737
incidence_ci_up	0.8968473
thetaI_tp1_mean	0.00976038
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.1234667
thetaR_tp1_mean	0.0158939
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.0002179952
thetaR_tp1_ci_up	0.182003
Y_tp1_mean	0.009759573
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.1235266
R_tp1_mean	0.01589369
R_tp1_ci_low	0
R_tp1_ci_med	0.0002178158
R_tp1_ci_up	0.1820316
thetaI_tp2_mean	0.02053258
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0
thetaI_tp2_ci_up	0.1697104
thetaR_tp2_mean	0.09323581
thetaR_tp2_ci_low	0
thetaR_tp2_ci_med	0.0002294514
thetaR_tp2_ci_up	0.7730983
Y_tp2_mean	0.02053428
Y_tp2_ci_low	0
Y_tp2_ci_med	0
Y_tp2_ci_up	0.1697908
R_tp2_mean	0.09323364
R_tp2_ci_low	0
R_tp2_ci_med	0.0002284461
R_tp2_ci_up	0.7731488
thetaR_max_mean	0.1847295
thetaR_max_ci_low	0
thetaR_max_ci_med	0.0001744401
thetaR_max_ci_up	0.8795212
cumInf_mean	0.1978079
cumInf_ci_low	0
cumInf_ci_med	0.0001750076
cumInf_ci_up	0.8968035
dthetaI_tp1_date	08/24/20
first_tp_mean	07/20/20
first_tp_ci_low	05/18/20
first_tp_ci_med	06/11/20
first_tp_ci_up	11/28/20
dthetaI_tp2_date	10/03/20
second_tp_mean	07/26/20
second_tp_ci_low	05/20/20
second_tp_ci_med	06/13/20
second_tp_ci_up	11/28/20
end_p_mean	09/05/20
end_p_ci_low	06/30/20
end_p_ci_med	07/24/20
end_p_ci_up	11/28/20
begin_str	05/13/2020
