date	value	lower_ci	upper_ci	incidence	scenario
2020-06-28	82894	68522	98408	NA	Cautious return
2020-06-29	84572	67583	103056	1678	Cautious return
2020-06-30	86245	67002	107455	1673	Cautious return
2020-07-01	87896	66537	111655	1651	Cautious return
2020-07-02	89553	66100	115787	1657	Cautious return
2020-07-03	91206	65819	119807	1653	Cautious return
2020-07-04	92860	65725	123811	1654	Cautious return
2020-07-05	94504	65542	127669	1644	Cautious return
2020-07-06	96131	65531	131440	1627	Cautious return
2020-07-07	97781	65570	135178	1650	Cautious return
2020-07-08	99401	65635	139152	1620	Cautious return
2020-07-09	101027	65697	142703	1626	Cautious return
2020-07-10	102644	65830	146635	1617	Cautious return
2020-07-11	104263	65890	150388	1619	Cautious return
2020-07-12	105869	65986	154142	1606	Cautious return
2020-07-13	107482	66124	157832	1613	Cautious return
2020-07-14	109079	66260	161714	1597	Cautious return
2020-07-15	110682	66444	165473	1603	Cautious return
2020-07-16	112302	66640	169169	1620	Cautious return
2020-07-17	113886	66715	172988	1584	Cautious return
2020-07-18	115473	66995	176691	1587	Cautious return
2020-07-19	117064	67117	180304	1591	Cautious return
2020-07-20	118657	67274	184171	1593	Cautious return
2020-07-21	120240	67394	187963	1583	Cautious return
2020-07-22	121816	67727	191870	1576	Cautious return
2020-07-23	123401	67904	195765	1585	Cautious return
2020-07-24	124978	68079	199642	1577	Cautious return
2020-07-25	126560	68194	203443	1582	Cautious return
2020-07-26	128131	68394	207323	1571	Cautious return
2020-07-27	129708	68467	211352	1577	Cautious return
2020-07-28	131290	68665	215384	1582	Cautious return
2020-07-29	132846	68950	219318	1556	Cautious return
2020-07-30	134415	69009	223372	1569	Cautious return
2020-07-31	135974	69220	227629	1559	Cautious return
2020-08-01	137528	69417	231261	1554	Cautious return
2020-08-02	139096	69507	235739	1568	Cautious return
2020-08-03	140667	69625	239798	1571	Cautious return
2020-08-04	142219	69885	243945	1552	Cautious return
2020-08-05	143762	70067	247962	1543	Cautious return
2020-08-06	145316	70271	252515	1554	Cautious return
2020-08-07	146872	70463	257018	1556	Cautious return
2020-08-08	148436	70384	261273	1564	Cautious return
2020-08-09	149975	70591	265561	1539	Cautious return
2020-08-10	151539	70665	270085	1564	Cautious return
2020-08-11	153076	70956	274118	1537	Cautious return
2020-08-12	154642	71101	278497	1566	Cautious return
2020-08-13	156184	71225	283384	1542	Cautious return
2020-08-14	157726	71286	287400	1542	Cautious return
2020-08-15	159289	71478	292013	1563	Cautious return
2020-08-16	160838	71606	297036	1549	Cautious return
2020-08-17	162406	71848	301804	1568	Cautious return
2020-08-18	163942	71943	306591	1536	Cautious return
2020-08-19	165519	71987	311336	1577	Cautious return
2020-08-20	167071	72085	316050	1552	Cautious return
2020-08-21	168617	72103	321000	1546	Cautious return
2020-08-22	170187	72194	326074	1570	Cautious return
2020-08-23	171731	72266	330981	1544	Cautious return
