date	value	lower_ci	upper_ci	incidence	scenario
2020-06-28	2936	1321	5071	NA	Moderate return
2020-06-29	3031	1186	5554	95	Moderate return
2020-06-30	3131	1079	6017	100	Moderate return
2020-07-01	3232	998	6478	101	Moderate return
2020-07-02	3334	919	6945	102	Moderate return
2020-07-03	3439	856	7410	105	Moderate return
2020-07-04	3546	801	7871	107	Moderate return
2020-07-05	3656	749	8358	110	Moderate return
2020-07-06	3769	722	8834	113	Moderate return
2020-07-07	3885	697	9359	116	Moderate return
2020-07-08	4003	665	9866	118	Moderate return
2020-07-09	4127	647	10443	124	Moderate return
2020-07-10	4251	621	11044	124	Moderate return
2020-07-11	4380	606	11629	129	Moderate return
2020-07-12	4514	582	12226	134	Moderate return
2020-07-13	4651	559	12891	137	Moderate return
2020-07-14	4793	538	13634	142	Moderate return
2020-07-15	4942	514	14327	149	Moderate return
2020-07-16	5093	494	15114	151	Moderate return
2020-07-17	5249	471	15884	156	Moderate return
2020-07-18	5410	456	16759	161	Moderate return
2020-07-19	5578	433	17661	168	Moderate return
2020-07-20	5751	407	18603	173	Moderate return
2020-07-21	5932	383	19601	181	Moderate return
2020-07-22	6117	363	20615	185	Moderate return
2020-07-23	6310	341	21719	193	Moderate return
2020-07-24	6511	316	22892	201	Moderate return
2020-07-25	6717	292	24116	206	Moderate return
2020-07-26	6935	264	25442	218	Moderate return
2020-07-27	7160	246	26852	225	Moderate return
2020-07-28	7396	222	28347	236	Moderate return
2020-07-29	7645	195	29905	249	Moderate return
2020-07-30	7903	176	31567	258	Moderate return
2020-07-31	8172	157	33332	269	Moderate return
2020-08-01	8452	139	35241	280	Moderate return
2020-08-02	8746	110	37139	294	Moderate return
2020-08-03	9057	86	39285	311	Moderate return
2020-08-04	9384	68	41324	327	Moderate return
2020-08-05	9724	45	43780	340	Moderate return
2020-08-06	10078	26	46041	354	Moderate return
2020-08-07	10454	11	48672	376	Moderate return
2020-08-08	10849	1	51446	395	Moderate return
2020-08-09	11265	0	54509	416	Moderate return
2020-08-10	11701	0	57479	436	Moderate return
2020-08-11	12167	0	60998	466	Moderate return
2020-08-12	12651	0	64419	484	Moderate return
2020-08-13	13161	0	68194	510	Moderate return
2020-08-14	13702	0	71932	541	Moderate return
2020-08-15	14271	0	76147	569	Moderate return
2020-08-16	14870	0	80326	599	Moderate return
2020-08-17	15507	0	85248	637	Moderate return
2020-08-18	16174	0	90023	667	Moderate return
2020-08-19	16882	0	95256	708	Moderate return
2020-08-20	17629	0	100937	747	Moderate return
2020-08-21	18418	0	106752	789	Moderate return
2020-08-22	19251	0	112957	833	Moderate return
2020-08-23	20131	0	119582	880	Moderate return
2020-08-24	21058	0	126443	927	Moderate return
2020-08-25	22041	0	134230	983	Moderate return
2020-08-26	23073	0	141679	1032	Moderate return
2020-08-27	24161	0	150357	1088	Moderate return
2020-08-28	25307	0	159154	1146	Moderate return
2020-08-29	26520	0	168743	1213	Moderate return
2020-08-30	27792	0	177872	1272	Moderate return
2020-08-31	29131	0	188556	1339	Moderate return
2020-09-01	30543	0	199693	1412	Moderate return
2020-09-02	32026	0	211426	1483	Moderate return
2020-09-03	33582	0	222866	1556	Moderate return
2020-09-04	35212	0	237011	1630	Moderate return
2020-09-05	36926	0	250757	1714	Moderate return
2020-09-06	38723	0	265217	1797	Moderate return
2020-09-07	40603	0	280329	1880	Moderate return
2020-09-08	42573	0	296989	1970	Moderate return
2020-09-09	44632	0	314273	2059	Moderate return
2020-09-10	46783	0	332329	2151	Moderate return
2020-09-11	49031	0	351914	2248	Moderate return
2020-09-12	51379	0	371854	2348	Moderate return
2020-09-13	53824	0	393998	2445	Moderate return
2020-09-14	56368	0	415796	2544	Moderate return
2020-09-15	59015	0	439192	2647	Moderate return
2020-09-16	61767	0	465432	2752	Moderate return
2020-09-17	64617	0	491360	2850	Moderate return
2020-09-18	67573	0	518523	2956	Moderate return
2020-09-19	70643	0	547729	3070	Moderate return
2020-09-20	73811	0	578917	3168	Moderate return
2020-09-21	77098	0	610809	3287	Moderate return
2020-09-22	80498	0	644339	3400	Moderate return
2020-09-23	84003	0	678995	3505	Moderate return
2020-09-24	87628	0	716897	3625	Moderate return
2020-09-25	91357	0	756114	3729	Moderate return
2020-09-26	95203	0	796730	3846	Moderate return
2020-09-27	99160	0	839173	3957	Moderate return
2020-09-28	103229	0	883918	4069	Moderate return
2020-09-29	107416	0	930789	4187	Moderate return
2020-09-30	111718	0	980953	4302	Moderate return
2020-10-01	116124	0	1030706	4406	Moderate return
2020-10-02	120636	0	1084066	4512	Moderate return
2020-10-03	125269	0	1138260	4633	Moderate return
2020-10-04	130011	0	1195871	4742	Moderate return
2020-10-05	134861	0	1255136	4850	Moderate return
2020-10-06	139829	0	1315300	4968	Moderate return
2020-10-07	144909	0	1378977	5080	Moderate return
2020-10-08	150081	0	1445696	5172	Moderate return
2020-10-09	155367	0	1507065	5286	Moderate return
2020-10-10	160752	0	1577081	5385	Moderate return
2020-10-11	166240	0	1648803	5488	Moderate return
2020-10-12	171824	0	1720800	5584	Moderate return
2020-10-13	177504	0	1791837	5680	Moderate return
2020-10-14	183292	0	1867599	5788	Moderate return
2020-10-15	189178	0	1945501	5886	Moderate return
2020-10-16	195160	0	2021512	5982	Moderate return
2020-10-17	201242	0	2099380	6082	Moderate return
2020-10-18	207406	0	2181342	6164	Moderate return
2020-10-19	213653	0	2261342	6247	Moderate return
2020-10-20	220005	0	2341870	6352	Moderate return
2020-10-21	226432	0	2419797	6427	Moderate return
2020-10-22	232953	0	2504285	6521	Moderate return
2020-10-23	239540	0	2585416	6587	Moderate return
2020-10-24	246217	0	2670952	6677	Moderate return
2020-10-25	252970	0	2758446	6753	Moderate return
2020-10-26	259797	0	2848930	6827	Moderate return
2020-10-27	266699	0	2938256	6902	Moderate return
2020-10-28	273682	0	3027624	6983	Moderate return
2020-10-29	280729	0	3115899	7047	Moderate return
2020-10-30	287845	0	3207196	7116	Moderate return
2020-10-31	295024	0	3296757	7179	Moderate return
2020-11-01	302249	0	3383261	7225	Moderate return
2020-11-02	309546	0	3479143	7297	Moderate return
2020-11-03	316909	0	3571041	7363	Moderate return
2020-11-04	324328	0	3657769	7419	Moderate return
2020-11-05	331798	0	3752058	7470	Moderate return
2020-11-06	339315	0	3840150	7517	Moderate return
2020-11-07	346881	0	3935243	7566	Moderate return
2020-11-08	354504	0	4028627	7623	Moderate return
2020-11-09	362179	0	4120542	7675	Moderate return
2020-11-10	369885	0	4214072	7706	Moderate return
2020-11-11	377626	0	4303148	7741	Moderate return
2020-11-12	385410	0	4391356	7784	Moderate return
2020-11-13	393214	0	4483069	7804	Moderate return
2020-11-14	401077	0	4573633	7863	Moderate return
2020-11-15	408974	0	4662064	7897	Moderate return
2020-11-16	416879	0	4752469	7905	Moderate return
2020-11-17	424832	0	4832469	7953	Moderate return
2020-11-18	432808	0	4914676	7976	Moderate return
2020-11-19	440809	0	4992675	8001	Moderate return
2020-11-20	448808	0	5080153	7999	Moderate return
2020-11-21	456835	0	5157837	8027	Moderate return
2020-11-22	464873	0	5237679	8038	Moderate return
2020-11-23	472930	0	5308510	8057	Moderate return
2020-11-24	481006	0	5387254	8076	Moderate return
2020-11-25	489086	0	5458630	8080	Moderate return
2020-11-26	497177	0	5530415	8091	Moderate return
2020-11-27	505295	0	5603499	8118	Moderate return
2020-11-28	513409	0	5671651	8114	Moderate return
2020-11-29	521534	0	5743023	8125	Moderate return
