date	value	lower_ci	upper_ci	incidence	scenario
2020-06-29	2826	721	6147	NA	Normal (pre-intervention)
2020-06-30	2975	590	6946	149	Normal (pre-intervention)
2020-07-01	3139	502	7758	164	Normal (pre-intervention)
2020-07-02	3320	442	8657	181	Normal (pre-intervention)
2020-07-03	3520	388	9643	200	Normal (pre-intervention)
2020-07-04	3741	344	10678	221	Normal (pre-intervention)
2020-07-05	3982	303	11880	241	Normal (pre-intervention)
2020-07-06	4251	262	13275	269	Normal (pre-intervention)
2020-07-07	4548	223	14802	297	Normal (pre-intervention)
2020-07-08	4879	188	16555	331	Normal (pre-intervention)
2020-07-09	5251	148	18638	372	Normal (pre-intervention)
2020-07-10	5667	118	21056	416	Normal (pre-intervention)
2020-07-11	6134	81	23856	467	Normal (pre-intervention)
2020-07-12	6664	50	27137	530	Normal (pre-intervention)
2020-07-13	7266	26	30866	602	Normal (pre-intervention)
2020-07-14	7953	7	35358	687	Normal (pre-intervention)
2020-07-15	8732	0	40674	779	Normal (pre-intervention)
2020-07-16	9625	0	46789	893	Normal (pre-intervention)
2020-07-17	10649	0	54008	1024	Normal (pre-intervention)
2020-07-18	11835	0	62466	1186	Normal (pre-intervention)
2020-07-19	13201	0	72247	1366	Normal (pre-intervention)
2020-07-20	14774	0	83353	1573	Normal (pre-intervention)
2020-07-21	16613	0	96905	1839	Normal (pre-intervention)
2020-07-22	18738	0	112748	2125	Normal (pre-intervention)
2020-07-23	21225	0	131302	2487	Normal (pre-intervention)
2020-07-24	24117	0	152690	2892	Normal (pre-intervention)
2020-07-25	27487	0	177561	3370	Normal (pre-intervention)
2020-07-26	31416	0	207375	3929	Normal (pre-intervention)
2020-07-27	35991	0	241332	4575	Normal (pre-intervention)
2020-07-28	41288	0	282415	5297	Normal (pre-intervention)
2020-07-29	47414	0	329285	6126	Normal (pre-intervention)
2020-07-30	54482	0	384107	7068	Normal (pre-intervention)
2020-07-31	62609	0	448312	8127	Normal (pre-intervention)
2020-08-01	71921	0	522719	9312	Normal (pre-intervention)
2020-08-02	82523	0	609752	10602	Normal (pre-intervention)
2020-08-03	94555	0	711791	12032	Normal (pre-intervention)
2020-08-04	108142	0	829745	13587	Normal (pre-intervention)
2020-08-05	123394	0	965451	15252	Normal (pre-intervention)
2020-08-06	140434	0	1121010	17040	Normal (pre-intervention)
2020-08-07	159378	0	1301680	18944	Normal (pre-intervention)
2020-08-08	180323	0	1508635	20945	Normal (pre-intervention)
2020-08-09	203371	0	1743517	23048	Normal (pre-intervention)
2020-08-10	228576	0	2007475	25205	Normal (pre-intervention)
2020-08-11	256031	0	2314581	27455	Normal (pre-intervention)
2020-08-12	285798	0	2652403	29767	Normal (pre-intervention)
2020-08-13	317902	0	3038128	32104	Normal (pre-intervention)
2020-08-14	352439	0	3449662	34537	Normal (pre-intervention)
2020-08-15	389371	0	3910465	36932	Normal (pre-intervention)
2020-08-16	428718	0	4408149	39347	Normal (pre-intervention)
2020-08-17	470463	0	4952818	41745	Normal (pre-intervention)
2020-08-18	514631	0	5520781	44168	Normal (pre-intervention)
2020-08-19	561161	0	6119536	46530	Normal (pre-intervention)
2020-08-20	610051	0	6719964	48890	Normal (pre-intervention)
2020-08-21	661199	0	7342765	51148	Normal (pre-intervention)
2020-08-22	714594	0	7986443	53395	Normal (pre-intervention)
2020-08-23	770157	0	8636002	55563	Normal (pre-intervention)
2020-08-24	827793	0	9311609	57636	Normal (pre-intervention)
2020-08-25	887493	0	9978134	59700	Normal (pre-intervention)
2020-08-26	949105	0	10649979	61612	Normal (pre-intervention)
2020-08-27	1012580	0	11319729	63475	Normal (pre-intervention)
2020-08-28	1077814	0	11991635	65234	Normal (pre-intervention)
2020-08-29	1144740	0	12654582	66926	Normal (pre-intervention)
2020-08-30	1213211	0	13314330	68471	Normal (pre-intervention)
2020-08-31	1283107	0	13947465	69896	Normal (pre-intervention)
2020-09-01	1354358	0	14571989	71251	Normal (pre-intervention)
2020-09-02	1426843	0	15168463	72485	Normal (pre-intervention)
2020-09-03	1500452	0	15751417	73609	Normal (pre-intervention)
2020-09-04	1575099	0	16325485	74647	Normal (pre-intervention)
2020-09-05	1650701	0	16863053	75602	Normal (pre-intervention)
2020-09-06	1727139	0	17386189	76438	Normal (pre-intervention)
2020-09-07	1804339	0	17861055	77200	Normal (pre-intervention)
2020-09-08	1882185	0	18321711	77846	Normal (pre-intervention)
2020-09-09	1960599	0	18759482	78414	Normal (pre-intervention)
2020-09-10	2039469	0	19168126	78870	Normal (pre-intervention)
2020-09-11	2118792	0	19551184	79323	Normal (pre-intervention)
2020-09-12	2198373	0	19897442	79581	Normal (pre-intervention)
2020-09-13	2278138	0	20223334	79765	Normal (pre-intervention)
2020-09-14	2358028	0	20532967	79890	Normal (pre-intervention)
2020-09-15	2438019	0	20815157	79991	Normal (pre-intervention)
2020-09-16	2518002	0	21077339	79983	Normal (pre-intervention)
2020-09-17	2597934	0	21325606	79932	Normal (pre-intervention)
2020-09-18	2677681	0	21563566	79747	Normal (pre-intervention)
2020-09-19	2757258	0	21774984	79577	Normal (pre-intervention)
2020-09-20	2836562	0	21965499	79304	Normal (pre-intervention)
2020-09-21	2915551	0	22167692	78989	Normal (pre-intervention)
2020-09-22	2994121	0	22343111	78570	Normal (pre-intervention)
2020-09-23	3072309	0	22507776	78188	Normal (pre-intervention)
2020-09-24	3150055	0	22669591	77746	Normal (pre-intervention)
2020-09-25	3227279	0	22805435	77224	Normal (pre-intervention)
2020-09-26	3303946	0	22926335	76667	Normal (pre-intervention)
2020-09-27	3379992	0	23047939	76046	Normal (pre-intervention)
2020-09-28	3455438	0	23169724	75446	Normal (pre-intervention)
2020-09-29	3530230	0	23275673	74792	Normal (pre-intervention)
2020-09-30	3604374	0	23368029	74144	Normal (pre-intervention)
2020-10-01	3677753	0	23448473	73379	Normal (pre-intervention)
2020-10-02	3750403	0	23528257	72650	Normal (pre-intervention)
2020-10-03	3822221	0	23609556	71818	Normal (pre-intervention)
2020-10-04	3893302	0	23693670	71081	Normal (pre-intervention)
2020-10-05	3963597	0	23770061	70295	Normal (pre-intervention)
2020-10-06	4033031	0	23839241	69434	Normal (pre-intervention)
2020-10-07	4101618	0	23894044	68587	Normal (pre-intervention)
2020-10-08	4169394	0	23945915	67776	Normal (pre-intervention)
2020-10-09	4236243	0	23989758	66849	Normal (pre-intervention)
2020-10-10	4302252	0	24031628	66009	Normal (pre-intervention)
2020-10-11	4367435	0	24067569	65183	Normal (pre-intervention)
2020-10-12	4431759	0	24102240	64324	Normal (pre-intervention)
2020-10-13	4495120	0	24135003	63361	Normal (pre-intervention)
2020-10-14	4557592	0	24169390	62472	Normal (pre-intervention)
2020-10-15	4619176	0	24207610	61584	Normal (pre-intervention)
2020-10-16	4679890	0	24238762	60714	Normal (pre-intervention)
2020-10-17	4739683	0	24274285	59793	Normal (pre-intervention)
2020-10-18	4798622	0	24303181	58939	Normal (pre-intervention)
2020-10-19	4856622	0	24326315	58000	Normal (pre-intervention)
2020-10-20	4913781	0	24344943	57159	Normal (pre-intervention)
2020-10-21	4970063	0	24361642	56282	Normal (pre-intervention)
2020-10-22	5025491	0	24375970	55428	Normal (pre-intervention)
2020-10-23	5080001	0	24392169	54510	Normal (pre-intervention)
2020-10-24	5133641	0	24399125	53640	Normal (pre-intervention)
2020-10-25	5186496	0	24405003	52855	Normal (pre-intervention)
2020-10-26	5238541	0	24419316	52045	Normal (pre-intervention)
2020-10-27	5289636	0	24442770	51095	Normal (pre-intervention)
2020-10-28	5339925	0	24452773	50289	Normal (pre-intervention)
2020-10-29	5389365	0	24465432	49440	Normal (pre-intervention)
2020-10-30	5438092	0	24476963	48727	Normal (pre-intervention)
2020-10-31	5485892	0	24476625	47800	Normal (pre-intervention)
2020-11-01	5532938	0	24480647	47046	Normal (pre-intervention)
2020-11-02	5579224	0	24475085	46286	Normal (pre-intervention)
2020-11-03	5624666	0	24472621	45442	Normal (pre-intervention)
2020-11-04	5669411	0	24471529	44745	Normal (pre-intervention)
2020-11-05	5713337	0	24476151	43926	Normal (pre-intervention)
2020-11-06	5756519	0	24472587	43182	Normal (pre-intervention)
2020-11-07	5798921	0	24481410	42402	Normal (pre-intervention)
2020-11-08	5840677	0	24477635	41756	Normal (pre-intervention)
2020-11-09	5881714	0	24468457	41037	Normal (pre-intervention)
2020-11-10	5921974	0	24459196	40260	Normal (pre-intervention)
2020-11-11	5961547	0	24462617	39573	Normal (pre-intervention)
2020-11-12	6000472	0	24447396	38925	Normal (pre-intervention)
2020-11-13	6038704	0	24443992	38232	Normal (pre-intervention)
2020-11-14	6076234	0	24441379	37530	Normal (pre-intervention)
2020-11-15	6113161	0	24432034	36927	Normal (pre-intervention)
2020-11-16	6149441	0	24429819	36280	Normal (pre-intervention)
2020-11-17	6185086	0	24421003	35645	Normal (pre-intervention)
2020-11-18	6220022	0	24412279	34936	Normal (pre-intervention)
2020-11-19	6254420	0	24397792	34398	Normal (pre-intervention)
2020-11-20	6288207	0	24381840	33787	Normal (pre-intervention)
2020-11-21	6321352	0	24375932	33145	Normal (pre-intervention)
2020-11-22	6353943	0	24362806	32591	Normal (pre-intervention)
2020-11-23	6385958	0	24360776	32015	Normal (pre-intervention)
2020-11-24	6417395	0	24338058	31437	Normal (pre-intervention)
2020-11-25	6448257	0	24327121	30862	Normal (pre-intervention)
2020-11-26	6478554	0	24315661	30297	Normal (pre-intervention)
2020-11-27	6508342	0	24306621	29788	Normal (pre-intervention)
2020-11-28	6537619	0	24288227	29277	Normal (pre-intervention)
2020-11-29	6566369	0	24274337	28750	Normal (pre-intervention)
2020-11-30	6594614	0	24263561	28245	Normal (pre-intervention)
