stat	value
thetaS_last_obs_p_mean	0.9997837
thetaI_last_obs_p_mean	8.570337e-05
thetaR_last_obs_p_mean	0.0001305978
thetaS_last_obs_p_ci_low	0.9997237
thetaS_last_obs_p_ci_med	0.9997847
thetaS_last_obs_p_ci_up	0.9998383
thetaI_last_obs_p_ci_low	5.174874e-05
thetaI_last_obs_p_ci_med	8.484077e-05
thetaI_last_obs_p_ci_up	0.0001248847
thetaR_last_obs_p_ci_low	8.95399e-05
thetaR_last_obs_p_ci_med	0.0001297403
thetaR_last_obs_p_ci_up	0.000176681
R0_p_mean	1.645955
R0_p_ci_low	0.8447245
R0_p_ci_med	1.567883
R0_p_ci_up	2.914757
gamma_p_mean	0.09879905
gamma_p_ci_low	0.02942862
gamma_p_ci_med	0.09508111
gamma_p_ci_up	0.1906163
beta_p_mean	0.1544618
beta_p_ci_low	0.04511979
beta_p_ci_med	0.150538
beta_p_ci_up	0.2877345
incidence_mean	0.08437102
incidence_ci_low	0.0001471897
incidence_ci_median	0.001215946
incidence_ci_up	0.7020742
thetaI_tp1_mean	0.006339966
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	9.27438e-06
thetaI_tp1_ci_up	0.07182463
thetaR_tp1_mean	0.01314074
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.0009581124
thetaR_tp1_ci_up	0.128794
Y_tp1_mean	0.006340102
Y_tp1_ci_low	0
Y_tp1_ci_med	6.524396e-06
Y_tp1_ci_up	0.07184807
R_tp1_mean	0.01314026
R_tp1_ci_low	0
R_tp1_ci_med	0.0009581608
R_tp1_ci_up	0.1288052
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.07052187
thetaR_max_ci_low	0
thetaR_max_ci_med	0.001320789
thetaR_max_ci_up	0.6412346
cumInf_mean	0.08375493
cumInf_ci_low	0
cumInf_ci_med	0.001366702
cumInf_ci_up	0.7007034
dthetaI_tp1_date	09/28/20
first_tp_mean	08/07/20
first_tp_ci_low	05/24/20
first_tp_ci_med	06/26/20
first_tp_ci_up	11/30/20
dthetaI_tp2_date	09/28/20
second_tp_mean	08/13/20
second_tp_ci_low	05/26/20
second_tp_ci_med	06/28/20
second_tp_ci_up	11/30/20
end_p_mean	09/30/20
end_p_ci_low	07/09/20
end_p_ci_med	10/04/20
end_p_ci_up	11/30/20
begin_str	05/15/2020
