date	value	lower_ci	upper_ci	incidence	scenario
2020-06-29	13616	5126	25782	NA	Moderate return
2020-06-30	13963	4376	28371	347	Moderate return
2020-07-01	14307	3869	30893	344	Moderate return
2020-07-02	14655	3473	33199	348	Moderate return
2020-07-03	15001	3122	35468	346	Moderate return
2020-07-04	15352	2804	37792	351	Moderate return
2020-07-05	15707	2521	40096	355	Moderate return
2020-07-06	16059	2300	42285	352	Moderate return
2020-07-07	16419	2040	44756	360	Moderate return
2020-07-08	16784	1832	47037	365	Moderate return
2020-07-09	17158	1576	49479	374	Moderate return
2020-07-10	17521	1364	51942	363	Moderate return
2020-07-11	17911	1189	54482	390	Moderate return
2020-07-12	18308	1002	57131	397	Moderate return
2020-07-13	18715	805	59860	407	Moderate return
2020-07-14	19109	650	62585	394	Moderate return
2020-07-15	19509	468	65441	400	Moderate return
2020-07-16	19938	320	68312	429	Moderate return
2020-07-17	20365	167	71486	427	Moderate return
2020-07-18	20805	67	74473	440	Moderate return
2020-07-19	21270	6	77994	465	Moderate return
2020-07-20	21749	0	81420	479	Moderate return
2020-07-21	22233	0	84959	484	Moderate return
2020-07-22	22725	0	88780	492	Moderate return
2020-07-23	23255	0	92808	530	Moderate return
2020-07-24	23794	0	96860	539	Moderate return
2020-07-25	24343	0	101259	549	Moderate return
2020-07-26	24927	0	105787	584	Moderate return
2020-07-27	25535	0	110638	608	Moderate return
2020-07-28	26161	0	115456	626	Moderate return
2020-07-29	26797	0	120529	636	Moderate return
2020-07-30	27468	0	126063	671	Moderate return
2020-07-31	28176	0	132062	708	Moderate return
2020-08-01	28917	0	137641	741	Moderate return
2020-08-02	29700	0	143682	783	Moderate return
2020-08-03	30509	0	150280	809	Moderate return
2020-08-04	31353	0	157253	844	Moderate return
2020-08-05	32240	0	164177	887	Moderate return
2020-08-06	33174	0	171611	934	Moderate return
2020-08-07	34164	0	179636	990	Moderate return
2020-08-08	35216	0	188200	1052	Moderate return
2020-08-09	36291	0	196769	1075	Moderate return
2020-08-10	37443	0	205774	1152	Moderate return
2020-08-11	38659	0	215061	1216	Moderate return
2020-08-12	39952	0	225025	1293	Moderate return
2020-08-13	41310	0	235403	1358	Moderate return
2020-08-14	42738	0	246829	1428	Moderate return
2020-08-15	44257	0	258432	1519	Moderate return
2020-08-16	45881	0	269305	1624	Moderate return
2020-08-17	47608	0	283600	1727	Moderate return
2020-08-18	49420	0	296112	1812	Moderate return
2020-08-19	51364	0	308901	1944	Moderate return
2020-08-20	53427	0	325002	2063	Moderate return
2020-08-21	55616	0	340660	2189	Moderate return
2020-08-22	57920	0	356898	2304	Moderate return
2020-08-23	60376	0	374042	2456	Moderate return
2020-08-24	62978	0	392411	2602	Moderate return
2020-08-25	65731	0	410545	2753	Moderate return
2020-08-26	68657	0	429892	2926	Moderate return
2020-08-27	71764	0	451880	3107	Moderate return
2020-08-28	75045	0	474185	3281	Moderate return
2020-08-29	78524	0	498339	3479	Moderate return
2020-08-30	82191	0	520750	3667	Moderate return
2020-08-31	86075	0	546484	3884	Moderate return
2020-09-01	90172	0	572814	4097	Moderate return
2020-09-02	94510	0	603588	4338	Moderate return
2020-09-03	99078	0	633607	4568	Moderate return
2020-09-04	103866	0	664552	4788	Moderate return
2020-09-05	108912	0	697689	5046	Moderate return
2020-09-06	114227	0	730168	5315	Moderate return
2020-09-07	119776	0	763618	5549	Moderate return
2020-09-08	125601	0	804211	5825	Moderate return
2020-09-09	131686	0	841712	6085	Moderate return
2020-09-10	138077	0	882667	6391	Moderate return
2020-09-11	144762	0	924353	6685	Moderate return
2020-09-12	151744	0	970211	6982	Moderate return
2020-09-13	159015	0	1021266	7271	Moderate return
2020-09-14	166599	0	1071646	7584	Moderate return
2020-09-15	174486	0	1127693	7887	Moderate return
2020-09-16	182682	0	1179647	8196	Moderate return
2020-09-17	191216	0	1240063	8534	Moderate return
2020-09-18	200049	0	1297900	8833	Moderate return
2020-09-19	209191	0	1368793	9142	Moderate return
2020-09-20	218721	0	1432078	9530	Moderate return
2020-09-21	228539	0	1513070	9818	Moderate return
2020-09-22	238712	0	1585781	10173	Moderate return
2020-09-23	249193	0	1663539	10481	Moderate return
2020-09-24	259992	0	1747414	10799	Moderate return
2020-09-25	271138	0	1834335	11146	Moderate return
2020-09-26	282610	0	1919350	11472	Moderate return
2020-09-27	294353	0	2016382	11743	Moderate return
2020-09-28	306482	0	2119410	12129	Moderate return
2020-09-29	318907	0	2221478	12425	Moderate return
2020-09-30	331617	0	2333214	12710	Moderate return
2020-10-01	344687	0	2440843	13070	Moderate return
2020-10-02	358050	0	2569763	13363	Moderate return
2020-10-03	371728	0	2703152	13678	Moderate return
2020-10-04	385709	0	2832231	13981	Moderate return
2020-10-05	400053	0	2973294	14344	Moderate return
2020-10-06	414649	0	3119798	14596	Moderate return
2020-10-07	429515	0	3265925	14866	Moderate return
2020-10-08	444681	0	3412522	15166	Moderate return
2020-10-09	460131	0	3574852	15450	Moderate return
2020-10-10	475893	0	3744985	15762	Moderate return
2020-10-11	491930	0	3909811	16037	Moderate return
2020-10-12	508150	0	4086887	16220	Moderate return
2020-10-13	524648	0	4279377	16498	Moderate return
2020-10-14	541404	0	4471656	16756	Moderate return
2020-10-15	558426	0	4673797	17022	Moderate return
2020-10-16	575650	0	4871605	17224	Moderate return
2020-10-17	593191	0	5104042	17541	Moderate return
2020-10-18	610917	0	5327871	17726	Moderate return
2020-10-19	628864	0	5556624	17947	Moderate return
2020-10-20	647027	0	5818879	18163	Moderate return
2020-10-21	665336	0	6045598	18309	Moderate return
2020-10-22	683906	0	6294680	18570	Moderate return
2020-10-23	702683	0	6565946	18777	Moderate return
2020-10-24	721620	0	6817424	18937	Moderate return
2020-10-25	740717	0	7093156	19097	Moderate return
2020-10-26	759981	0	7360811	19264	Moderate return
2020-10-27	779441	0	7650388	19460	Moderate return
2020-10-28	799097	0	7956022	19656	Moderate return
2020-10-29	818875	0	8262617	19778	Moderate return
2020-10-30	838844	0	8558575	19969	Moderate return
2020-10-31	858910	0	8904808	20066	Moderate return
2020-11-01	879200	0	9225720	20290	Moderate return
2020-11-02	899566	0	9574433	20366	Moderate return
2020-11-03	920067	0	9905192	20501	Moderate return
2020-11-04	940647	0	10259646	20580	Moderate return
2020-11-05	961380	0	10622035	20733	Moderate return
