date	value	lower_ci	upper_ci	incidence	scenario
2020-06-29	13604	5099	25792	NA	Normal (pre-intervention)
2020-06-30	14070	4385	28681	466	Normal (pre-intervention)
2020-07-01	14561	3858	31522	491	Normal (pre-intervention)
2020-07-02	15075	3511	34311	514	Normal (pre-intervention)
2020-07-03	15612	3160	37363	537	Normal (pre-intervention)
2020-07-04	16194	2909	40419	582	Normal (pre-intervention)
2020-07-05	16806	2607	43682	612	Normal (pre-intervention)
2020-07-06	17470	2400	47196	664	Normal (pre-intervention)
2020-07-07	18175	2180	51149	705	Normal (pre-intervention)
2020-07-08	18920	1985	55122	745	Normal (pre-intervention)
2020-07-09	19731	1768	59812	811	Normal (pre-intervention)
2020-07-10	20604	1576	64609	873	Normal (pre-intervention)
2020-07-11	21538	1391	70183	934	Normal (pre-intervention)
2020-07-12	22544	1216	76236	1006	Normal (pre-intervention)
2020-07-13	23642	1011	82864	1098	Normal (pre-intervention)
2020-07-14	24821	856	90510	1179	Normal (pre-intervention)
2020-07-15	26119	692	98904	1298	Normal (pre-intervention)
2020-07-16	27522	521	108072	1403	Normal (pre-intervention)
2020-07-17	29049	376	118198	1527	Normal (pre-intervention)
2020-07-18	30725	233	129869	1676	Normal (pre-intervention)
2020-07-19	32556	103	143144	1831	Normal (pre-intervention)
2020-07-20	34562	16	157340	2006	Normal (pre-intervention)
2020-07-21	36770	0	173482	2208	Normal (pre-intervention)
2020-07-22	39202	0	190920	2432	Normal (pre-intervention)
2020-07-23	41897	0	210679	2695	Normal (pre-intervention)
2020-07-24	44880	0	233062	2983	Normal (pre-intervention)
2020-07-25	48214	0	258259	3334	Normal (pre-intervention)
2020-07-26	51884	0	286084	3670	Normal (pre-intervention)
2020-07-27	55985	0	318026	4101	Normal (pre-intervention)
2020-07-28	60562	0	352059	4577	Normal (pre-intervention)
2020-07-29	65665	0	390071	5103	Normal (pre-intervention)
2020-07-30	71356	0	433451	5691	Normal (pre-intervention)
2020-07-31	77712	0	481599	6356	Normal (pre-intervention)
2020-08-01	84774	0	537149	7062	Normal (pre-intervention)
2020-08-02	92683	0	595710	7909	Normal (pre-intervention)
2020-08-03	101493	0	662871	8810	Normal (pre-intervention)
2020-08-04	111268	0	739338	9775	Normal (pre-intervention)
2020-08-05	122175	0	822190	10907	Normal (pre-intervention)
2020-08-06	134277	0	915489	12102	Normal (pre-intervention)
2020-08-07	147662	0	1023170	13385	Normal (pre-intervention)
2020-08-08	162465	0	1133980	14803	Normal (pre-intervention)
2020-08-09	178788	0	1265840	16323	Normal (pre-intervention)
2020-08-10	196740	0	1408794	17952	Normal (pre-intervention)
2020-08-11	216421	0	1572934	19681	Normal (pre-intervention)
2020-08-12	237960	0	1748764	21539	Normal (pre-intervention)
2020-08-13	261375	0	1941069	23415	Normal (pre-intervention)
2020-08-14	286897	0	2166826	25522	Normal (pre-intervention)
2020-08-15	314549	0	2408257	27652	Normal (pre-intervention)
2020-08-16	344471	0	2670250	29922	Normal (pre-intervention)
2020-08-17	376657	0	2969777	32186	Normal (pre-intervention)
2020-08-18	411242	0	3301578	34585	Normal (pre-intervention)
2020-08-19	448251	0	3665084	37009	Normal (pre-intervention)
2020-08-20	487742	0	4059592	39491	Normal (pre-intervention)
2020-08-21	529840	0	4505903	42098	Normal (pre-intervention)
2020-08-22	574503	0	4989700	44663	Normal (pre-intervention)
2020-08-23	621770	0	5520493	47267	Normal (pre-intervention)
2020-08-24	671650	0	6072263	49880	Normal (pre-intervention)
2020-08-25	724214	0	6702377	52564	Normal (pre-intervention)
2020-08-26	779456	0	7381032	55242	Normal (pre-intervention)
2020-08-27	837389	0	8113681	57933	Normal (pre-intervention)
2020-08-28	897965	0	8889735	60576	Normal (pre-intervention)
2020-08-29	961230	0	9684580	63265	Normal (pre-intervention)
2020-08-30	1027068	0	10532322	65838	Normal (pre-intervention)
2020-08-31	1095456	0	11404657	68388	Normal (pre-intervention)
2020-09-01	1166368	0	12334813	70912	Normal (pre-intervention)
2020-09-02	1239779	0	13300544	73411	Normal (pre-intervention)
2020-09-03	1315609	0	14336938	75830	Normal (pre-intervention)
2020-09-04	1393801	0	15345234	78192	Normal (pre-intervention)
2020-09-05	1474273	0	16452828	80472	Normal (pre-intervention)
2020-09-06	1557011	0	17629167	82738	Normal (pre-intervention)
2020-09-07	1641862	0	18778978	84851	Normal (pre-intervention)
2020-09-08	1728841	0	19962920	86979	Normal (pre-intervention)
2020-09-09	1817853	0	21156896	89012	Normal (pre-intervention)
2020-09-10	1908785	0	22395444	90932	Normal (pre-intervention)
2020-09-11	2001528	0	23687199	92743	Normal (pre-intervention)
2020-09-12	2096086	0	24942272	94558	Normal (pre-intervention)
2020-09-13	2192245	0	26226510	96159	Normal (pre-intervention)
2020-09-14	2290028	0	27553913	97783	Normal (pre-intervention)
2020-09-15	2389491	0	28863283	99463	Normal (pre-intervention)
