date	value	incidence	scenario	lower_ci	upper_ci
2020-05-16	30706	NA	Observed	NA	NA
2020-05-17	33053	2347	Observed	NA	NA
2020-05-18	35058	2005	Observed	NA	NA
2020-05-19	37136	2078	Observed	NA	NA
2020-05-20	39297	2161	Observed	NA	NA
2020-05-21	41642	2345	Observed	NA	NA
2020-05-22	44582	2940	Observed	NA	NA
2020-05-23	47190	2608	Observed	NA	NA
2020-05-24	50231	3041	Observed	NA	NA
2020-05-25	52667	2436	Observed	NA	NA
2020-05-26	54758	2091	Observed	NA	NA
2020-05-27	56948	2190	Observed	NA	NA
2020-05-28	59546	2598	Observed	NA	NA
2020-05-29	62228	2682	Observed	NA	NA
2020-05-30	65168	2940	Observed	NA	NA
2020-05-31	67655	2487	Observed	NA	NA
2020-06-01	70013	2358	Observed	NA	NA
2020-06-02	72300	2287	Observed	NA	NA
2020-06-03	74860	2560	Observed	NA	NA
2020-06-04	77793	2933	Observed	NA	NA
2020-06-05	80229	2436	Observed	NA	NA
2020-06-06	82968	2739	Observed	NA	NA
2020-06-07	85975	3007	Observed	NA	NA
2020-06-08	88529	2554	Observed	NA	NA
2020-06-09	90787	2258	Observed	NA	NA
2020-06-10	94041	3254	Observed	NA	NA
2020-06-11	97648	3607	Observed	NA	NA
2020-06-12	101141	3493	Observed	NA	NA
2020-06-13	104568	3427	Observed	NA	NA
2020-06-14	107958	3390	Observed	NA	NA
2020-06-15	110744	2786	Observed	NA	NA
2020-06-16	113445	2701	Observed	NA	NA
2020-06-17	116752	3307	Observed	NA	NA
2020-06-18	120504	3752	Observed	NA	NA
2020-06-19	124331	3827	Observed	NA	NA
2020-06-20	128205	3874	Observed	NA	NA
2020-06-21	132075	3870	Observed	NA	NA
2020-06-22	135796	3721	Observed	NA	NA
2020-06-23	139010	3214	Observed	NA	NA
2020-06-24	142899	3889	Observed	NA	NA
2020-06-25	147741	4842	Observed	NA	NA
2020-06-26	152765	5024	Observed	NA	NA
2020-06-27	159133	6368	Observed	NA	NA
2020-06-28	164626	5493	Observed	NA	NA
2020-06-29	169883	5257	Observed	NA	NA
2020-06-30	176808	NA	Soc. Dist. + Travel Ban	126790	233144
2020-07-01	181793	4985	Soc. Dist. + Travel Ban	123908	248608
2020-07-02	186829	5036	Soc. Dist. + Travel Ban	121049	263421
2020-07-03	191962	5133	Soc. Dist. + Travel Ban	119132	278213
2020-07-04	197109	5147	Soc. Dist. + Travel Ban	117534	292449
2020-07-05	202247	5138	Soc. Dist. + Travel Ban	116169	306576
2020-07-06	207420	5173	Soc. Dist. + Travel Ban	115190	320656
2020-07-07	212636	5216	Soc. Dist. + Travel Ban	114254	335040
2020-07-08	217906	5270	Soc. Dist. + Travel Ban	113507	349082
2020-07-09	223253	5347	Soc. Dist. + Travel Ban	113023	363777
2020-07-10	228630	5377	Soc. Dist. + Travel Ban	112625	378100
2020-07-11	234074	5444	Soc. Dist. + Travel Ban	112343	392670
2020-07-12	239503	5429	Soc. Dist. + Travel Ban	111891	408144
2020-07-13	244940	5437	Soc. Dist. + Travel Ban	111493	423199
2020-07-14	250516	5576	Soc. Dist. + Travel Ban	111446	439145
2020-07-15	256071	5555	Soc. Dist. + Travel Ban	111117	453988
2020-07-16	261690	5619	Soc. Dist. + Travel Ban	110865	469521
2020-07-17	267359	5669	Soc. Dist. + Travel Ban	110742	486292
2020-07-18	273094	5735	Soc. Dist. + Travel Ban	110885	502321
2020-07-19	278928	5834	Soc. Dist. + Travel Ban	110737	520702
2020-07-20	284771	5843	Soc. Dist. + Travel Ban	110395	537607
2020-07-21	290767	5996	Soc. Dist. + Travel Ban	110950	555589
2020-07-22	296666	5899	Soc. Dist. + Travel Ban	110679	573283
2020-07-23	302698	6032	Soc. Dist. + Travel Ban	110769	591434
2020-07-24	308767	6069	Soc. Dist. + Travel Ban	111066	610761
2020-07-25	314935	6168	Soc. Dist. + Travel Ban	110913	628462
2020-07-26	321211	6276	Soc. Dist. + Travel Ban	110899	649078
2020-07-27	327459	6248	Soc. Dist. + Travel Ban	111278	668561
2020-07-28	333811	6352	Soc. Dist. + Travel Ban	111297	689482
2020-07-29	340281	6470	Soc. Dist. + Travel Ban	111145	710076
2020-07-30	346735	6454	Soc. Dist. + Travel Ban	110933	731536
2020-07-31	353335	6600	Soc. Dist. + Travel Ban	110768	753489
2020-08-01	359938	6603	Soc. Dist. + Travel Ban	110608	776469
2020-08-02	366688	6750	Soc. Dist. + Travel Ban	110884	799793
2020-08-03	373523	6835	Soc. Dist. + Travel Ban	110989	825125
2020-08-04	380363	6840	Soc. Dist. + Travel Ban	110706	847878
2020-08-05	387312	6949	Soc. Dist. + Travel Ban	110869	873286
2020-08-06	394345	7033	Soc. Dist. + Travel Ban	110933	899816
2020-08-07	401472	7127	Soc. Dist. + Travel Ban	110488	925263
2020-08-08	408700	7228	Soc. Dist. + Travel Ban	110881	951024
2020-08-09	416031	7331	Soc. Dist. + Travel Ban	110260	979544
