stat	value
thetaS_last_obs_p_mean	0.999777
thetaI_last_obs_p_mean	6.971839e-05
thetaR_last_obs_p_mean	0.0001532863
thetaS_last_obs_p_ci_low	0.9997164
thetaS_last_obs_p_ci_med	0.999778
thetaS_last_obs_p_ci_up	0.9998322
thetaI_last_obs_p_ci_low	4.008686e-05
thetaI_last_obs_p_ci_med	6.881836e-05
thetaI_last_obs_p_ci_up	0.000104611
thetaR_last_obs_p_ci_low	0.0001080966
thetaR_last_obs_p_ci_med	0.0001524666
thetaR_last_obs_p_ci_up	0.000203653
R0_p_mean	1.560379
R0_p_ci_low	0.7867115
R0_p_ci_med	1.476215
R0_p_ci_up	2.846703
gamma_p_mean	0.09204839
gamma_p_ci_low	0.02229635
gamma_p_ci_med	0.08794797
gamma_p_ci_up	0.1859468
beta_p_mean	0.1351645
beta_p_ci_low	0.0336315
beta_p_ci_med	0.1308437
beta_p_ci_up	0.2636221
incidence_mean	0.2212189
incidence_ci_low	0.0001243577
incidence_ci_median	0.01689812
incidence_ci_up	0.8772366
thetaI_tp1_mean	0.01363916
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0004731876
thetaI_tp1_ci_up	0.1380876
thetaR_tp1_mean	0.02321702
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.001429266
thetaR_tp1_ci_up	0.2461185
Y_tp1_mean	0.01363841
Y_tp1_ci_low	0
Y_tp1_ci_med	0.0004733209
Y_tp1_ci_up	0.1380861
R_tp1_mean	0.02321717
R_tp1_ci_low	0
R_tp1_ci_med	0.001430304
R_tp1_ci_up	0.2460295
thetaI_tp2_mean	0.02838248
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0.001756051
thetaI_tp2_ci_up	0.1814191
thetaR_tp2_mean	0.1313503
thetaR_tp2_ci_low	0
thetaR_tp2_ci_med	0.005532462
thetaR_tp2_ci_up	0.7799465
Y_tp2_mean	0.0283818
Y_tp2_ci_low	0
Y_tp2_ci_med	0.00175735
Y_tp2_ci_up	0.1815298
R_tp2_mean	0.1313512
R_tp2_ci_low	0
R_tp2_ci_med	0.005539177
R_tp2_ci_up	0.7802825
thetaR_max_mean	0.1946433
thetaR_max_ci_low	0
thetaR_max_ci_med	0.01197109
thetaR_max_ci_up	0.8428681
cumInf_mean	0.2202901
cumInf_ci_low	0
cumInf_ci_med	0.01663445
cumInf_ci_up	0.876982
dthetaI_tp1_date	09/13/20
first_tp_mean	08/28/20
first_tp_ci_low	05/27/20
first_tp_ci_med	09/13/20
first_tp_ci_up	12/04/20
dthetaI_tp2_date	11/04/20
second_tp_mean	09/05/20
second_tp_ci_low	05/29/20
second_tp_ci_med	09/30/20
second_tp_ci_up	12/04/20
end_p_mean	10/17/20
end_p_ci_low	07/12/20
end_p_ci_med	12/04/20
end_p_ci_up	12/04/20
begin_str	05/19/2020
