stat	value
thetaS_last_obs_p_mean	0.9996182
thetaI_last_obs_p_mean	0.0002030213
thetaR_last_obs_p_mean	0.0001787967
thetaS_last_obs_p_ci_low	0.9995376
thetaS_last_obs_p_ci_med	0.9996197
thetaS_last_obs_p_ci_up	0.999692
thetaI_last_obs_p_ci_low	0.0001505157
thetaI_last_obs_p_ci_med	0.0002016877
thetaI_last_obs_p_ci_up	0.0002619063
thetaR_last_obs_p_ci_low	0.0001296946
thetaR_last_obs_p_ci_med	0.0001783133
thetaR_last_obs_p_ci_up	0.0002313565
R0_p_mean	2.011971
R0_p_ci_low	0.9308292
R0_p_ci_med	1.885234
R0_p_ci_up	3.80017
gamma_p_mean	0.05941067
gamma_p_ci_low	0.012263
gamma_p_ci_med	0.05544014
gamma_p_ci_up	0.1262611
beta_p_mean	0.1113269
beta_p_ci_low	0.02336836
beta_p_ci_med	0.107965
beta_p_ci_up	0.2221665
incidence_mean	0.1277407
incidence_ci_low	0.0002172172
incidence_ci_median	0.01375919
incidence_ci_up	0.7865168
thetaI_tp1_mean	0.01427894
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.001231882
thetaI_tp1_ci_up	0.1436392
thetaR_tp1_mean	0.02228165
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.003263663
thetaR_tp1_ci_up	0.2193925
Y_tp1_mean	0.01428119
Y_tp1_ci_low	0
Y_tp1_ci_med	0.001204115
Y_tp1_ci_up	0.1438766
R_tp1_mean	0.02227218
R_tp1_ci_low	0
R_tp1_ci_med	0.003301996
R_tp1_ci_up	0.2209558
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.09646441
thetaR_max_ci_low	0
thetaR_max_ci_med	0.009702261
thetaR_max_ci_up	0.6875582
cumInf_mean	0.1269074
cumInf_ci_low	0
cumInf_ci_med	0.01367678
cumInf_ci_up	0.7881682
dthetaI_tp1_date	10/12/20
first_tp_mean	09/15/20
first_tp_ci_low	06/18/20
first_tp_ci_med	10/13/20
first_tp_ci_up	12/07/20
dthetaI_tp2_date	10/12/20
second_tp_mean	09/21/20
second_tp_ci_low	06/20/20
second_tp_ci_med	11/06/20
second_tp_ci_up	12/07/20
end_p_mean	11/14/20
end_p_ci_low	08/02/20
end_p_ci_med	12/07/20
end_p_ci_up	12/07/20
begin_str	05/22/2020
